Project,Commits,Authors,Repositories
"technology.tigerstripe",119,5,1
webtools,116,6,1
"technology.lsp4e",114,8,1
"technology.stem",107,5,2
"webtools.dali",106,4,1
"modeling.pmf",100,3,1
"rt.ebr",100,5,1
"modeling.ecoretools",97,9,1
"tools.aspectj",97,1,2
"webtools.servertools",94,7,2
"technology.swtbot",93,16,1
"tools.thym",93,9,1
"technology.lyo",92,6,5
"tools.andmore",90,7,2
"modeling.emf.mwe",84,5,1
"mylyn.reviews",84,13,1
"iot.om2m",81,5,1
"tools.ajdt",81,2,1
"eclipse.e4",77,10,2
"modeling.mdt.uml2",75,2,1
"iot.edje",72,3,1
"modeling.edapt",70,5,1
"technology.hudson",70,9,3
"tools.mat",69,4,1
"rt.gemini.blueprint",68,3,3
"modeling.efm",66,6,2
"modeling.emft.texo",65,1,1
"technology.actf",65,1,4
"mylyn.commons",61,10,1
"datatools.enablement",57,5,12
datatools,56,2,3
"technology.recommenders.incubator",56,6,3
"mylyn.builds",55,10,1
"rt.gemini.web",55,2,1
"rt.gyrex",54,1,3
"iot.tinydtls",52,4,1
"technology.m2e.m2e-wtp",49,3,2
"modeling.emf.egf",48,3,1
"modeling.umlgen",45,2,1
"technology.eclemma",44,5,1
"webtools.common",44,4,4
"technology.dash",43,2,1
"tools.windowbuilder",43,7,1
"modeling.gmf-runtime",42,4,1
"modeling.mmt.atl",42,2,1
"tools.ldt",41,2,2
"rt.rap.incubator",39,5,6
"iot.risev2g",37,2,1
"technology.skalli",37,5,1
"technology.uomo",35,2,1
"mylyn.context",34,6,1
"iot.whiskers",32,2,1
"eclipse.jdt",30,8,1
"modeling.emf.transaction",27,2,1
"webtools.jeetools",27,7,1
"tools.ptp.photran",26,4,1
"webtools.jsf",25,3,2
"modeling.gmp.gmf-tooling",24,4,1
"modeling.m2t.xpand",24,2,1
"modeling.emf.validation",23,2,1
"webtools.libra",23,2,1
"modeling.emf.query",22,2,1
"modeling.emf.teneo",22,1,1
"technology.xwt",22,3,1
"soa.bpel",20,2,1
"modeling.gmf-notation",19,2,1
"soa.jwt",18,1,1
"technology.babel",18,4,1
"technology.camf",18,3,1
"iot.ponte",17,3,1
"mylyn.versions",16,6,1
"technology.ogee",14,3,2
"webtools.webservices",14,2,2
