Date,Changed,Total Changed
2017/04/26,253,253
2017/04/27,28997,29250
2017/04/28,2688,31938
2017/05/04,8326,40264
2017/05/05,11918,52182
2017/05/08,23696,75878
2017/05/09,1212,77090
2017/05/12,35545,112635
