project,url,label,activity,comments,prs,commits,issues,authors
VS Code,code.visualstudio.com,2016-05,9311,6278,570,1154,1309,195
VS Code,code.visualstudio.com,2016-06,9758,6393,606,1245,1514,195
VS Code,code.visualstudio.com,2016-07,9463,6300,511,1039,1613,195
VS Code,code.visualstudio.com,2016-08,10098,6803,596,1126,1573,195
VS Code,code.visualstudio.com,2016-09,11740,7592,715,1439,1994,195
VS Code,code.visualstudio.com,2016-10,6787,4361,673,1157,596,195
VS Code,code.visualstudio.com,2016-11,10545,7116,611,1037,1781,195
VS Code,code.visualstudio.com,2016-12,11158,7354,587,1203,2014,198
VS Code,code.visualstudio.com,2017-01,10877,7536,594,981,1766,198
VS Code,code.visualstudio.com,2017-02,11594,7612,632,1227,2123,198
VS Code,code.visualstudio.com,2017-03,6558,4134,673,960,791,198
Angular,angular.io,2016-01,6731,4669,401,654,1007,134
Angular,angular.io,2016-02,8422,5697,494,1146,1085,182
Angular,angular.io,2016-03,8599,5945,586,1049,1019,182
Angular,angular.io,2016-04,6392,3979,596,1094,723,182
Angular,angular.io,2016-05,7283,5226,473,484,1100,182
Angular,angular.io,2016-06,6052,4222,467,457,906,182
Angular,angular.io,2016-07,7220,5109,550,445,1116,182
Angular,angular.io,2016-08,9949,6895,772,942,1340,182
Angular,angular.io,2016-09,10987,7874,736,757,1620,203
Angular,angular.io,2016-10,4420,3017,310,444,649,203
Angular,angular.io,2016-11,7691,5362,640,570,1119,203
Angular,angular.io,2016-12,4594,3216,385,281,712,203
Angular,angular.io,2017-01,8426,6055,636,576,1159,203
Angular,angular.io,2017-02,9597,6714,769,721,1393,203
Angular,angular.io,2017-03,11244,7800,896,945,1603,203
Docker,mobyproject.org,2016-01,6896,5545,553,243,555,89
Docker,mobyproject.org,2016-02,8218,6515,626,308,769,110
Docker,mobyproject.org,2016-03,7201,5706,574,258,663,110
Docker,mobyproject.org,2016-04,6533,5161,472,285,615,115
Docker,mobyproject.org,2016-05,5723,4604,383,127,609,115
Docker,mobyproject.org,2016-06,7448,5662,697,368,721,135
Docker,mobyproject.org,2016-07,6989,5568,483,191,747,135
Docker,mobyproject.org,2016-08,4790,3806,370,97,517,135
Docker,mobyproject.org,2016-09,4912,4070,311,115,416,135
Docker,mobyproject.org,2016-10,6423,4784,622,400,617,135
Docker,mobyproject.org,2016-11,6341,4823,681,279,558,135
Docker,mobyproject.org,2016-12,5076,3684,551,383,458,135
Docker,mobyproject.org,2017-01,6045,4319,588,486,652,181
Docker,mobyproject.org,2017-02,8044,5654,800,755,835,223
Docker,mobyproject.org,2017-03,7284,5067,745,753,719,223
Elasticsearch,elastic.co/products/elasticsearch,2016-01,6046,3949,651,937,509,92
Elasticsearch,elastic.co/products/elasticsearch,2016-02,5916,3974,549,785,608,108
Elasticsearch,elastic.co/products/elasticsearch,2016-03,5530,3632,577,801,520,108
Elasticsearch,elastic.co/products/elasticsearch,2016-04,6407,4261,727,740,679,108
Elasticsearch,elastic.co/products/elasticsearch,2016-05,5610,3827,582,662,539,126
Elasticsearch,elastic.co/products/elasticsearch,2016-06,4204,2945,398,492,369,126
Elasticsearch,elastic.co/products/elasticsearch,2016-07,3934,2694,382,489,369,126
Elasticsearch,elastic.co/products/elasticsearch,2016-08,5681,3880,616,636,549,126
Elasticsearch,elastic.co/products/elasticsearch,2016-09,5950,3650,660,1079,561,126
Elasticsearch,elastic.co/products/elasticsearch,2016-10,6426,3722,728,1270,706,126
Elasticsearch,elastic.co/products/elasticsearch,2016-11,5734,3409,641,1064,620,126
Elasticsearch,elastic.co/products/elasticsearch,2016-12,5621,3299,634,1145,543,126
Elasticsearch,elastic.co/products/elasticsearch,2017-01,5829,3445,662,1189,533,126
Elasticsearch,elastic.co/products/elasticsearch,2017-02,6606,3911,770,1251,674,129
Elasticsearch,elastic.co/products/elasticsearch,2017-03,4883,3163,501,688,531,129
WP Calypso,developer.wordpress.com/calypso,2016-01,5773,2725,526,2110,412,97
WP Calypso,developer.wordpress.com/calypso,2016-02,5757,2670,509,2302,276,97
WP Calypso,developer.wordpress.com/calypso,2016-03,5344,2616,483,1965,280,97
WP Calypso,developer.wordpress.com/calypso,2016-04,4663,2206,460,1785,212,97
WP Calypso,developer.wordpress.com/calypso,2016-05,4575,2264,406,1709,196,148
WP Calypso,developer.wordpress.com/calypso,2016-06,5125,2411,477,2032,205,148
WP Calypso,developer.wordpress.com/calypso,2016-07,5184,2427,482,2033,242,148
WP Calypso,developer.wordpress.com/calypso,2016-08,4916,2242,423,2064,187,148
WP Calypso,developer.wordpress.com/calypso,2016-09,3466,1575,386,1286,219,148
WP Calypso,developer.wordpress.com/calypso,2016-10,4405,2080,423,1700,202,148
WP Calypso,developer.wordpress.com/calypso,2016-11,4641,2092,460,1840,249,148
WP Calypso,developer.wordpress.com/calypso,2016-12,3844,1590,447,1645,162,148
WP Calypso,developer.wordpress.com/calypso,2017-01,5063,2394,534,1927,208,148
WP Calypso,developer.wordpress.com/calypso,2017-02,4523,2047,412,1902,162,148
WP Calypso,developer.wordpress.com/calypso,2017-03,7228,3103,812,3013,300,148
Ansible,ansible.com,2016-01,2960,1976,252,251,481,45
Ansible,ansible.com,2016-02,3912,2747,400,257,508,61
Ansible,ansible.com,2016-03,4561,3128,481,511,441,161
Ansible,ansible.com,2016-04,4258,2938,492,438,390,161
Ansible,ansible.com,2016-05,4745,3209,520,619,397,204
Ansible,ansible.com,2016-06,4717,3173,514,554,476,204
Ansible,ansible.com,2016-07,3583,2479,355,403,346,204
Ansible,ansible.com,2016-08,5330,3530,592,757,451,224
Ansible,ansible.com,2016-09,5263,3275,780,807,401,224
Ansible,ansible.com,2016-10,4355,2850,570,526,409,224
Ansible,ansible.com,2016-11,4732,3153,537,588,454,224
Ansible,ansible.com,2016-12,5564,3707,807,559,491,224
Ansible,ansible.com,2017-01,4419,2932,646,440,401,224
Ansible,ansible.com,2017-02,4335,2885,714,400,336,224
Ansible,ansible.com,2017-03,5015,3329,659,552,475,224
NixOS,nixos.org,2016-01,4299,2677,518,925,179,201
NixOS,nixos.org,2016-02,3862,2300,502,732,328,201
NixOS,nixos.org,2016-03,4059,2512,546,830,171,201
NixOS,nixos.org,2016-04,3602,2175,554,658,215,201
NixOS,nixos.org,2016-05,3948,2362,552,827,207,224
NixOS,nixos.org,2016-06,3946,2391,561,778,216,224
NixOS,nixos.org,2016-07,4343,2701,592,892,158,224
NixOS,nixos.org,2016-08,4621,2859,560,999,203,224
NixOS,nixos.org,2016-09,5670,3446,707,1302,215,224
NixOS,nixos.org,2016-10,4264,2553,670,844,197,224
NixOS,nixos.org,2016-11,4029,2293,582,950,204,224
NixOS,nixos.org,2016-12,3638,2153,517,768,200,224
NixOS,nixos.org,2017-01,4041,2358,554,965,164,231
NixOS,nixos.org,2017-02,5114,2977,726,1158,253,255
NixOS,nixos.org,2017-03,6089,3360,917,1542,270,255
SS13,tgstation13.org,2016-01,4029,3112,478,145,294,41
SS13,tgstation13.org,2016-02,5031,4068,400,346,217,56
SS13,tgstation13.org,2016-03,4897,4023,396,310,168,62
SS13,tgstation13.org,2016-04,4350,3522,348,319,161,62
SS13,tgstation13.org,2016-05,4959,4238,322,203,196,75
SS13,tgstation13.org,2016-06,4012,3343,344,132,193,75
SS13,tgstation13.org,2016-07,3260,2632,391,82,155,75
SS13,tgstation13.org,2016-08,3818,3179,395,104,140,75
SS13,tgstation13.org,2016-09,3579,2925,339,162,153,75
SS13,tgstation13.org,2016-10,3440,2769,384,138,149,75
SS13,tgstation13.org,2016-11,3711,3101,362,103,145,75
SS13,tgstation13.org,2016-12,4463,3707,443,118,195,75
SS13,tgstation13.org,2017-01,3975,3204,379,165,227,75
SS13,tgstation13.org,2017-02,5429,4656,389,172,212,75
SS13,tgstation13.org,2017-03,4870,3935,361,310,264,75
ManageIQ,manageiq.org,2016-01,2550,1702,425,374,49,58
ManageIQ,manageiq.org,2016-02,3075,2001,540,419,115,65
ManageIQ,manageiq.org,2016-03,3747,2466,716,467,98,67
ManageIQ,manageiq.org,2016-04,4628,3104,714,687,123,91
ManageIQ,manageiq.org,2016-05,4304,2662,663,852,127,110
ManageIQ,manageiq.org,2016-06,3073,2092,505,408,68,110
ManageIQ,manageiq.org,2016-07,3455,2540,556,282,77,110
ManageIQ,manageiq.org,2016-08,4132,2825,721,452,134,110
ManageIQ,manageiq.org,2016-09,4818,3424,760,516,118,110
ManageIQ,manageiq.org,2016-10,3939,2697,657,520,65,110
ManageIQ,manageiq.org,2016-11,3456,2230,727,431,68,110
ManageIQ,manageiq.org,2016-12,2441,1628,402,375,36,110
ManageIQ,manageiq.org,2017-01,3389,2222,689,408,70,113
ManageIQ,manageiq.org,2017-02,3299,2202,615,426,56,113
ManageIQ,manageiq.org,2017-03,5350,3481,1060,738,71,151
Azure,azure.github.io,2016-01,2895,1408,605,733,149,256
Azure,azure.github.io,2016-02,3025,1432,582,813,198,256
Azure,azure.github.io,2016-03,2758,1343,538,679,198,256
Azure,azure.github.io,2016-04,1973,1096,178,507,192,256
Azure,azure.github.io,2016-05,3568,1967,520,746,335,262
Azure,azure.github.io,2016-06,3541,1925,521,798,297,262
Azure,azure.github.io,2016-07,2853,1601,432,597,223,262
Azure,azure.github.io,2016-08,2074,1174,345,375,180,262
Azure,azure.github.io,2016-09,4190,2445,613,745,387,262
Azure,azure.github.io,2016-10,4515,2682,614,773,446,262
Azure,azure.github.io,2016-11,4751,2911,597,739,504,262
Azure,azure.github.io,2016-12,2249,1340,359,330,220,262
Azure,azure.github.io,2017-01,3564,2060,558,619,327,262
Azure,azure.github.io,2017-02,4031,2266,745,675,345,262
Azure,azure.github.io,2017-03,5556,3120,952,921,563,262
TensorFlow,tensorflow.org,2016-01,1738,1393,121,51,173,26
TensorFlow,tensorflow.org,2016-02,1715,1327,155,18,215,26
TensorFlow,tensorflow.org,2016-03,2279,1778,179,78,244,40
TensorFlow,tensorflow.org,2016-04,2274,1735,197,89,253,42
TensorFlow,tensorflow.org,2016-05,3040,2375,175,114,376,69
TensorFlow,tensorflow.org,2016-06,3836,2997,256,178,405,95
TensorFlow,tensorflow.org,2016-07,2935,2335,160,121,319,95
TensorFlow,tensorflow.org,2016-08,3911,3098,210,164,439,101
TensorFlow,tensorflow.org,2016-09,3464,2724,224,162,354,101
TensorFlow,tensorflow.org,2016-10,3864,3135,246,126,357,101
TensorFlow,tensorflow.org,2016-11,4179,3278,259,192,450,101
TensorFlow,tensorflow.org,2016-12,3026,2332,199,117,378,101
TensorFlow,tensorflow.org,2017-01,3523,2777,205,105,436,101
TensorFlow,tensorflow.org,2017-02,4609,3497,314,219,579,121
TensorFlow,tensorflow.org,2017-03,6104,4663,369,298,774,177
ASP.net,asp.net,2016-01,3075,1923,181,625,346,74
ASP.net,asp.net,2016-02,3417,2040,252,746,379,126
ASP.net,asp.net,2016-03,3693,2155,252,849,437,126
ASP.net,asp.net,2016-04,3653,2312,223,742,376,126
ASP.net,asp.net,2016-05,3905,2407,262,796,440,126
ASP.net,asp.net,2016-06,4487,2875,336,777,499,126
ASP.net,asp.net,2016-07,3100,2011,240,496,353,126
ASP.net,asp.net,2016-08,2465,1591,166,429,279,126
ASP.net,asp.net,2016-09,2962,2006,175,447,334,126
ASP.net,asp.net,2016-10,2737,1763,168,467,339,126
ASP.net,asp.net,2016-11,2844,1770,228,519,327,126
ASP.net,asp.net,2016-12,2261,1399,199,385,278,126
ASP.net,asp.net,2017-01,3145,1881,261,689,314,126
ASP.net,asp.net,2017-02,2902,1596,290,722,294,126
ASP.net,asp.net,2017-03,4963,2657,481,1298,527,130
Mozilla,mozilla.org,2016-01,1727,958,197,317,255,71
Mozilla,mozilla.org,2016-02,1318,672,115,383,148,81
Mozilla,mozilla.org,2016-03,1707,875,128,489,215,89
Mozilla,mozilla.org,2016-04,2575,1312,280,602,381,89
Mozilla,mozilla.org,2016-05,4372,2435,382,1019,536,167
Mozilla,mozilla.org,2016-06,3563,1689,343,1250,281,167
Mozilla,mozilla.org,2016-07,2484,1395,190,622,277,167
Mozilla,mozilla.org,2016-08,2821,1492,251,785,293,167
Mozilla,mozilla.org,2016-09,3594,1793,308,1047,446,167
Mozilla,mozilla.org,2016-10,3816,2013,344,1039,420,167
Mozilla,mozilla.org,2016-11,3463,1273,248,1664,278,228
Mozilla,mozilla.org,2016-12,1248,413,101,622,112,228
Mozilla,mozilla.org,2017-01,3360,1408,250,1418,284,228
Mozilla,mozilla.org,2017-02,3477,1687,276,1162,352,228
Mozilla,mozilla.org,2017-03,4769,2211,379,1760,419,251
React,facebook.github.io/react-native,2016-01,4367,3528,307,62,470,40
React,facebook.github.io/react-native,2016-02,902,675,80,39,108,40
React,facebook.github.io/react-native,2016-03,1376,1085,96,72,123,40
React,facebook.github.io/react-native,2016-04,1173,865,110,60,138,40
React,facebook.github.io/react-native,2016-05,4783,3849,381,111,442,58
React,facebook.github.io/react-native,2016-06,1295,992,111,84,108,58
React,facebook.github.io/react-native,2016-07,5796,4680,427,103,586,58
React,facebook.github.io/react-native,2016-08,4590,3671,357,119,443,58
React,facebook.github.io/react-native,2016-09,4518,3716,293,97,412,58
React,facebook.github.io/react-native,2016-10,1278,882,191,121,84,58
React,facebook.github.io/react-native,2016-11,1594,1134,194,137,129,58
React,facebook.github.io/react-native,2016-12,3769,2972,307,118,372,58
React,facebook.github.io/react-native,2017-01,1728,1250,180,142,156,58
React,facebook.github.io/react-native,2017-02,2621,1914,197,128,382,58
React,facebook.github.io/react-native,2017-03,3233,2302,233,236,462,69
Node.js,nodejs.org,2016-01,2962,2456,189,122,195,49
Node.js,nodejs.org,2016-02,3060,2616,170,90,184,49
Node.js,nodejs.org,2016-03,3172,2616,214,141,201,62
Node.js,nodejs.org,2016-04,3096,2552,195,143,206,62
Node.js,nodejs.org,2016-05,2902,2378,182,135,207,62
Node.js,nodejs.org,2016-06,1823,1491,112,49,171,62
Node.js,nodejs.org,2016-07,2378,1995,140,83,160,62
Node.js,nodejs.org,2016-08,2330,1920,156,92,162,62
Node.js,nodejs.org,2016-09,2403,1937,221,79,166,62
Node.js,nodejs.org,2016-10,2936,2338,252,155,191,62
Node.js,nodejs.org,2016-11,2440,1975,177,115,173,68
Node.js,nodejs.org,2016-12,3071,2226,475,200,170,95
Node.js,nodejs.org,2017-01,2577,2036,247,152,142,95
Node.js,nodejs.org,2017-02,3097,2408,301,236,152,95
Node.js,nodejs.org,2017-03,3683,2837,255,398,193,105
Homebrew,brew.sh,2016-01,3291,1970,871,186,264,82
Homebrew,brew.sh,2016-02,3225,1980,784,277,184,124
Homebrew,brew.sh,2016-03,3008,1622,878,331,177,137
Homebrew,brew.sh,2016-04,2514,1361,748,288,117,137
Homebrew,brew.sh,2016-05,2337,1276,756,176,129,137
Homebrew,brew.sh,2016-06,2313,1377,616,198,122,137
Homebrew,brew.sh,2016-07,2196,1352,574,143,127,137
Homebrew,brew.sh,2016-08,2607,1718,542,164,183,137
Homebrew,brew.sh,2016-09,2532,1658,526,125,223,137
Homebrew,brew.sh,2016-10,2435,1507,538,269,121,137
Homebrew,brew.sh,2016-11,2540,1527,557,346,110,161
Homebrew,brew.sh,2016-12,2536,1476,561,366,133,161
Homebrew,brew.sh,2017-01,2471,1510,621,176,164,161
Homebrew,brew.sh,2017-02,3160,1763,818,398,181,161
Homebrew,brew.sh,2017-03,2948,1707,764,375,102,161
HashiCorp Terraform,terraform.io,2016-01,2681,1642,237,560,242,77
HashiCorp Terraform,terraform.io,2016-02,2698,1898,202,321,277,77
HashiCorp Terraform,terraform.io,2016-03,2574,1815,161,225,373,77
HashiCorp Terraform,terraform.io,2016-04,2451,1634,214,366,237,77
HashiCorp Terraform,terraform.io,2016-05,2663,1725,223,436,279,77
HashiCorp Terraform,terraform.io,2016-06,2301,1555,194,325,227,77
HashiCorp Terraform,terraform.io,2016-07,1908,1247,193,272,196,77
HashiCorp Terraform,terraform.io,2016-08,3218,2143,283,419,373,82
HashiCorp Terraform,terraform.io,2016-09,2421,1581,216,298,326,82
HashiCorp Terraform,terraform.io,2016-10,2656,1708,282,383,283,82
HashiCorp Terraform,terraform.io,2016-11,2513,1702,237,194,380,82
HashiCorp Terraform,terraform.io,2016-12,1911,1300,177,129,305,82
HashiCorp Terraform,terraform.io,2017-01,2517,1559,270,385,303,82
HashiCorp Terraform,terraform.io,2017-02,2800,1607,332,503,358,82
HashiCorp Terraform,terraform.io,2017-03,3670,2196,434,588,452,82
TypeScript,typescriptlang.org,2016-01,2111,1493,81,174,363,12
TypeScript,typescriptlang.org,2016-02,2493,1737,129,264,363,23
TypeScript,typescriptlang.org,2016-03,2386,1722,88,245,331,23
TypeScript,typescriptlang.org,2016-04,2611,1818,150,263,380,23
TypeScript,typescriptlang.org,2016-05,2630,1826,152,335,317,30
TypeScript,typescriptlang.org,2016-06,2802,1837,168,457,340,30
TypeScript,typescriptlang.org,2016-07,2760,1844,130,335,451,30
TypeScript,typescriptlang.org,2016-08,2692,1762,143,426,361,30
TypeScript,typescriptlang.org,2016-09,3018,2120,126,356,416,30
TypeScript,typescriptlang.org,2016-10,2803,1718,179,493,413,30
TypeScript,typescriptlang.org,2016-11,2582,1629,154,387,412,30
TypeScript,typescriptlang.org,2016-12,2677,1955,98,137,487,30
TypeScript,typescriptlang.org,2017-01,2311,1683,81,136,411,30
TypeScript,typescriptlang.org,2017-02,2296,1486,97,295,418,30
TypeScript,typescriptlang.org,2017-03,2206,1508,75,208,415,30
Ionic,ionicframework.com,2016-01,2220,1381,84,355,400,59
Ionic,ionicframework.com,2016-02,982,110,19,792,61,59
Ionic,ionicframework.com,2016-03,2559,1351,110,722,376,76
Ionic,ionicframework.com,2016-04,3072,1669,105,856,442,89
Ionic,ionicframework.com,2016-05,1971,1158,62,434,317,89
Ionic,ionicframework.com,2016-06,2916,1514,123,845,434,89
Ionic,ionicframework.com,2016-07,2434,1459,126,464,385,89
Ionic,ionicframework.com,2016-08,2818,1546,136,676,460,89
Ionic,ionicframework.com,2016-09,2676,1727,111,387,451,89
Ionic,ionicframework.com,2016-10,2901,1697,114,589,501,89
Ionic,ionicframework.com,2016-11,3969,2571,152,620,626,89
Ionic,ionicframework.com,2016-12,3306,2290,118,382,516,89
Ionic,ionicframework.com,2017-01,2148,1563,67,121,397,89
Ionic,ionicframework.com,2017-02,1726,1102,78,202,344,89
Ionic,ionicframework.com,2017-03,1766,1188,43,173,362,89
Magento,magento.com/home,2016-01,2255,1550,62,264,379,58
Magento,magento.com/home,2016-02,2052,1391,81,231,349,58
Magento,magento.com/home,2016-03,1994,1506,57,80,351,58
Magento,magento.com/home,2016-04,2665,1900,114,276,375,84
Magento,magento.com/home,2016-05,2988,2160,91,296,441,87
Magento,magento.com/home,2016-06,363,73,22,250,18,87
Magento,magento.com/home,2016-07,3188,2348,71,263,506,87
Magento,magento.com/home,2016-08,3417,2630,87,232,468,87
Magento,magento.com/home,2016-09,3271,2544,74,262,391,87
Magento,magento.com/home,2016-10,2502,2004,68,51,379,87
Magento,magento.com/home,2016-11,2235,1814,53,32,336,87
Magento,magento.com/home,2016-12,2431,1719,87,271,354,87
Magento,magento.com/home,2017-01,2295,1644,92,244,315,87
Magento,magento.com/home,2017-02,2673,2051,119,212,291,87
Magento,magento.com/home,2017-03,2564,1952,112,221,279,87
Julia,julialang.org,2016-01,2480,1930,134,253,163,48
Julia,julialang.org,2016-02,2549,1817,185,367,180,48
Julia,julialang.org,2016-03,2018,1475,127,240,176,48
Julia,julialang.org,2016-04,1882,1390,148,181,163,48
Julia,julialang.org,2016-05,2726,1968,212,325,221,61
Julia,julialang.org,2016-06,2545,1819,209,317,200,61
Julia,julialang.org,2016-07,2385,1735,157,330,163,61
Julia,julialang.org,2016-08,2816,2023,203,360,230,61
Julia,julialang.org,2016-09,2256,1632,141,296,187,61
Julia,julialang.org,2016-10,2109,1376,174,368,191,61
Julia,julialang.org,2016-11,2098,1491,137,314,156,61
Julia,julialang.org,2016-12,2701,1876,179,526,120,61
Julia,julialang.org,2017-01,3418,2294,239,710,175,61
Julia,julialang.org,2017-02,2479,1515,192,618,154,61
Julia,julialang.org,2017-03,2345,1573,179,418,175,61
Joomla,joomla.org,2016-01,2040,1635,120,181,104,38
Joomla,joomla.org,2016-02,1316,1037,69,127,83,38
Joomla,joomla.org,2016-03,2295,1874,136,94,191,38
Joomla,joomla.org,2016-04,3064,2378,171,358,157,68
Joomla,joomla.org,2016-05,2776,1913,218,552,93,82
Joomla,joomla.org,2016-06,1686,1351,108,129,98,82
Joomla,joomla.org,2016-07,2753,2163,134,286,170,82
Joomla,joomla.org,2016-08,3054,2426,147,350,131,82
Joomla,joomla.org,2016-09,2094,1594,139,272,89,82
Joomla,joomla.org,2016-10,2148,1663,158,224,103,82
Joomla,joomla.org,2016-11,2275,1855,111,204,105,82
Joomla,joomla.org,2016-12,2423,1807,191,296,129,82
Joomla,joomla.org,2017-01,2353,1734,163,333,123,82
Joomla,joomla.org,2017-02,2289,1622,156,361,150,82
Joomla,joomla.org,2017-03,2832,1987,198,428,219,82
SaltStack,repo.saltstack.com,2016-01,2477,1779,342,88,268,43
SaltStack,repo.saltstack.com,2016-02,2748,1978,393,49,328,43
SaltStack,repo.saltstack.com,2016-03,2167,1520,358,24,265,43
SaltStack,repo.saltstack.com,2016-04,1978,1374,319,19,266,43
SaltStack,repo.saltstack.com,2016-05,3003,2151,433,137,282,43
SaltStack,repo.saltstack.com,2016-06,2400,1730,316,31,323,43
SaltStack,repo.saltstack.com,2016-07,2110,1542,275,17,276,43
SaltStack,repo.saltstack.com,2016-08,2210,1540,373,25,272,43
SaltStack,repo.saltstack.com,2016-09,2129,1552,304,24,249,43
SaltStack,repo.saltstack.com,2016-10,2600,1832,360,168,240,59
SaltStack,repo.saltstack.com,2016-11,2272,1525,357,147,243,59
SaltStack,repo.saltstack.com,2016-12,1728,1180,273,63,212,59
SaltStack,repo.saltstack.com,2017-01,2054,1416,320,59,259,59
SaltStack,repo.saltstack.com,2017-02,2798,1804,375,360,259,122
SaltStack,repo.saltstack.com,2017-03,2665,1842,406,143,274,122
Mapbox,mapbox.com,2016-01,2000,1138,150,486,226,44
Mapbox,mapbox.com,2016-02,2319,1251,148,619,301,44
Mapbox,mapbox.com,2016-03,1753,1005,117,384,247,44
Mapbox,mapbox.com,2016-04,1783,932,142,499,210,44
Mapbox,mapbox.com,2016-05,1812,989,137,496,190,57
Mapbox,mapbox.com,2016-06,3056,1627,239,916,274,57
Mapbox,mapbox.com,2016-07,2033,1016,151,643,223,57
Mapbox,mapbox.com,2016-08,2660,1383,189,814,274,57
Mapbox,mapbox.com,2016-09,2283,1180,159,701,243,57
Mapbox,mapbox.com,2016-10,2730,1412,228,817,273,61
Mapbox,mapbox.com,2016-11,2756,1266,247,952,291,61
Mapbox,mapbox.com,2016-12,2010,952,190,645,223,61
Mapbox,mapbox.com,2017-01,2306,1140,187,700,279,61
Mapbox,mapbox.com,2017-02,2552,1258,230,806,258,61
Mapbox,mapbox.com,2017-03,2416,1199,218,727,272,61
Facebook,facebook.com,2016-01,1722,1010,251,308,153,67
Facebook,facebook.com,2016-02,2323,1381,320,372,250,97
Facebook,facebook.com,2016-03,1567,995,200,247,125,97
Facebook,facebook.com,2016-04,1318,758,153,278,129,97
Facebook,facebook.com,2016-05,1944,1248,199,312,185,112
Facebook,facebook.com,2016-06,1853,1111,252,366,124,112
Facebook,facebook.com,2016-07,2773,1569,328,702,174,112
Facebook,facebook.com,2016-08,2413,1473,269,513,158,112
Facebook,facebook.com,2016-09,2579,1417,302,625,235,112
Facebook,facebook.com,2016-10,2171,1146,270,582,173,112
Facebook,facebook.com,2016-11,1786,1112,201,335,138,112
Facebook,facebook.com,2016-12,2788,1864,292,287,345,112
Facebook,facebook.com,2017-01,2186,1351,271,329,235,112
Facebook,facebook.com,2017-02,1945,1168,204,397,176,112
Facebook,facebook.com,2017-03,2215,1465,260,259,231,112
CARTO,carto.com,2016-01,1412,639,125,558,90,28
CARTO,carto.com,2016-02,2209,862,238,867,242,46
CARTO,carto.com,2016-03,1774,719,152,765,138,46
CARTO,carto.com,2016-04,1948,746,196,871,135,46
CARTO,carto.com,2016-05,2857,1043,238,1361,215,76
CARTO,carto.com,2016-06,3364,1321,299,1297,447,76
CARTO,carto.com,2016-07,3070,1250,271,1184,365,76
CARTO,carto.com,2016-08,1996,963,162,632,239,76
CARTO,carto.com,2016-09,2004,918,156,735,195,76
CARTO,carto.com,2016-10,2052,786,172,792,302,76
CARTO,carto.com,2016-11,1677,695,135,591,256,76
CARTO,carto.com,2016-12,1321,526,87,550,158,76
CARTO,carto.com,2017-01,1676,894,100,521,161,76
CARTO,carto.com,2017-02,1522,757,87,533,145,76
CARTO,carto.com,2017-03,1440,566,76,677,121,76
AMP Project,ampproject.org,2016-01,1125,752,126,110,137,20
AMP Project,ampproject.org,2016-02,2041,1346,197,256,242,37
AMP Project,ampproject.org,2016-03,1827,1278,185,174,190,44
AMP Project,ampproject.org,2016-04,1430,1018,151,154,107,48
AMP Project,ampproject.org,2016-05,1350,899,170,151,130,48
AMP Project,ampproject.org,2016-06,1786,1150,237,204,195,48
AMP Project,ampproject.org,2016-07,1823,1209,210,224,180,48
AMP Project,ampproject.org,2016-08,2297,1512,291,287,207,55
AMP Project,ampproject.org,2016-09,2308,1523,261,293,231,55
AMP Project,ampproject.org,2016-10,2379,1530,271,315,263,58
