project,url,label,activity,comments,prs,commits,issues,authors
Kubernetes,kubernetes.io,2016-01,6289,5211,548,199,331,73
Kubernetes,kubernetes.io,2016-02,6732,5409,632,161,530,73
Kubernetes,kubernetes.io,2016-03,7082,5598,655,229,600,73
Kubernetes,kubernetes.io,2016-04,7635,6149,735,180,571,84
Kubernetes,kubernetes.io,2016-05,9148,7193,901,374,680,157
Kubernetes,kubernetes.io,2016-06,9272,7368,893,309,702,157
Kubernetes,kubernetes.io,2016-07,8987,7039,927,331,690,166
Kubernetes,kubernetes.io,2016-08,9746,7840,1022,221,663,166
Kubernetes,kubernetes.io,2016-09,9567,7540,1057,362,608,166
Kubernetes,kubernetes.io,2016-10,11958,9402,1244,551,761,183
Kubernetes,kubernetes.io,2016-11,11668,9036,1274,632,726,185
Kubernetes,kubernetes.io,2016-12,13162,9797,1630,919,816,310
Kubernetes,kubernetes.io,2017-01,12697,9806,1381,736,774,310
Kubernetes,kubernetes.io,2017-02,14803,11366,1732,877,828,322
Kubernetes,kubernetes.io,2017-03,16136,12142,1786,1177,1031,373
dotnet,microsoft.com/net,2016-01,8190,5933,779,760,718,158
dotnet,microsoft.com/net,2016-02,9785,6943,873,1148,821,172
dotnet,microsoft.com/net,2016-03,10489,7291,1124,1240,834,198
dotnet,microsoft.com/net,2016-04,10203,7169,1000,1085,949,198
dotnet,microsoft.com/net,2016-05,10649,7691,1008,1050,900,265
dotnet,microsoft.com/net,2016-06,10094,7164,1021,1098,811,265
dotnet,microsoft.com/net,2016-07,7991,5686,765,896,644,265
dotnet,microsoft.com/net,2016-08,8313,5789,875,972,677,265
dotnet,microsoft.com/net,2016-09,7460,5268,843,656,693,265
dotnet,microsoft.com/net,2016-10,8884,6060,1120,995,709,265
dotnet,microsoft.com/net,2016-11,9662,6754,1104,1080,724,265
dotnet,microsoft.com/net,2016-12,7832,5521,890,785,636,265
dotnet,microsoft.com/net,2017-01,9456,6520,1149,1057,730,265
dotnet,microsoft.com/net,2017-02,9959,6964,1157,1134,704,265
dotnet,microsoft.com/net,2017-03,12398,8623,1413,1388,974,268
VS Code,code.visualstudio.com,2016-01,7526,5278,381,804,1063,112
VS Code,code.visualstudio.com,2016-02,9613,6360,605,1095,1553,133
VS Code,code.visualstudio.com,2016-03,5500,3860,477,695,468,133
VS Code,code.visualstudio.com,2016-04,9013,6013,529,1048,1423,133
