org,repo,activity,comments,prs,commits,issues,authors,project,url
airbnb,superset+react-native-maps+knowledge-repo,1363,840,129,219,175,34,airbnb,""
frappe,erpnext+frappe,1330,471,260,373,226,48,frappe,""
odota,ui,1325,215,47,1007,56,12,odota,""
Microsoft,BotBuilder,1306,965,16,117,208,21,Microsoft BotBuilder,botframework.com
grafana,grafana,1305,856,61,136,252,20,grafana,""
nextcloud,server,1294,844,78,220,152,23,nextcloud,""
Project-OSRM,osrm-backend,1288,502,91,612,83,17,Project-OSRM,""
RocketChat,Rocket.Chat,1272,771,75,231,195,33,RocketChat,""
betaflight,betaflight,1250,878,145,149,78,26,betaflight,""
openssl,openssl,1242,816,145,226,55,29,openssl,""
ArduPilot,ardupilot,1231,861,136,165,69,45,ArduPilot,""
woocommerce,woocommerce,1215,589,114,344,168,29,woocommerce,""
cdnjs,cdnjs,1212,859,172,42,139,16,cdnjs,""
libretro,RetroArch,1176,516,85,494,81,25,libretro,""
OfficeDev,office-ui-fabric-react+office-ui-fabric-js+office-js-docs+PnP-Sites-Core,1174,504,156,352,162,63,OfficeDev,""
systemd,systemd,1146,842,108,75,121,34,systemd,""
godotengine,godot,1139,822,72,104,141,36,godotengine,""
voidlinux,void-packages,1137,356,131,620,30,43,voidlinux,""
spring-projects,spring-boot,1131,712,66,179,174,15,spring-projects,""
BSData,wh40k,1121,567,38,202,314,16,BSData,""
01org,ciao+zephyr.js,1114,673,171,152,118,25,01org,""
yiisoft,yii2,1108,857,89,48,114,15,yiisoft,""
akka,akka-http+akka,1104,807,115,60,122,23,akka,""
baidu,Paddle+bfs,1097,640,152,157,148,33,baidu,""
LLNL,spack,1089,723,130,143,93,31,LLNL,""
ARMmbed,mbed-os,1081,839,101,81,60,37,ARMmbed,""
primefaces,primeng,1060,576,51,182,251,18,primefaces,""
chef,chef+inspec,1057,528,99,354,76,49,Chef,chef.io/chef
cplusplus,draft,1052,469,160,383,40,25,cplusplus,""
eslint,eslint,1046,819,38,93,96,27,eslint,eslint.org
codenvy,codenvy+artik-ide,1041,425,94,395,127,38,codenvy,""
meteor,meteor,1038,836,18,87,97,16,Meteor,meteor.com
serverless,serverless,1035,705,95,125,110,28,Serverless Framework,serverless.com
PX4,Firmware,1035,761,95,132,47,31,PX4,""
bioconda,bioconda-recipes,1021,532,261,192,36,53,bioconda,""
openwrt,packages+openwrt,1017,599,209,156,53,75,openwrt,""
matplotlib,matplotlib,1014,808,79,63,64,26,matplotlib,""
crate,crate,1013,180,150,660,23,13,crate,""
scikit-learn,scikit-learn,1005,865,73,16,51,12,scikit-learn,""
mattermost,platform,1004,426,220,296,62,32,mattermost,""
mapsme,omim,999,575,199,201,24,22,MAPS.ME,maps.me
minetest,minetest,988,858,42,28,60,16,minetest,""
yogstation13,yogstation,986,727,113,89,57,17,Yogstation13,yogstation.net
Ultimaker,Cura,977,633,28,229,87,12,Ultimaker,""
scality,S3,971,273,66,603,29,16,scality,""
metabase,metabase,971,572,68,254,77,11,metabase,""
prestodb,presto,965,598,151,118,98,29,prestodb,""
idaholab,moose,956,650,101,134,71,24,idaholab,""
linuxmint,Cinnamon,944,741,48,66,89,13,linuxmint,""
xcat2,xcat-core,939,621,112,123,83,22,xcat2,""
cerebral,cerebral,934,420,128,363,23,18,cerebral,""
twbs,bootstrap,916,597,86,121,112,34,twbs,""
openshift,openshift-ansible,902,532,144,170,56,30,OpenShift,openshift.com
hydroshare,hydroshare,897,497,38,260,102,13,hydroshare,""
jhipster,generator-jhipster,890,675,102,45,68,19,jhipster,""
bazelbuild,bazel,889,676,21,73,119,25,bazelbuild,""
duckduckgo,zeroclickinfo-fathead+zeroclickinfo-goodies,887,623,78,99,87,35,duckduckgo,""
GoogleChrome,lighthouse,887,496,89,181,121,18,Google Chrome,google.com/chrome
kontena,kontena,884,357,118,331,78,15,kontena,""
RIOT-OS,RIOT,881,747,82,33,19,11,RIOT-OS,""
open-mpi,ompi,872,586,135,125,26,22,open-mpi,""
highfidelity,hifi,868,570,153,133,12,20,highfidelity,""
capitalone,Hygieia+cloud-custodian,864,524,103,151,86,27,capitalone,""
alibaba,weex,859,452,114,162,131,30,alibaba,""
HaliteChallenge,Halite,856,245,91,408,112,54,HaliteChallenge,""
mesosphere,marathon,854,368,28,358,100,24,Mesosphere,mesosphere.com
fa16scmorg,FA16SCM,844,109,252,209,274,99,fa16scmorg,""
rapid7,metasploit-framework,837,613,71,96,57,43,rapid7,""
EFForg,https-everywhere,837,521,180,57,79,19,EFForg,""
jruby,jruby,828,367,31,371,59,24,jruby,""
broadinstitute,cromwell+gatk,827,405,72,289,61,29,Broad Institute,broadinstitute.org
opentx,opentx,823,454,66,250,53,15,opentx,""
syncthing,syncthing,821,564,34,173,50,18,syncthing,""
getsentry,sentry,818,290,102,365,61,17,getsentry,""
thaliproject,Thali_CordovaPlugin,807,324,63,355,65,16,thaliproject,""
Baystation12,Baystation12,798,477,149,122,50,28,Baystation12,""
strongloop,loopback,788,589,40,100,59,13,strongloop,""
