org,repo,activity,comments,prs,commits,issues,authors,project
HaxeFoundation,haxe,5437,3096,202,1216,923,41,HaxeFoundation
,jgm/pandoc,5428,3791,141,899,597,49,jgm/pandoc
payara,Payara,5427,4091,528,549,259,74,payara
,rpherbig/dr-scripts,5403,2250,392,1963,798,41,rpherbig/dr-scripts
vatesfr,xo-web,5389,1606,452,2675,656,24,vatesfr
curl,curl,5378,3778,284,950,366,138,curl
4teamwork,opengever.core,5377,1269,609,2959,540,29,4teamwork
elmsln,elmsln,5370,2593,278,1605,894,25,elmsln
ArchStrike,ArchStrike,5353,183,239,4826,105,24,ArchStrike
DataDog,dd-agent,5351,2137,742,2280,192,177,DataDog
sandstorm-io,sandstorm,5339,3206,659,985,489,45,sandstorm-io
zestedesavoir,zds-site,5334,4114,438,414,368,57,zestedesavoir
commercialhaskell,stack,5332,3808,246,520,758,64,commercialhaskell
,johndyer/mediaelement,5309,3878,155,973,303,59,johndyer/mediaelement
LMFDB,lmfdb,5300,3230,735,1038,297,46,LMFDB
perl6,doc,5294,1996,306,2404,588,122,perl6
,gravitystorm/openstreetmap-carto,5286,4556,240,200,290,26,gravitystorm/openstreetmap-carto
habitat-sh,habitat,5283,2716,790,1427,350,58,habitat-sh
mesonbuild,meson,5278,3224,612,982,460,69,mesonbuild
Leaflet,Leaflet,5265,3370,488,801,606,147,Leaflet
urho3d,Urho3D,5244,3127,196,1514,407,77,urho3d
apollostack,apollo-client,5242,3371,339,1046,486,65,apollostack
OP-TEE,optee_os,5238,4172,372,311,383,52,OP-TEE
twitter,heron,5227,3426,626,781,394,77,twitter
Jackett,Jackett,5219,3651,278,591,699,50,Jackett
Codeception,Codeception,5198,3389,533,653,623,147,Codeception
smartdevicelink,sdl_core,5189,3549,740,647,253,80,smartdevicelink
,Grover-c13/PokeGOAPI-Java,5182,3770,431,486,495,64,Grover-c13/PokeGOAPI-Java
NSwag,NSwag,5147,2373,239,2105,430,28,NSwag
woocommerce,woocommerce,5146,2631,589,864,1062,59,woocommerce
streamlink,streamlink,5143,4065,349,336,393,50,streamlink
codecombat,codecombat,5139,1155,525,3213,246,143,codecombat
BSData,wh40k,5138,2524,191,1003,1420,44,BSData
babel,babel,5133,3659,640,357,477,93,babel
eggjs,egg,5129,3247,267,1246,369,49,eggjs
,malonnnn/ServerConfig,5128,642,2083,2240,163,45,malonnnn/ServerConfig
LigaData,Kamanja,5119,1501,249,3068,301,49,LigaData
pimcore,pimcore,5119,1608,266,2627,618,102,pimcore
fusionpbx,fusionpbx,5114,1650,531,2515,418,53,fusionpbx
almighty,almighty-core,5110,3177,497,819,617,27,almighty
BD2KGenomics,toil,5106,2924,350,1282,550,43,BD2KGenomics
MISP,MISP,5106,2806,349,1220,731,66,MISP
borgbackup,borg,5084,3844,389,311,540,28,borgbackup
,CymChad/BaseRecyclerViewAdapterHelper,5080,3692,136,403,849,29,CymChad/BaseRecyclerViewAdapterHelper
,lhorie/mithril.js,5068,3507,408,788,365,108,lhorie/mithril.js
spring-cloud,spring-cloud-netflix,5052,3087,188,1115,662,34,spring-cloud
TerriaJS,terriajs,5040,1727,447,2407,459,39,TerriaJS
OfficeDev,office-ui-fabric-react,5024,2372,872,1214,566,115,OfficeDev
kivy,kivy,5018,3343,432,688,555,101,kivy
cleanflight,cleanflight,5014,3747,290,557,420,80,cleanflight
enonic,xp,5007,335,1451,2960,261,33,enonic
bloomberg,bucklescript,5005,2125,752,1585,543,51,bloomberg
letsencrypt,boulder,4999,2229,603,1781,386,32,letsencrypt
magefree,mage,4992,1910,671,1776,635,103,magefree
concourse,concourse,4969,2144,104,2164,557,107,concourse
