org,repo,activity,comments,prs,commits,issues,authors,project
RobotLocomotion,drake,15759,13567,997,650,545,55,RobotLocomotion
airbnb,caravel+superset+react-native-maps+enzyme,15544,9875,1409,2139,2121,294,airbnb
eslint,eslint,15536,11613,1000,1538,1385,187,eslint
,syl20bnr/spacemacs,15405,11988,1105,449,1863,151,syl20bnr/spacemacs
RIOT-OS,RIOT,15366,12886,1236,926,318,110,RIOT-OS
libretro,RetroArch,15254,5704,1025,7554,971,125,libretro
PX4,Firmware,14925,9856,1522,2509,1038,109,PX4
Particular,docs.particular.net+NServiceBus,14529,6518,1160,6281,570,156,Particular
highfidelity,hifi,14517,9719,2435,2212,151,88,highfidelity
serverless,serverless,14484,9535,1112,2370,1467,228,serverless
voidlinux,void-packages,14320,4508,1549,7691,572,235,voidlinux
camptocamp,ngeo+c2cgeoportal,14226,4612,1334,7587,693,73,camptocamp
meteor,meteor,13938,11081,346,1091,1420,113,meteor
PokemonGoMap,PokemonGo-Map,13922,11648,777,476,1021,138,PokemonGoMap
HippieStationCode,HippieStation13,13910,12074,705,499,632,75,HippieStationCode
wireapp,wire-webapp+wire-ios+wire-android,13785,3078,2024,8087,596,77,wireapp
flutter,flutter,13736,8627,1611,1475,2023,73,flutter
yogstation13,yogstation,13622,10017,1365,1147,1093,78,yogstation13
frappe,erpnext+frappe,13488,5051,2340,3877,2220,204,frappe
ArduPilot,ardupilot,13454,9504,1484,1768,698,200,ArduPilot
deeplearning4j,deeplearning4j+nd4j,13424,5272,1273,5373,1506,171,deeplearning4j
metabase,metabase,13415,7737,958,3240,1480,64,metabase
weaveworks,scope+weave,13328,6715,931,4625,1057,96,weaveworks
TeamPorcupine,ProjectPorcupine,13171,10400,1210,952,609,114,TeamPorcupine
mapsme,omim,13130,7461,2634,2584,451,75,mapsme
Yoast,wordpress-seo,13049,8005,774,2371,1899,66,Yoast
,endless-sky/endless-sky,13015,10652,341,887,1135,61,endless-sky/endless-sky
scikit-learn,scikit-learn,12919,10794,1015,365,745,185,scikit-learn
grafana,grafana,12861,8296,682,1148,2735,128,grafana
prestodb,presto,12780,8344,1940,1589,907,164,prestodb
EFForg,https-everywhere,12778,6910,4166,1094,608,150,EFForg
yarnpkg,yarn,12771,9734,675,647,1715,218,yarnpkg
ARMmbed,mbed-os,12590,10026,1101,836,627,112,ARMmbed
ElemeFE,element,12542,7325,1297,1253,2667,138,ElemeFE
openssl,openssl,12511,8053,1325,2573,560,173,openssl
OpenRCT2,OpenRCT2,12496,8533,1116,1775,1072,112,OpenRCT2
betaflight,betaflight,12490,9318,1372,902,898,79,betaflight
zulip,zulip,12445,9023,2282,225,915,50,zulip
getsentry,sentry,12370,4341,1578,5793,658,89,getsentry
gradle,gradle,12298,3478,449,7673,698,151,gradle
yiisoft,yii2,12282,9121,1155,495,1511,108,yiisoft
idaholab,moose,12208,8087,1234,1907,980,94,idaholab
matplotlib,matplotlib,12163,9427,1074,721,941,147,matplotlib
minetest,minetest,12137,10230,646,473,788,116,minetest
mesosphere,marathon,12091,6113,716,4206,1056,118,mesosphere
osmandapp,Osmand,11957,5119,104,5550,1184,206,osmandapp
SickRage,SickRage,11853,8267,480,1306,1800,91,SickRage
akeneo,pim-community-dev,11756,2304,1619,7661,172,90,akeneo
Project-OSRM,osrm-backend,11637,5142,839,4768,888,63,Project-OSRM
claroline,Distribution,11628,3803,1130,5651,1044,62,claroline
primefaces,primeng+primefaces,11604,6217,468,2099,2820,160,primefaces
PowerShell,PowerShell+PowerShell-Docs,11547,7279,1379,1712,1177,268,PowerShell
iTXTech,Genisys,11516,8132,508,1596,1280,97,iTXTech
systemd,systemd,11493,8149,1330,820,1194,235,systemd
github,linguist+git-lfs+VisualStudio,11305,6880,988,2537,900,161,github
crate,crate,11256,1992,1707,7402,155,45,crate
JabRef,jabref,11137,6742,1007,2681,707,87,JabRef
callemall,material-ui,10995,8212,832,392,1559,79,callemall
cdnjs,cdnjs,10987,7795,1381,104,1707,26,cdnjs
chef,chef+inspec,10802,5151,1058,3775,818,231,chef
twbs,bootstrap,10759,7310,879,887,1683,160,twbs
strongloop,loopback+loopback-datasource-juggler,10737,7730,482,1571,954,108,strongloop
hazelcast,hazelcast,10644,6179,1547,2022,896,97,hazelcast
,erikras/redux-form,10426,7677,357,736,1656,166,erikras/redux-form
WhisperSystems,Signal-Android+Signal-iOS,10422,6943,662,1550,1267,77,WhisperSystems
OpenRA,OpenRA,10370,7742,831,839,958,74,OpenRA
coala,coala+coala-bears,10363,8427,864,568,504,71,coala
YetiForceCompany,YetiForceCRM,10354,3712,228,5054,1360,42,YetiForceCompany
xitu,gold-miner,10134,7135,511,1726,762,169,xitu
