org,repo,activity,comments,prs,commits,issues,authors,project,url
dotnet,corefx+coreclr+cli+docfx+buildtools+corert+roslyn-analyzers,10489,7291,1124,1240,834,198,dotnet,microsoft.com/net
angular,angular+material+angular.js+angular-cli+material2+angular.io,8099,5570,558,1024,947,127,Angular,angular.io
docker,docker+swarm+compose+distribution,7201,5706,574,258,663,98,Docker,mobyproject.org
kubernetes,kubernetes+helm,7082,5598,655,229,600,57,Kubernetes,kubernetes.io
elastic,elasticsearch+kibana+beats,5530,3632,577,801,520,100,Elasticsearch,elastic.co/products/elasticsearch
dotnet+Microsoft,roslyn+vso-agent-tasks+vscode-docs,5500,3860,477,695,468,84,VS Code,code.visualstudio.com
Automattic,wp-calypso,5344,2616,483,1965,280,94,WP Calypso,developer.wordpress.com/calypso
tgstation,-tg-station,4897,4023,396,310,168,62,SS13,tgstation13.org
ansible,ansible+ansible-modules-extras+ansible-modules-core,4561,3128,481,511,441,161,Ansible,ansible.com
NixOS,nixpkgs,4059,2512,546,830,171,158,NixOS,nixos.org
owncloud,core+contacts,3869,2864,167,304,534,33,ownCloud,owncloud.org
ManageIQ,manageiq,3747,2466,716,467,98,67,ManageIQ,manageiq.org
aspnet,EntityFramework+Mvc+Docs+KestrelHttpServer+Templates+MusicStore,3693,2155,252,849,437,110,ASP.net,asp.net
atom,atom+electron,3425,2404,168,385,468,52,Atom,atom.io
nodejs,node+nodejs.org,3172,2616,214,141,201,62,Node.js,nodejs.org
Homebrew,homebrew+homebrew-php+homebrew-science,3008,1622,878,331,177,137,Homebrew,brew.sh
Azure,azure-content+azure-powershell+azure-iot-sdks+azure-webjobs-sdk-templates+azure-sdk-for-net,2758,1343,538,679,198,218,Azure,azure.github.io
grpc,grpc+grpc-java+grpc-go,2692,1890,314,197,291,45,GRPC,grpc.io
eclipse,che+jetty.project,2604,1104,206,1095,199,49,Eclipse,eclipse.org
cockroachdb,cockroach,2591,1607,310,362,312,25,Cockroach DB,cockroachlabs.com
hashicorp,terraform,2574,1815,161,225,373,46,HashiCorp Terraform,terraform.io
driftyco,ionic+ionic-site+ionic-native,2559,1351,110,722,376,76,Ionic,ionicframework.com
Microsoft,TypeScript,2386,1722,88,245,331,18,TypeScript,typescriptlang.org
joomla,joomla-cms,2295,1874,136,94,191,26,Joomla,joomla.org
tensorflow,tensorflow+models,2279,1778,179,78,244,40,TensorFlow,tensorflow.org
influxdata,influxdb,2172,1388,128,463,193,25,InfluxData,influxdata.com
saltstack,salt,2167,1520,358,24,265,15,SaltStack,repo.saltstack.com
TEAMMATES,teammates,2138,1352,180,478,128,37,TEAMMATES,teammatesv4.appspot.com
npm,npm,2065,1538,55,85,387,13,npm,npmjs.com
JuliaLang,julia,2018,1475,127,240,176,38,Julia,julialang.org
magento,magento2,1994,1506,57,80,351,55,Magento,magento.com/home
mapsme,omim,1962,839,575,530,18,18,MAPS.ME,maps.me
broadinstitute,cromwell+gatk,1939,913,136,719,171,24,Broad Institute,broadinstitute.org
ParadiseSS13,Paradise,1930,1564,180,88,98,12,ParadiseSS13,nanotrasen.se/forum
rails,rails,1920,1322,287,162,149,64,Ruby on Rails,rubyonrails.org
keybase,client,1868,860,220,702,86,17,Keybase,keybase.io
wordpress-mobile,WordPress-iOS+WordPress-Android,1852,725,176,843,108,25,WordPress-mobile,make.wordpress.org/mobile
mantidproject,mantid,1846,562,140,971,173,33,Mantid,mantidproject.org
ampproject,amphtml,1827,1278,185,174,190,44,AMP Project,ampproject.org
cfpb,cfgov-refresh,1826,824,251,731,20,11,Consumer Financial Protection Bureau,cfpb.github.io
yogstation13,yogstation,1786,1263,171,211,141,20,Yogstation13,yogstation.net
CartoDB,cartodb,1774,719,152,765,138,23,CARTO,carto.com
mapbox,mapbox-gl-native+mapbox-gl-js,1753,1005,117,384,247,32,Mapbox,mapbox.com
mattermost,platform,1750,1112,227,301,110,21,Mattermost,mattermost.org
openshift,openshift-docs+openshift-ansible,1721,1122,269,281,49,69,OpenShift,openshift.com
mozilla,addons-server+thimble.mozilla.org,1707,875,128,489,215,89,Mozilla,mozilla.org
nylas,N1,1676,1134,29,190,323,18,Nylas,nylas.com
NativeScript,NativeScript+android-runtime+docs,1664,949,143,407,165,55,NativeScript,nativescript.org
fastlane,fastlane,1655,1209,156,69,221,18,fastlane,fastlane.tools
voidlinux,void-packages,1648,674,158,748,68,42,The Void distribution,voidlinux.eu
realm,realm-java+realm-cocoa,1600,1130,51,230,189,22,Realm,realm.io
DefinitelyTyped,DefinitelyTyped,1597,777,418,333,69,220,DefinitelyTyped,definitelytyped.org
facebook,presto+osquery+rocksdb,1567,995,200,247,125,69,Facebook,facebook.com
TrinityCore,TrinityCore,1565,1066,64,309,126,40,TrinityCore,trinitycore.org
odoo,odoo,1547,678,303,441,125,80,Odoo,odoo.com
ethcore,parity,1540,337,232,875,96,14,Parity,github.com/paritytech/parity
galaxyproject,galaxy+tools-iuc,1524,1056,186,171,111,31,galaxyproject,""
Microsoft,CNTK,1501,661,15,704,121,38,Microsoft Cognitive Toolkit,cntk.ai
CleverRaven,Cataclysm-DDA,1483,998,199,154,132,31,Cataclysm-DDA,en.cataclysmdda.com
eslint,eslint,1463,1099,116,69,179,18,eslint,eslint.org
RocketChat,Rocket.Chat,1458,915,93,218,232,13,RocketChat,rocket.chat
emberjs,ember.js+data,1451,1007,169,164,111,47,emberjs,""
Yoast,wordpress-seo+YoastSEO.js,1450,643,101,495,211,37,Yoast SEO,yoast.com/wordpress/seo
pymedusa,SickRage,1419,334,177,881,27,14,pymedusa,""
Microsoft,ChakraCore,1394,1029,259,41,65,17,Microsoft Chakra,github.com/Microsoft/ChakraCore
department-of-veterans-affairs,vets-website,1393,471,265,570,87,20,Department of Veterans Affairs,va.gov
JabRef,jabref,1378,949,116,235,78,17,JabRef,""
facebook,react,1376,1085,96,72,123,35,React,facebook.github.io/react-native
druid-io,druid,1365,913,237,157,58,25,druid-io,""
sympy,sympy,1365,1058,140,73,94,37,sympy,""
Particular,docs.particular.net+NServiceBus,1355,806,87,384,78,54,NServiceBus,particular.net/nservicebus
subutai-io,base,1325,152,203,788,182,28,subutai-io,""
PX4,Firmware,1319,897,116,204,102,20,PX4,""
akeneo,pim-community-dev,1313,345,175,773,20,24,akeneo,""
HippieStationCode,HippieStation13,1307,1058,103,82,64,14,HippieStationCode,github.com/HippieStationCode/HippieStation13
Project-OSRM,osrm-backend,1251,507,72,576,96,13,Project-OSRM,""
hazelcast,hazelcast,1243,753,199,223,68,26,hazelcast,""
callemall,material-ui,1223,918,104,54,147,23,callemall,""
airbnb,airflow+enzyme,1218,747,147,219,105,60,Airbnb,airbnb.io
mesosphere,marathon,1217,548,99,391,179,22,Mesosphere,mesosphere.com
OfficeDev,Office-UI-Fabric+office-js-docs+PnP-Sites-Core+microsoft-graph-docs+PnP,1212,393,227,477,115,82,OfficeDev,""
RIOT-OS,RIOT,1205,1083,64,38,20,16,RIOT-OS,""
ScottLogic,StockFlux,1198,597,151,315,135,12,ScottLogic,""
openssl,openssl,1197,661,120,374,42,37,openssl,""
NREL,EnergyPlus+OpenStudio,1197,664,85,375,73,27,NREL,""
flutter,flutter,1186,701,124,120,241,23,flutter,""
openSUSE,osem+open-build-service,1184,803,150,164,67,28,openSUSE,""
neo4j,neo4j,1171,518,245,363,45,36,neo4j,""
iTXTech,Genisys,1164,804,33,163,164,16,iTXTech,""
metabase,metabase,1161,649,107,278,127,12,metabase,""
juttle,juttle,1155,546,118,426,65,13,juttle,""
ocaml,opam-repository,1146,494,329,308,15,70,ocaml,""
getsentry,sentry,1137,388,106,544,99,14,getsentry,""
mamedev,mame,1134,259,82,759,34,67,mamedev,""
docker,docker-birthday-3+libnetwork+docker-py,1129,637,172,214,106,65,docker,""
grafana,grafana,1113,675,96,120,222,17,grafana,""
HabitRPG,habitrpg,1112,707,95,200,110,20,HabitRPG,""
caskroom,homebrew-cask,1092,448,434,128,82,69,Homebrew Cask,caskroom.github.io
coreos,rkt+coreos-kubernetes,1084,782,117,101,84,25,CoreOS,coreos.com
scikit-learn,scikit-learn,1073,892,69,30,82,24,scikit-learn,""
EFForg,https-everywhere,1071,608,219,149,95,38,EFForg,""
acemod,ACE3,1069,736,86,163,84,16,acemod,""
ponylang,ponyc,1062,508,73,416,65,16,ponylang,""
SpongePowered,SpongeCommon+SpongeAPI,1043,426,46,498,73,41,SpongePowered,""
librenms,librenms,1034,738,108,98,90,29,librenms,""
playframework,playframework,1030,668,125,144,93,30,playframework,""
HubTurbo,HubTurbo,1029,650,92,226,61,17,HubTurbo,""
orientechnologies,orientdb,1026,678,11,212,125,11,orientechnologies,""
citra-emu,citra,1013,755,86,63,109,18,citra-emu,""
serverless,serverless,1007,602,86,176,143,23,Serverless Framework,serverless.com
akka,akka,996,758,76,55,107,14,akka,""
deeplearning4j,nd4j+deeplearning4j,995,289,141,416,149,32,deeplearning4j,""
greenplum-db,gpdb,993,722,123,121,27,41,greenplum-db,""
NodeBB,NodeBB,990,483,39,299,169,18,NodeBB,""
Sylius,Sylius,981,655,186,41,99,18,Sylius,""
letsencrypt,letsencrypt,978,671,70,134,103,17,Let's Encrypt,letsencrypt.org
frappe,erpnext+frappe,973,318,178,360,117,36,frappe,""
bolt,bolt,973,652,98,136,87,16,bolt,""
Fermat-ORG,fermat,969,118,100,141,610,32,Fermat-ORG,""
RPCS3,rpcs3,965,763,71,75,56,14,RPCS3,""
KhronosGroup,Vulkan-LoaderAndValidationLayers,960,504,104,258,94,23,KhronosGroup,""
minetest,minetest,957,834,46,17,60,11,minetest,""
sakaiproject,sakai,940,390,247,280,23,39,sakaiproject,""
