org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,320191,252324,63081,67867,63081,3865,Linux kernel,kernel.org
Azure+Microsoft,azure-quickstart-templates+azure-powershell+azure-sdk-for-net+azure-rest-api-specs+azure-iot-sdks+autorest+azure-cli+azure-c-shared-utility+azure-resource-manager-schemas+azure-uamqp-c+WALinuxAgent+azure-iot-gateway-sdk+azure-devtestlab+acs-engine+azure-xplat-cli+azure-webjobs-sdk-templates+azure-webjobs-sdk-script+azure-iot-sdk-c+azure-umqtt-c+azure-sdk-for-java+sonic-buildimage+azure-iot-remote-monitoring+azure-event-hubs+azure-linux-extensions+AzureStack-Tools+portaldocs+azure-sdk-for-go+AzureStack-QuickStart-Templates+azure-iot-sdk-csharp+azure-sdk-for-python+sonic-swss+azure-batch-samples+sonic-sairedis+sonic-mgmt+DotNetty+azure-blockchain-projects+azure-iot-sdks-preview+Azure-MachineLearning-DataScience+azure-docs-powershell+azure-webjobs-sdk+azure-docs-powershell-azuread+azure-webjobs-sdk-extensions+azure-diagnostics-tools+go-autorest+azure-mobile-apps-net-client+durabletask+azure-documentdb-dotnet+azure-docs-cli-python+azure-iot-sdk-java+azure-content-ptbr+sonic-swss-common+AzureDataLake+azure-storage-node+azure-iot-sdk-node+Cortana-Intelligence-Gallery-Content+usql+azure-storage-python+azure-amqp+azure-iot-protocol-gateway+Azure-DataFactory+sonic-build-tools+meta-azure-service-broker+azure-event-hubs-dotnet+azure-sdk-for-node+azure-mobile-apps-quickstarts+azure-iot-device-ecosystem+azure.github.io+azure-mobile-apps-node+azure-sdk-for-ruby+SONiC+umock-c+AzureBot+autorest-clientruntime-for-java+azure-storage-cpp+amqpnetlite+azure-storage-net+AzureUsageAndBillingPortal+azure-linux-automation+azure-iot-sdk-python+vagrant-azure+azure-sdk-for-php+batch-shipyard+azure-storage-php+diagnostics-eventflow+azure-data-lake-store-python+azure-documentdb-node+azure-service-bus-dotnet+azure-sdk-for-media-services+Azure-TDSP-Utilities+BatchLabs+azure-storage-ruby+acr+device-discovery-cli+azure-mobile-apps-js-client+elastic-db-tools+peek+azure-functions-cli+azure-ruby-asm-core+aspnet-redis-providers+azure-relay-dotnet+BusinessPlatformApps+azure-mobile-apps-net-server+cortana-intelligence-quality-assurance-manufacturing+sonic-linux-kernel+azure-notificationhubs-java-backend+azure-documentdb-java+onboarding-guidance+azure-iot-device-management+Azure-Media-Services-Explorer+sonic-utilities+azure-documentdb-spark+azure-mobile-engagement-cordova+azure-sdk-ruby+acs-demos+azure-mobile-apps-node-files+azure-storage-ios+azure-odata-sql-js+Azure-vpn-config-samples+azure-mobile-apps-ios-client+azure-relay-node+azure-storage-java+rtable+azurefile-dockervolumedriver+azure-mobile-apps-net-files-client+doAzureParallel+iot-gateway-modbus+azure-storage-net-data-movement+sonic-nas-ndi+azure-event-hubs-java+azure-storage-go+connectthedots+sonic-snmpagent+packer-azure+azure-storage-android+service-fabric-aspnetcore+azure-cli-shell+classic-iaas-resourcemanager-migration+msrest-for-python+Microsoft-TDSP+azure-batch-sdk-for-java+azure-mobile-apps-cordova-client+azure-functions-performance-test+azure-oss-portal+active-directory-dotnet-graphapi-b2bportal-web+iot-gateway-opc-ua-proxy+azure-service-bus-java+azure-docker-extension+blobporter+fluentd-plugin-mdsd+azure-notificationhubs-samples+sonic-object-library+azure-documentdb-python+sonic-py-swsssdk+mr4ds+azure-extensions-cli+custom-script-extension-linux+azure-stream-analytics+Azure-Functions+azure-event-hubs-c+msphpsql+rAzureBatch+azure-content-nlnl+azure-mobile-services+service-fabric-services-and-actors-dotnet+azure-mobile-apps-net-files-server+azure-event-hubs-node+azure-iot-arduino+iot-gateway-opc-ua+azure-cli-docker+azure-devops-utils+azure-iot-hub-vs-cs+azure-xplat-arm-tooling+azure-mobile-apps-android-client+migAz+RDS-Templates+msrestazure-for-python+toketi-iothubreact+azure-container-networking+azure-node-essentials+go-ntlmssp+azure-iot-connected-factory+hdinsight-phoenix-sharp+iot-gateway-proxy,106841,52963,15433,28016,10429,2073,Azure,azure.github.io
DefinitelyTyped,DefinitelyTyped+definitelytyped.github.io+definition-tester,25248,13962,5861,4231,1194,1975,DefinitelyTyped,definitelytyped.org
kubernetes+kubernetes-incubator+GoogleCloudPlatform+kubernetes-ui+kubernetes-client+kubernetes-contrib,kubernetes.github.io+kubernetes+charts+community+minikube+test-infra+ingress+helm+kargo+dashboard+contrib+heapster+features+kops+bootkube+kube-state-metrics+service-catalog+kube-aws+dns+kompose+kubernetes-anywhere+kubernetes-workshops+external-dns+release+external-storage+frakti+rktlet+autoscaler+client-python+cri-tools+git-sync+cri-o+node-feature-discovery+nfs-provisioner+cluster-capacity+perf-tests+cri-containerd+kube-mesos-framework+kubernetes-bootcamp+kubernetes-docs-cn+kubeadm+kube-deploy+client-go+node-problem-detector+ocid+k8s.io+gengo+spartakus+pr-bot+apimachinery+cluster-proportional-autoscaler+container-terminal+repo-infra+apiserver+label-selector+reference-docs+application-images+kube-aggregator+topology-graph+application-images+sample-apiserver+md-check+kubedash+metrics+kubectl+rktlet+kubernetes-template-project+apiserver-builder+horizontal-self-scaler+object-describer+community+md-format+kube2consul+gen+javascript+graph+cluster-proportional-autoscaler+ocid+kube-ui+kube-ui-docker+jumpserver+python-base+examples,301446,214659,44205,15179,27403,1759,Kubernetes,kubernetes.io
facebook+facebookincubator+airbnb+reactjs+react-community+react-native-community+reactide+Microsoft,react+create-react-app+react-native-maps+redux+draft-js+fbctf+react-navigation+react-dates+componentkit+jest+react-native+mysql-5.6+react-native-elements+immutable-js+zstd+fresco+xcbuild+facebook-instant-articles-sdk-php+react-devtools+graphql+flux+infer+stetho+fbjs+IT-CPE+hhvm+fb.resnet.torch+regenerator+relay+php-webdriver+php-graph-sdk+SocketRocket+watchman+react-native-fbsdk+facebook-php-sdk-v4+swift+create-react-native-app+chisel+facebook-python-ads-sdk+jscodeshift+reactide+ds2+ios-snapshot-test-case+flow+facebook-sdk-swift+PathPicker+ThreatExchange+fatal+facebook-php-ads-sdk+remodel+C3D+chef-cookbooks+homebrew-fb+taste-tester+codemod+mobile-center-sdk-react-native+yoga+mcrouter+css-layout+tac_plus+buck+FBAllocationTracker+nuclide+between-meals+nifty+UETorch+device-year-class+dataloader+FBMemoryProfiler+openbmc+xctool+KVOController+augmented-traffic-control+pop+pfff+Tweaks+facebook-java-ads-sdk+fb-adb+Surround360+conceal+makeitopen+bistro+fixed-data-table+xhp-lib+node-haste+luaffifb+react-vr+Haxl+MazeBase+FBNotifications+jcommon+fbtracert+fboss+FBSimulatorControl+planout+FBRetainCycleDetector+pyaib+wdt+Shimmer+transform+emitter+screenshot-tests-for-android+facebook-sdk-for-unity+origami+proxygen+fbshipit+hack-codegen,144994,106964,11852,8233,17945,1671,React,facebook.com
gitlab,GitLab,50000,40000,7336,16291,14430,1531,GitLab,gitlab.com
caskroom,homebrew-cask+homebrew-versions+homebrew-fonts+homebrew-eid+rubocop-cask,30356,7236,12517,9390,1213,1382,Homebrew Cask,caskroom.github.io
cloudfoundry+cloudfoundry-incubator+cloudfoundry-community+cloudfoundry-samples,cf-release+bosh+cloud_controller_ng+cf-acceptance-tests+bosh-agent+docs-bosh+diego-release+cf-deployment+cf-mysql-release+docs-dev-guide+cli+uaa+docs-cf-admin+docs-buildpacks+bosh-cli+capi-release+loggregator+pmc-notes+docs-deploying-cf+docs-book-cloudfoundry+bosh-google-cpi-release+bosh-utils+routing-release+docs-cloudfoundry-concepts+consul-release+runtime-ci+gorouter+cli-plugin-repo+bosh-init+diego-release+bosh-deployment+uaa-release+bosh-bootloader+ruby-buildpack+cf-abacus+buildpacks-ci+docs-running-cf+etcd-release+bosh-openstack-cpi-release+docs-loggregator+go-cfclient+sprout-capi+docs-services+app-autoscaler+garden-runc-release+bosh-acceptance-tests+bosh-aws-cpi-release+mega-ci+guardian+python-buildpack+bosh-vsphere-cpi-release+php-buildpack+executor+bbs+go-buildpack+tomee-buildpack+bosh-windows-stemcell-builder+guardian+java-buildpack+nodejs-buildpack+staticfile-buildpack+rep+homebrew-tap+cf-java-client+bosh-linux-stemcell-builder+dropsonde+cf-openstack-validator+noaa+binary-builder+routing-api+cf-smoke-tests+diego-ssh+cf-test-helpers+garden-windows-release+bosh-azure-cpi-release+grootfs+nats-release+wats+auctioneer+diego-windows-release+vault-boshrelease+logsearch-for-cloudfoundry+cf-networking-release+docs-cf-cli+binary-buildpack+aws-light-stemcell-builder+v3-cli-plugin+cacheddownloader+credhub+routing-acceptance-tests+slack-notification-resource+mariadb_ctrl+diego-dev-notes+nfs-volume-release+prometheus-boshrelease+firehose-to-syslog+cf-deployment-concourse-tasks+summit-training-classes+healthcheck+config-server+dea_ng+stacks+garden+bosh-vcloud-cpi-release+bosh-softlayer-cpi+garden-windows+scalable-syslog+buildpack-packager+cf-abacus-broker+aws-nat-bastion-bosh-cf+postgres-release+datadog-firehose-nozzle-release+garden-linux-release+cf-uaac+buildpackapplifecycle+tps+bosh-softlayer-cpi-release+bosh-softlayer-cpi-release+datadog-firehose-nozzle+bolo-boshrelease+bosh-rackhd-cpi-release+cf-uaa-lib+consul-boshrelease+os-conf-release+jvmkill+compile-extensions+syslog-release+logsearch-boshrelease+local-volume-release+docker-boshrelease+dotnet-core-buildpack+api-docs+hwc+haproxy-boshrelease+uaa-go-client+stackdriver-tools+cf-haproxy-boshrelease+cflinuxfs2-rootfs-release+ibm-websphere-liberty-buildpack+check-a-record+warden+bosh-lite+dotnet-core-buildpack+toolbelt-boshrelease+postgres-boshrelease+cf-mysql-broker+bosh-gen+jumpbox-boshrelease+bosh-cpi-ruby+route-registrar+bosh-notes+brooklyn-service-broker+storeadapter+bosh-softlayer-tools+nfsv3driver+lager+bytefmt+bui+cf-vs-extension+newrelic-boshrelease+networking-release+dotnet-core-buildpack+uaa-singular+notifications+notifications-release+cf-containers-broker+firehose-plugin+sonde-go+diego-design-notes+docker-registry-boshrelease+portcullis+cf-plugin-deploy+cron-boshrelease+uaa-credentials-broker+vault-broker+spiff+bosh-softlayer-baremetal-server+haproxy-boshrelease+multierror+exemplar-release+snotel+buddy-broker+mattermost-cf-integrator+autosleep+cf-uaa-guard-service+s3-broker+java-buildpack-memory-calculator+bosh-photon-cpi-release+bosh-cloudstack-cpi-release+asp.net5-buildpack+cf-ssh+uaago+asg-creator+admin-ui-boshrelease+mongodb-bosh-release+firehose_exporter+nginx-release+blacksmith-boshrelease+cf_exporter+postgresql-docker-boshrelease+java-buildpack-auto-reconfiguration+cf-helper-php+test-app+memcache-release+cf-ex-drupal+s3-cf-service-broker+redis-boshrelease+sawmill-boshrelease+admin-ui+cf-dotnet-sdk+broker-registrar-boshrelease+bosh-softlayer-pool-server-release,82463,16894,3789,58269,3511,1251,Cloud Foundry,cloudfoundry.org
docker,docker.github.io+docker+compose+distribution+labs+docker-py+libnetwork+swarm+swarmkit+kitematic+dockercloud-haproxy+notary+engine-api+infrakit+hyperkit+docs-base+community+example-voting-app+docker-bench-security+go-dockercloud+vpnkit+datakit+docker-e2e+dockercraft+for-mac+jenkins-pipeline-scripts+migrator+dcus-hol-2017+machine+dockercloud-network-daemon+dcus-hol-2016+dockercloud-agent+python-dockercloud+dockercloud-cli+go-connections+swarm-library-image+libcompose+for-win+toolbox+leeroy+infrakit.aws+communitytools-image2docker-linux+communitytools-image2docker-win+go-plugins-helpers+docker-credential-helpers+code-of-conduct+distribution-library-image+opensource+docker-birthday-3+markdownlint,112528,81801,9777,7827,13123,1217,Docker,mobyproject.org
dotnet+Microsoft,corefx+coreclr+docs+core-docs+cli+core+buildtools+corefxlab+corert+docfx+core-setup+dotnet+sdk+wcf+ApplicationInsights-dotnet+templating+dotnet-ci+home+sarif-sdk+BenchmarkDotNet+project-system+docs.zh-cn+CodeContracts+Docker.DotNet+dotnet-docker+training-tutorials+xunit-performance+versions+roslyn-analyzers+docs.ja-jp+jitutils+dotnet-apiport+dotnet-docker-nightly+docs.zh-tw+swag+docs.fr-fr+standard+dotnet-docker-samples+csharplang+Microsoft.IO.RecyclableMemoryStream+docs.pt-br+netcorecli-fsc+llilc+symstore+corefx-tools+dotnet.github.io+CliCommandLineParser+vblang+aspnet-api-versioning+perf-infra+eShopOnWeb,138024,93096,15784,17772,11372,1123,dotnet,microsoft.com/net
