org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-ui+kubernetes-client+kubernetes-contrib,kubernetes+test-infra+kubernetes.github.io+kops+contrib+helm+minikube+dashboard+charts+service-catalog+community+ingress+kargo+heapster+cri-o+kompose+features+bootkube+kubeadm+release+kube-aws+kubernetes-anywhere+kube-deploy+client-go+client-python+external-dns+node-problem-detector+kube-state-metrics+frakti+cri-tools+external-storage+rktlet+dns+ocid+k8s.io+gengo+git-sync+nfs-provisioner+kube-mesos-framework+node-feature-discovery+perf-tests+cluster-capacity+cri-containerd+autoscaler+spartakus+pr-bot+kubernetes-bootcamp+apimachinery+cluster-proportional-autoscaler+container-terminal+repo-infra+apiserver+label-selector+reference-docs+application-images+kube-aggregator+topology-graph+application-images+sample-apiserver+md-check+kubedash+metrics+kubectl+rktlet+kubernetes-template-project+apiserver-builder+horizontal-self-scaler+object-describer+community+kubernetes-docs-cn+md-format+kube2consul+gen+javascript+graph+cluster-proportional-autoscaler+ocid+kube-ui+kube-ui-docker+examples+jumpserver+python-base,301312,214639,44182,15094,27397,1749,Kubernetes,kubernetes.io
mesosphere+mesos,marathon+dcos-commons+cd-demo+universe+dcos-cassandra-service+marathon-lb+dcos+dcos-kafka-service+reactjs-components+chronos+spark-build+mesos-dns+kafka+storm+mesos+mesos-go+jenkins-dcos+canvas+vault+mr-redis+elasticsearch+marathon-ui+cnvs+spark+tweeter+docker-containers+dcos-jenkins-service+universe-1.7+marathon-client+dcos-spark+open-docs+mesos-deb-packaging+mesos-rxjava+mesos_exporter+hdfs+etcd-mesos+gen_netlink+dcos-flink-service+ip_vs_conn+training+jenkins-dind-agent+letsencrypt-dcos+mesos-plugin+kubernetes-mesos+dcos-zeppelin+jenkins-mesos+cassandra-mesos-deprecated+tcp_metrics+docker-compose-executor+jenkins-marathon-plugin+foosball+clang-tools-extra+marathon-autoscale+mesos-http-adapter+mesos-utils+dcos-gitlab-runner-service+chronos-pkg+presentations+arca-ncs+marathon-jenkins-stats+clang+marathon-lb-autoscale+marathon-example-plugins+homebrew-llvm+dcos-jenkins-dind-agent+chaos+performance+dcos-helloworld+vny+marathon-pkg+react-typeahead+hdfs-deprecated+mesos-slave-dind+exhibitor-dcos+dcos-hdfs+cassandra-kairosdb-tutorial+teamcity-slack-notifier+software-architecture+logstash+ci-docker-containers+sssp+mesos-spark-integration-tests+rb-stats+dcos-openvpn+weave-guide+minuteman18+dcos-gitlab-ci-service+react-bootstrap-typeahead+gravity+hadoop+design+qcon+cloudfoundry-mesos+aws-cfn-bootstrap+net-modules+cloudformation-mesos+cassandra-mesos+mesos-distcc+playa-mesos+RENDLER+time-series-demo+oinker-go+dcos-cli-docker+chronos-utils+iot-demo+elasticsearch-mesos+kibana+marathon_client+dcos-kafka+gen_netlink18+helloworld+dcos-universe-browser+metrics-statsd+deimos+DCOS-AppStudio+mesos-erlang+mesos-cli+mesos-hydra+journald-scale-test+mesos-etcd-module+mesos-dns-pkg+mesos-docker+dcos-ui-1+hello-dcos+spark,44405,12901,7317,20305,3882,619,Mesos,mesos.apache.org
prometheus,prometheus+alertmanager+node_exporter+docs+snmp_exporter+client_java+client_golang+blackbox_exporter+client_python+mysqld_exporter+jmx_exporter+pushgateway+common+client_ruby+prometheus.github.io+promu+tsdb+consul_exporter+cloudwatch_exporter+haproxy_exporter+statsd_exporter+collectd_exporter+procfs+prombench+graphite_exporter+memcached_exporter+golang-builder+client_model+influxdb_exporter+busybox+promdash+nagios_plugins+prom2json+utils+prometheus_cli,22491,13062,3417,3177,2835,378,Prometheus,prometheus.io
grpc+grpc-ecosystem+coredns,grpc+grpc-java+grpc-go+grpc.github.io+grpc-gateway+grpc-swift+grpc-haskell+homebrew-grpc+proposal+polyglot+grpc-experiments+grpc-simon-says+grpc-docker-library+go-grpc-prometheus+java-grpc-prometheus+grpc-common+grpc+go-grpc-middleware+grpc-proto+grpc-exchange-o-gram+coredns-grpc+grpc-contrib+meetup-kit+examples,42439,25370,8381,3751,4937,342,gRPC,grpc.io
fluent,fluentd+fluent-bit+fluent-plugin-kafka+fluentd-docker-image+fluent-plugin-s3+fluentd-docs+fluentd-website+serverengine+fluent-logger-ruby+fluent-logger-python+fluent-logger-node+fluent-bit-docs+fluent-plugin-webhdfs+fluent-logger-golang+fluent-plugin-mongo+fluentd-kubernetes-daemonset+fluent-logger-scala+fluent-plugin-grok-parser+fluent-plugin-sql+fluent-logger-perl+fluent-logger-java+fluent-plugin-rewrite-tag-filter+fluentd-ui+fluent-bit-go+fluent-plugin-flume+fluent-plugin-multiprocess+fluent-plugin-windows-eventlog+fluent-bit-kubernetes-daemonset+NLog.Targets.Fluentd+fluentd-forwarder+fluent-bit-docker-image+fluent-logger-php+nginx-fluentd-module+fluent-bit-packaging+fluent-bit-docker+fluentbit-website-v2+fluentd-docs-kubernetes+fluentd-benchmark,9366,4224,1565,2546,1031,149,Fluentd,fluentd.org
coreos+rkt,rkt+rkt,8820,6039,1365,584,832,125,rkt,github.com/rkt/rkt
opentracing+grpc-ecosystem,opentracing-java+specification+opentracing.github.io+opentracing-go+opentracing.io+opentracing-javascript+opentracing-csharp+basictracer-go+opentracing-python+basictracer-python+grpc-opentracing+opentracing-cpp+opentracing-objc+opentracing-ruby+contrib+basictracer-javascript+basictracer-csharp,4637,2675,656,926,380,96,OpenTracing,opentracing.io
docker+containerd,containerd+containerd,3306,1860,872,379,195,84,containerd,containerd.io
linkerd,linkerd+linkerd-tcp+linkerd-examples+tacho+linkerd-zipkin+linkerd-viz+rustup-nightly-docker+namerctl,1885,624,374,568,319,28,Linkerd,linkerd.io
coredns,coredns+blog.coredns.io+deployment+coredns.io+perf-tests+logo+presentations,717,328,152,143,94,13,CoreDNS,coredns.io
