org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,81153,65233,16308,15920,16308,1771,Linux kernel,kernel.org
Azure,azure-content+azure-powershell+azure-iot-sdks+azure-quickstart-templates+azure-xplat-cli+autorest+azure-webjobs-sdk-script+azure-webjobs-sdk-templates,12683,6405,2322,3054,902,665,Azure,azure.github.io
angular+angular-ui+AngularClass+angular-fullstack,angular+material+angular.js+bootstrap+ui-select+angular2-webpack-starter+angular.io+angular-cli+ui-grid+generator-angular-fullstack+material2,35560,25367,2285,3700,4208,547,Angular,angular.io
Homebrew,homebrew+homebrew-science,10727,6646,2477,1010,594,396,Homebrew,brew.sh
NixOS,nixpkgs,14186,8741,1696,3048,701,345,NixOS,nixos.org
facebook,react-native+react+presto+AsyncDisplayKit+osquery+draft-js+rocksdb,25259,19549,2111,1520,2079,319,React,facebook.com
caskroom,homebrew-cask,6616,2961,2025,1329,301,314,Homebrew Cask,caskroom.github.io
dotnet,corefx+cli+coreclr+wcf+corert+corefxlab+core-docs,34052,24443,3174,3710,2725,294,dotnet,microsoft.com/net
docker,docker+swarm+compose+notary+distribution+libnetwork+docker-py,27661,21171,2217,2033,2240,283,Docker,mobyproject.org
kubernetes+coreos,kubernetes+dashboard+contrib+kubernetes.github.io+heapster+coreos-kubernetes+deployment-manager,32253,24970,3078,1773,2432,252,Kubernetes,kubernetes.io
ansible,ansible+ansible-modules-core+ansible-modules-extras,12426,8640,1236,1067,1483,232,Ansible,ansible.com
elastic,elasticsearch+kibana+logstash+beats+elasticsearch-net,23677,16018,2242,3212,2205,222,Elasticsearch,elastic.co/products/elasticsearch
DefinitelyTyped,DefinitelyTyped,3915,2189,1183,310,233,215,DefinitelyTyped,definitelytyped.org
dotnet+Microsoft,roslyn+vscode+vso-agent-tasks+vscode-docs+msbuild,29876,20677,1530,3314,4355,211,VS Code,code.visualstudio.com
rails,rails,7984,5657,1045,729,553,186,Ruby on Rails,rubyonrails.org
hashicorp,terraform,8645,5796,641,1295,913,177,Terraform,terraform.io
mozilla,addons-server+pdf.js+olympia+testpilot+platatus,7667,4623,714,1364,966,171,Mozilla,mozilla.org
influxdata,influxdb+telegraf+kapacitor+docs.influxdata.com,11804,7319,867,2515,1103,169,InfluxData,influxdata.com
aspnet,EntityFramework+Mvc+Docs+KestrelHttpServer+Hosting,11707,7471,715,2295,1226,160,ASP.net,asp.net
nodejs,node+nodejs.org,11456,9754,624,472,606,153,Node.js,nodejs.org
Automattic,wp-calypso,17551,8324,1574,6674,979,138,WP Calypso,developer.wordpress.com/calypso
tensorflow,tensorflow,7516,5801,505,573,637,136,TensorFlow,tensorflow.org
openshift,openshift-ansible+openshift-docs,5576,3686,860,830,200,129,OpenShift,openshift.com
driftyco,ionic+ionic-site,7549,3795,200,2389,1165,127,Ionic,ionicframework.com
odoo,odoo,4905,2247,895,1290,473,125,Odoo,odoo.com
elsys,po-homework,1612,287,317,916,92,116,ELSYS,elsys-bg.org
dmlc,mxnet+xgboost,4740,3369,387,317,667,114,DMLC,dmlc.github.io
ReactiveX,RxJS+RxJava+RxSwift,5228,3954,455,428,391,111,ReactiveX,reactivex.io
fossasia,gci15.fossasia.org+open-event-android,3513,2440,540,383,150,106,fossasia,fossasia.org
ampproject,amphtml,7365,4920,802,954,689,104,AMP,ampproject.org
tgstation,-tg-station,15653,12459,1314,1093,787,99,SS13,tgstation13.org
zurb,foundation-sites,4109,2796,208,508,597,93,zurb,zurb.com
owncloud,core+documentation+contacts+mail,12366,8989,689,1324,1364,91,ownCloud,owncloud.org
ManageIQ,manageiq,9374,6171,1681,1260,262,88,ManageIQ,manageiq.org
c4cs,c4cs.github.io,827,391,110,218,108,87,Computing for Computer Scientists,c4cs.github.io
mamedev,mame,2580,510,201,1817,52,87,MAME,mamedev.org
ParsePlatform,parse-server+parse-server-example,9116,6779,559,688,1090,87,Parse,parseplatform.github.io
openhab,openhab,3552,2626,331,331,264,87,openHAB,openhab.org
Particular,NServiceBus+docs.particular.net,7458,4629,446,2033,350,87,NServiceBus,particular.net/nservicebus
magento,magento2,5563,4210,149,162,1042,85,Magento,magento.com/home
airbnb,airflow,2280,1344,295,442,199,84,airbnb,""
openwrt,packages,1551,870,279,314,88,83,OpenWrt,openwrt.org
eslint,eslint,5751,4472,359,383,537,82,eslint,eslint.org
emberjs,ember.js+data,3612,2536,398,367,311,81,Ember.js,emberjs.com
letsencrypt,letsencrypt+boulder,6254,3754,515,1388,597,80,Let's Encrypt,letsencrypt.org
EFForg,https-everywhere,2982,1615,647,501,219,79,HTTPS Everywhere,eff.org/https-everywhere
chef,chef+inspec,4166,2103,447,1393,223,79,Chef,chef.io/chef
mapbox,mapbox-gl-native+mapbox-gl-js,9078,5225,639,2167,1047,78,Mapbox,mapbox.com
numpy,numpy,4548,3691,319,287,251,77,numpy,""
atom,atom+electron,10130,7271,478,817,1564,77,Atom,atom.io
eclipse,che+smarthome+jetty.project,7394,3816,657,2044,877,77,Eclipse,eclipse.org
JuliaLang,julia,7823,5796,498,957,572,75,Julia,julialang.org
OfficeDev,Office-UI-Fabric+PnP-Sites-Core+microsoft-graph-docs,2491,1130,316,763,282,75,Office Developer,dev.office.com
systemd,systemd,2907,2004,378,225,300,73,systemd,freedesktop.org/wiki/Software/systemd
grpc,grpc+grpc-java,7641,4799,1131,938,773,73,gRPC,grpc.io
hechoendrupal,DrupalConsole,1521,719,333,320,149,73,hechoendrupal,""
joomla,joomla-cms,8037,6582,406,664,385,73,Joomla,joomla.org
fastlane,fastlane,3913,2698,415,368,432,71,fastlane,fastlane.tools
openssl,openssl,4246,2712,310,1107,117,70,OpenSSL,openssl.org
fpco,stackage,1298,705,137,354,102,69,Hackage,stackage.org
pypa,pip+warehouse,2365,1673,249,242,201,67,pypa,""
voidlinux,void-packages,4175,1288,566,2176,145,67,The Void distribution,voidlinux.eu
sequelize,sequelize,3066,2357,152,163,394,65,Sequelize,docs-sequelizejs.com
rapid7,metasploit-framework,2241,1645,232,250,114,65,Rapid7,rapid7.com
composer,composer,3614,2959,142,242,271,65,composer,""
scipy,scipy,2708,2138,225,191,154,65,scipy,""
phpmyadmin,phpmyadmin,3740,2629,97,740,274,63,phpmyadmin,""
Automattic,jetpack,2299,1013,270,859,157,63,Automattic Jetpack,jetpack.com
sympy,sympy,3519,2763,362,173,221,63,sympy,""
Sylius,Sylius,4197,2841,541,483,332,63,Sylius,""
greenplum-db,gpdb,2331,1593,315,355,68,62,greenplum-db,""
playframework,playframework,2707,1724,391,374,218,62,Play Framework,playframework.com
guardian,frontend,5636,1991,955,2627,63,62,The Guardian,theguardian.com
auth0,docs,1023,149,293,437,144,61,Auth0,auth0.com
CartoDB,cartodb+cartodb.js+deep-insights.js,5459,2209,534,2212,504,60,CARTO,carto.com
TrinityCore,TrinityCore,5751,4185,231,788,547,60,TrinityCore,trinitycore.org
esp8266,Arduino,3498,2771,132,203,392,58,esp8266,""
saltstack,salt,7396,5281,1093,161,861,57,SaltStack,repo.saltstack.com
TEAMMATES,teammates+repo,3468,2219,301,739,209,57,TEAMMATES,teammatesv4.appspot.com
california-civic-data-coalition,django-calaccess-raw-data,910,396,103,354,57,56,california-civic-data-coalition,""
google,WebFundamentals,1283,552,198,348,185,56,Google WebFundamentals,developers.google.com/web/fundamentals
DataDog,dd-agent,1713,728,202,721,62,56,DataDog,""
sakaiproject,sakai,2231,1021,533,589,88,56,Sakai,sakaiproject.org
codecombat,codecombat,1380,425,162,712,81,55,CodeCombat,codecombat.com
RocketChat,Rocket.Chat,5446,3630,257,831,728,55,RocketChat,rocket.chat
CleverRaven,Cataclysm-DDA,6678,5074,842,375,387,54,Cataclysm-DDA,en.cataclysmdda.com
BVLC,caffe,2282,1671,149,151,311,54,BVLC,""
deeplearning4j,deeplearning4j+nd4j,2536,550,294,1389,303,53,deeplearning4j,""
coala-analyzer,coala+coala-bears,5016,3345,507,724,440,53,coala-analyzer,""
ctfs,write-ups-2016,703,215,101,243,144,53,ctfs,""
akka,akka,4429,3295,348,384,402,53,Akka,akka.io
libgdx,libgdx,1592,1063,127,218,184,53,libgdx,""
conda,conda+conda-build,3458,2381,179,544,354,53,conda,""
meteor,meteor+guide,6108,4606,193,584,725,52,Meteor,meteor.com
openframeworks,openFrameworks,1769,1198,185,239,147,52,openframeworks,""
haskell,cabal+haskell-mode,3375,2426,266,472,211,52,haskell,""
hashicorp,consul,1911,1244,154,289,224,52,Consul,consul.io
domoticz,domoticz,2180,1396,201,455,128,51,domoticz,""
opencart,opencart,1431,641,207,353,230,50,opencart,""
Yoast,wordpress-seo+YoastSEO.js,4054,2024,280,1177,573,50,Yoast SEO,yoast.com/wordpress/seo
druid-io,druid,4247,2905,623,542,177,50,druid-io,""
aws,aws-cli+aws-sdk-go,1706,1096,187,266,157,49,aws,""
NativeScript,NativeScript+nativescript-cli,5065,3145,372,983,565,49,NativeScript,nativescript.org
SpongePowered,SpongeCommon+SpongeAPI,3376,1547,175,1395,259,49,SpongePowered,""
perl6,doc,615,185,78,296,56,49,perl6,""
npm,npm+newww,7050,5079,255,577,1139,49,npm,npmjs.com
callemall,material-ui,6484,5204,505,240,535,49,Material-UI,material-ui.com
Automattic,mongoose+amp-wp,2836,1844,181,381,430,47,Automattic,""
xitu,gold-miner,1314,910,59,270,75,47,xitu,""
kivy,kivy+python-for-android,1933,1160,194,339,240,47,kivy,""
Leaflet,Leaflet,1323,901,109,169,144,47,Leaflet,""
telerik,kendo-ui-core,1644,177,70,1235,162,47,Telerik,telerik.com
broadinstitute,cromwell+gatk+gatk-protected,5459,2494,376,2181,408,47,Broad Institute,broadinstitute.org
jhipster,generator-jhipster,5006,3806,450,384,366,46,jhipster,""
yiisoft,yii2,3754,2828,239,153,534,46,yiisoft,""
mesosphere,marathon,3457,1755,273,913,516,46,Mesosphere,mesosphere.com
hashicorp,vault,2573,1375,190,793,215,46,Vault,vaultproject.io
SeleniumHQ,selenium,2466,1648,92,325,401,46,SeleniumHQ,""
rails-api,active_model_serializers,1973,1596,149,127,101,46,rails-api,""
cakephp,cakephp,2937,2041,265,306,325,46,CakePHP,cakephp.org
concrete5,concrete5,2033,1255,248,366,164,45,concrete5,""
CiscoCloud,mantl+microservices-infrastructure,2294,1309,212,608,165,45,CiscoCloud,""
cockroachdb,cockroach+docs,7025,4204,837,1333,651,45,Cockroach DB,cockroachlabs.com
brave,browser-laptop,4555,2646,205,805,899,45,Brave Software,brave.com
commercialhaskell,stack,2389,1684,93,284,328,45,commercialhaskell,""
webdriverio,webdriverio,1401,906,87,242,166,45,webdriverio,""
keystonejs,keystone,2094,1298,134,479,183,43,keystonejs,""
RIOT-OS,RIOT,5821,4997,428,284,112,43,RIOT-OS,""
neo4j,neo4j,2725,1208,591,821,105,43,neo4j,""
duckduckgo,zeroclickinfo-goodies,4356,3211,706,338,101,43,DuckDuckHack,duckduckhack.com
airbnb,enzyme,892,569,89,135,99,43,Enzyme,airbnb.io/enzyme
pantheon-systems,documentation,1476,426,202,763,85,43,pantheon-systems,""
torchbox,wagtail,1990,1396,183,219,192,43,torchbox,""
google,closure-compiler,1954,1370,173,206,205,43,Google Closure Compiler,developers.google.com/closure/compiler
diydrones,ardupilot,2790,2055,279,327,129,43,diydrones,""
cocos2d,cocos2d-x,1782,1067,293,231,191,42,Cocos2d-x,cocos2d-x.org
Codeception,Codeception,1362,825,126,251,160,42,Codeception,""
Baystation12,Baystation12,2486,1333,463,452,238,42,Baystation12,baystation12.net
RobotLocomotion,drake,2675,2077,229,176,193,42,RobotLocomotion,drake.mit.edu
iTXTech,Genisys,4200,2774,177,737,512,42,iTXTech,""
solidusio,solidus,2123,1427,326,294,76,41,solidusio,""
cleanflight,cleanflight,2647,2066,176,203,202,41,cleanflight,""
google,protobuf,1405,992,144,114,155,41,Google Protocol Buffers,developers.google.com/protocol-buffers
serverless,serverless,2374,1224,202,647,301,41,Serverless Framework,serverless.com
nipy,dipy+nipype,1831,1356,204,138,133,41,nipy,""
nim-lang,Nim,1441,873,133,203,232,41,nim-lang,""
Flexget,Flexget,2190,1064,73,877,176,40,Flexget,""
acemod,ACE3,3887,2585,303,719,280,40,ACE Mod,acemod.com
StackStorm,st2+st2-packages,2458,1274,349,697,138,40,StackStorm,""
symfony,symfony,6048,4784,662,205,397,40,Symfony,symfony.com
