org,repo,activity,comments,prs,commits,issues,authors,project,url
spinnaker,spinnaker,296,211,24,22,39,12,spinnaker,""
CiscoCloud,microservices-infrastructure,294,192,32,53,17,12,CiscoCloud,""
zfsonlinux,zfs,768,660,36,14,58,12,zfsonlinux,""
Theano,Theano,774,568,83,39,84,12,Theano,""
vhbb,cmssw,281,147,59,53,22,12,vhbb,""
fact-project,fact-tools,280,63,13,191,13,12,fact-project,""
makersacademy,website,280,112,26,116,26,12,makersacademy,""
qgis,QGIS-Documentation,277,151,53,59,14,12,qgis,""
chef-cookbooks,docker,273,170,24,53,26,12,chef-cookbooks,""
mapserver,mapserver,268,175,22,50,21,12,mapserver,""
contiki-os,contiki,268,195,33,24,16,12,contiki-os,""
OOP-Team-Project,RPG-Interation-1,261,22,49,168,22,12,OOP-Team-Project,""
leancloud,docs,124,42,31,36,15,12,leancloud,""
intel-iot-devkit,mraa,250,154,18,62,16,12,intel-iot-devkit,""
OpenSIPS,opensips,247,115,11,95,26,12,OpenSIPS,""
geonetwork,core-geonetwork,247,83,26,101,37,12,geonetwork,""
LMMS,lmms,832,716,33,29,54,12,LMMS,""
modxcms,revolution,244,166,16,34,28,12,modxcms,""
slick,slick,241,197,15,16,13,12,slick,""
Microsoft,ChakraCore,864,639,134,38,53,12,Microsoft Chakra,github.com/Microsoft/ChakraCore
ruby-grape,grape,227,166,27,22,12,12,ruby-grape,""
ofi-cray,libfabric-cray,214,137,27,36,14,12,ofi-cray,""
jscs-dev,node-jscs,214,133,15,52,14,12,jscs-dev,""
HabitRPG,habitrpg,877,589,56,120,112,12,HabitRPG,""
tensorflow,skflow,205,99,13,71,22,12,tensorflow,""
welaika,wordmove,203,135,15,35,18,12,welaika,""
PaperSpigot,Paper,202,134,16,31,21,12,PaperSpigot,""
numpy,numpy,886,719,73,14,80,12,numpy,""
ajaxorg,ace,192,122,26,24,20,12,ajaxorg,""
WhisperSystems,Signal-Android,909,729,42,33,105,12,WhisperSystems,""
lale-help,lale-help,453,199,27,180,47,12,lale-help,""
thelia,thelia,185,77,53,44,11,12,thelia,""
drush-ops,drush,431,285,42,53,51,12,drush-ops,""
jasmine,jasmine,184,134,13,18,19,12,jasmine,""
Automattic,amp-wp,458,254,54,69,81,12,Automattic,""
codingforeveryone,READMEs,184,66,29,75,14,12,codingforeveryone,""
twbs,bootstrap,1005,666,78,129,132,12,twbs,""
girder,girder,408,193,41,162,12,12,girder,""
mitmproxy,mitmproxy,488,231,33,171,53,12,mitmproxy,""
silverstripe,silverstripe-framework,489,358,77,20,34,12,silverstripe,""
reactioncommerce,reaction,520,265,36,163,56,11,reactioncommerce,""
SOEN341-W16,ConUScheduler,119,36,21,43,19,11,SOEN341-W16,""
Kunstmaan,KunstmaanBundlesCMS,241,75,75,71,20,11,Kunstmaan,""
nunit,nunit,414,334,16,20,44,11,nunit,""
cryptonomex,graphene-ui,351,84,13,218,36,11,cryptonomex,""
reactjs,react-rails,236,147,13,63,13,11,reactjs,""
KSP-KOS,KOS,403,251,50,54,48,11,KSP-KOS,""
africanmathsinitiative,Instat,867,229,335,286,17,11,africanmathsinitiative,""
geopython,pywps,228,90,36,63,39,11,geopython,""
shogun-toolbox,shogun,400,194,28,152,26,11,shogun-toolbox,""
kriasoft,react-starter-kit,353,271,17,28,37,11,kriasoft,""
sul-dlss,argo,868,373,98,352,45,11,sul-dlss,""
OpenZWave,open-zwave,150,85,16,37,12,11,OpenZWave,""
realm,realm-java,1169,776,52,239,102,11,Realm,realm.io
allegro,hermes,308,99,30,160,19,11,allegro,""
SatelliteQE,robottelo,305,234,30,28,13,11,SatelliteQE,""
intelsdi-x,snap,226,146,33,28,19,11,intelsdi-x,""
django-extensions,django-extensions,81,38,18,13,12,11,django-extensions,""
beetbox,beets,361,247,14,67,33,11,beetbox,""
cloudtools,troposphere,117,63,18,24,12,11,cloudtools,""
rabbitmq,rabbitmq-server,296,157,31,76,32,11,rabbitmq,""
libretro,RetroArch,1240,299,33,858,50,11,libretro,libretro.com
react-toolbox,react-toolbox,294,215,25,14,40,11,react-toolbox,""
h2o,h2o,506,294,35,114,63,11,h2o,""
HerculesWS,Hercules,293,135,19,111,28,11,HerculesWS,""
mono,MonoGame,869,740,67,36,26,11,mono,""
aws,aws-cli,322,216,34,42,30,11,aws,""
cuckoosandbox,cuckoo,329,216,14,61,38,11,cuckoosandbox,""
bignerdranch,Freddy,185,124,14,27,20,11,bignerdranch,""
refinery,refinerycms,145,89,17,25,14,11,refinery,""
EducationalTestingService,skll,286,146,24,105,11,11,EducationalTestingService,""
CatchChat,Yep,283,163,14,59,47,11,CatchChat,""
Apollo-Community,ApolloStation,281,105,28,96,52,11,Apollo-Community,""
Microsoft,visualfsharp,396,283,37,37,39,11,Microsoft F#,github.com/Microsoft/visualfsharp
rcos,Observatory3,101,43,11,35,12,11,rcos,""
opencaching,opencaching-pl,210,116,23,46,25,11,opencaching,""
symengine,symengine,454,375,40,24,15,11,symengine,""
Project-OSRM,osrm-backend,690,296,37,295,62,11,Project-OSRM,""
camptocamp,ngeo,662,422,87,104,49,11,camptocamp,""
bcit-ci,CodeIgniter,404,275,36,49,44,11,bcit-ci,""
ozone-development,ozp-center,144,78,17,37,12,11,ozone-development,""
NodeBB,NodeBB,799,432,35,199,133,11,NodeBB,""
OpenMS,OpenMS,418,326,36,29,27,11,OpenMS,""
gap-system,gap,485,346,46,62,31,11,gap-system,""
projecthydra,sufia,337,228,21,44,44,11,projecthydra,""
cBioPortal,cbioportal,362,257,25,24,56,11,cBioPortal,""
fsprojects,Fable,175,90,21,46,18,11,fsprojects,""
liqd,adhocracy3,592,251,89,240,12,11,liqd,""
scrapy,scrapy,526,356,51,80,39,11,scrapy,""
NancyFx,Nancy,579,348,102,105,24,11,NancyFx,""
ParsePlatform,parse-server,2193,1596,125,61,411,11,Parse,parseplatform.github.io
ublaboo,datagrid,473,292,29,98,54,11,ublaboo,""
cuberite,cuberite,523,398,26,31,68,11,cuberite,""
goadesign,goa,349,134,56,120,39,11,goadesign,""
magic-lang,ooc-kean,863,575,126,131,31,11,magic-lang,""
