org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
torvalds,linux,578603,494651,72469,83952,72469,698,68904,Linux,kernel.org
zephyrproject-rtos,zephyr+zephyr-testing+openocd+sdk-ng+docker-image+reqmgmt+action-zephyr-setup+west+zephyr-lang-rust+Kconfiglib+net-tools+infrastructure+pr-dashboard+zscilib+hal_afbr+test_results+docker-scancode+windows-curses,166503,135287,17679,45921,5147,8390,1548,Zephyr,zephyrproject.org
