org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-client+GoogleCloudPlatform,kubernetes+test-infra+kubernetes.github.io+kops+charts+service-catalog+helm+ingress+minikube+community+kube-aws+dashboard+cri-o+kompose+bootkube+kubeadm+heapster+autoscaler+kargo+external-storage+features+contrib+cri-containerd+external-dns+client-python+frakti+apiserver-builder+perf-tests+kube-state-metrics+dns+cri-tools+kubernetes-anywhere+release+client-go+java+gen+kubectl+gengo+examples+cluster-proportional-autoscaler+node-problem-detector+reference-docs+metrics-server+ip-masq-agent+git-sync+apiserver+repo-infra+python-base+node-feature-discovery+spartakus+kube-deploy+ruby+sample-apiserver+kubernetes-bootcamp+cluster-capacity+kubernetes-workshops+csharp+apimachinery,30227,21371,4645,1741,2470,451,Kubernetes,kubernetes.io
grpc+grpc-ecosystem,grpc+grpc-go+grpc-java+grpc-gateway+go-grpc-middleware+grpc.github.io+grpc-opentracing+grpc-swift+grpc-httpjson-transcoding+proposal+grift+java-grpc-prometheus+grpc-contrib+homebrew-grpc+go-grpc-prometheus,3689,2040,788,328,533,96,gRPC,grpc.io
prometheus,prometheus+alertmanager+docs+blackbox_exporter+tsdb+client_java+snmp_exporter+node_exporter+jmx_exporter+client_golang+client_python+client_ruby+mysqld_exporter+prometheus.github.io+statsd_exporter+pushgateway+consul_exporter+procfs+cloudwatch_exporter+prom2json+promu+client_model+graphite_exporter+common+haproxy_exporter+busybox+golang-builder,2777,1618,428,384,347,66,Prometheus,prometheus.io
fluent,fluent-bit+fluentd+fluentd-kubernetes-daemonset+fluentd-docker-image+fluentd-website+fluent-logger-perl+fluent-logger-node+fluent-bit-kubernetes-daemonset+fluentd-docs+fluent-plugin-s3+fluent-bit-docs+fluent-plugin-kafka+fluent-plugin-webhdfs+fluent-logger-python+fluent-logger-golang+fluentd-ui+fluent-logger-ruby+fluent-bit-docker-image+fluent-plugin-rewrite-tag-filter+fluent-logger-java+fluent-plugin-grok-parser+fluent-plugin-multiprocess+fluent-plugin-windows-eventlog,742,331,147,158,106,31,Fluentd,fluentd.org
containerd+docker,containerd+continuity+go-runc+fifo+console+cgroups+btrfs+containerd,1103,625,273,120,85,27,containerd,containerd.io
linkerd,linkerd+linkerd-tcp+tacho+linkerd-examples+linkerd-zipkin+linkerd-viz+namerctl+rustup-nightly-docker,799,298,167,199,135,18,Linkerd,linkerd.io
opentracing,opentracing-java+opentracing.io+specification+opentracing-python+opentracing-go+opentracing-javascript+opentracing-csharp+basictracer-python+opentracing-ruby,360,207,66,50,37,18,OpenTracing,opentracing.io
rkt,rkt+stage1-xen,180,112,29,20,19,13,rkt,github.com/rkt/rkt
containernetworking,cni+plugins,189,120,38,20,11,12,CNI,github.com/containernetworking
coredns,coredns+perf-tests+deployment+blog.coredns.io+coredns.io,270,160,40,29,41,11,CoreDNS,coredns.io
