org,repo,activity,comments,prs,commits,issues,authors,project,url
Project-OSRM,osrm-backend,2838,1283,190,1171,194,29,Project-OSRM,""
conda-forge,staged-recipes,1916,1194,441,250,31,29,conda-forge,""
chapel-lang,chapel,3036,1628,640,577,191,29,chapel-lang,""
JabRef,jabref,1855,1092,131,488,144,29,JabRef,""
artsy,force,1772,874,385,373,140,29,artsy,""
MvvmCross,MvvmCross,617,399,62,99,57,29,MvvmCross,""
phoenixframework,phoenix,675,382,93,129,71,29,phoenixframework,""
,marcosmoura/vue-material,1543,996,88,171,288,29,marcosmoura/vue-material,""
biopython,biopython,706,515,58,90,43,29,biopython,""
,AliasIO/Wappalyzer,729,421,138,122,48,29,AliasIO/Wappalyzer,""
Talend,ui,3891,1307,282,2239,63,29,Talend,""
KeepSafe,aiohttp,1313,819,61,323,110,29,KeepSafe,""
5calls,5calls,1272,818,119,182,153,29,5calls,""
deployphp,deployer,1236,817,114,213,92,29,deployphp,""
google,grumpy,1217,762,188,182,85,29,google,""
PowerDNS,pdns,1201,560,247,256,138,29,PowerDNS,""
getredash,redash,824,463,107,155,99,29,getredash,""
mlpack,mlpack,1139,894,81,119,45,29,mlpack,""
acquia,blt,1124,450,231,330,113,29,acquia,""
,chmln/flatpickr,960,502,49,232,177,29,chmln/flatpickr,""
,Zulko/moviepy,1004,764,82,92,66,29,Zulko/moviepy,""
opencontainers,runc,899,713,89,57,40,29,opencontainers,""
,serghey-rodin/vesta,700,431,66,120,83,28,serghey-rodin/vesta,""
sonata-project,SonataAdminBundle,866,625,119,66,56,28,sonata-project,""
rcbops,rpc-openstack,2320,1102,382,756,80,28,rcbops,""
ponylang,ponyc,2154,1361,193,494,106,28,ponylang,""
Cadasta,cadasta-platform,2060,1220,183,492,165,28,Cadasta,""
foundersandcoders,master-reference,1167,717,97,291,62,28,foundersandcoders,""
DarkstarProject,darkstar,1088,631,142,234,81,28,DarkstarProject,""
Midburn,Spark,966,376,131,350,109,28,Midburn,""
cloud-elements,churros,946,103,196,598,49,28,cloud-elements,""
ACEmulator,ACE,504,158,157,151,38,28,ACEmulator,""
valor-software,ng2-bootstrap,1688,1169,79,166,274,28,valor-software,""
lammps,lammps,576,283,93,167,33,28,lammps,""
styled-components,styled-components,1634,1233,98,107,196,28,styled-components,""
cerebral,cerebral,1302,601,188,470,43,28,cerebral,""
MISP,MISP,1288,689,68,286,245,28,MISP,""
kanboard,kanboard,1206,776,55,162,213,27,kanboard,""
meteor,meteor,2481,1933,87,226,235,27,Meteor,meteor.com
django-oscar,django-oscar,360,135,45,149,31,27,django-oscar,""
TauCetiStation,TauCetiClassic,2385,1845,205,167,168,27,TauCetiStation,""
,colinxfleming/dcaf_case_management,829,468,113,178,70,27,colinxfleming/dcaf_case_management,""
libgit2,libgit2,719,436,88,152,43,27,libgit2,""
django,channels,705,494,47,82,82,27,django,""
keybase,client,6075,2464,759,2467,385,27,Keybase,keybase.io
openstreetmap,iD,1152,625,51,339,137,27,openstreetmap,""
golang,dep,1480,1163,102,78,137,27,golang,""
,malonnnn/ServerConfig,1531,250,663,550,68,27,malonnnn/ServerConfig,""
opentx,opentx,3625,2063,266,996,300,27,opentx,""
GoogleCloudPlatform,google-cloud-java,1578,1042,179,185,172,27,Google Cloud Platform,cloud.google.com
ParadiseSS13,Paradise,7279,6220,602,148,309,27,ParadiseSS13,nanotrasen.se/forum
,johndyer/mediaelement,1690,1141,47,367,135,27,johndyer/mediaelement,""
chain,chain,3182,1031,449,1662,40,27,chain,""
racket,racket,620,403,36,120,61,27,racket,""
Ultimaker,Cura,2514,1667,87,512,248,27,Ultimaker,""
,mgp25/Instagram-API,1741,1049,84,381,227,27,mgp25/Instagram-API,""
diesel-rs,diesel,1788,712,151,806,119,27,diesel-rs,""
GeoNode,geonode,602,246,121,155,80,27,GeoNode,""
,robmorgan/phinx,408,272,45,60,31,27,robmorgan/phinx,""
dotCMS,core,2741,1025,337,871,508,27,dotCMS,""
intel-analytics,BigDL,1032,447,235,199,151,27,intel-analytics,""
CCExtractor,ccextractor,569,336,81,97,55,27,CCExtractor,""
IgniteUI,ignite-ui,539,137,160,179,63,27,IgniteUI,""
secdev,scapy,793,515,140,98,40,27,secdev,""
open-learning-exchange,open-learning-exchange.github.io,887,607,121,82,77,27,open-learning-exchange,""
,sksamuel/elastic4s,792,447,60,192,93,27,sksamuel/elastic4s,""
Necrobot-Private,NecroBot,4276,2316,305,999,656,27,Necrobot-Private,""
,mpociot/botman,900,517,97,176,110,26,mpociot/botman,""
salesagility,SuiteCRM,1994,1310,259,170,255,26,salesagility,""
Endless-Horizon,CEV-Eris,860,201,147,324,188,26,Endless-Horizon,""
gobuffalo,buffalo,1272,627,135,389,121,26,gobuffalo,""
librenms,librenms,2932,1947,456,162,367,26,librenms,""
HippieStation,HippieStation13,2031,1409,239,223,160,26,HippieStation,""
,jgthms/bulma,722,485,63,57,117,26,jgthms/bulma,""
,monero-project/monero-core,851,403,183,174,91,26,monero-project/monero-core,""
KhronosGroup,glslang,699,392,74,148,85,26,Kronos GLSL,kronos.org
syncthing,syncthing,1178,706,39,309,124,26,syncthing,""
influxdata,influxdb,2108,1237,174,405,292,26,InfluxData,influxdata.com
zooniverse,Panoptes-Front-End,1678,816,207,535,120,26,zooniverse,""
