org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,26777,21870,5467,4907,5467,918,Linux kernel,kernel.org
DefinitelyTyped,DefinitelyTyped,2825,1626,510,567,122,326,DefinitelyTyped,definitelytyped.org
mozilla,testpilot+addons-server+donate.mozilla.org+addons-frontend,3463,1273,248,1664,278,228,Mozilla,mozilla.org
dotnet,corefx+coreclr+cli+docs+docfx+sdk+corefxlab+corert+core+buildtools,9662,6754,1104,1080,724,222,dotnet,microsoft.com/net
NixOS,nixpkgs,4029,2293,582,950,204,221,NixOS,nixos.org
Azure,azure-cli+azure-webjobs-sdk-script+azure-rest-api-specs+azure-iot-sdks+azure-powershell+autorest+azure-quickstart-templates+azure-sdk-for-net+azure-xplat-cli,4751,2911,597,739,504,221,Azure,azure.github.io
kubernetes+kubernetes-incubator,kubernetes+test-infra+kubernetes.github.io+dashboard+charts+kargo+helm+minikube,11668,9036,1274,632,726,185,Kubernetes,kubernetes.io
ansible,ansible+ansible-modules-core+ansible-modules-extras,4732,3153,537,588,454,184,Ansible,ansible.com
Homebrew,homebrew-core+homebrew-science+homebrew-php,2540,1527,557,346,110,161,Homebrew,brew.sh
caskroom,homebrew-cask,1866,441,903,453,69,159,Homebrew Cask,caskroom.github.io
angular+AngularClass,angular+angular-cli+material2+angular.js+angular.io+material+angular2-webpack-starter,7355,5147,608,539,1061,150,Angular,angular.io
Microsoft+dotnet,vscode+roslyn+vsts-tasks+roslyn-project-system+vcpkg,10545,7116,611,1037,1781,134,VS Code,code.visualstudio.com
docker,docker+docker.github.io+distribution+docker-py,6552,4953,708,317,574,121,Docker,mobyproject.org
facebook+airbnb+reactjs,react+AsyncDisplayKit+osquery+react-native-maps+redux+fbctf,3894,2652,411,487,344,111,React,facebook.com
Automattic,wp-calypso,4641,2092,460,1840,249,105,WP Calypso,developer.wordpress.com/calypso
eclipse,che+smarthome+jetty.project+omr+kura,3859,2111,392,961,395,102,Eclipse,eclipse.org
fa16scmorg,FA16SCM,844,109,252,209,274,99,Assignment Simulaton Repository,github.com/fa16scmorg/FA16SCM
elastic,elasticsearch+kibana+beats,5734,3409,641,1064,620,99,Elasticsearch,elastic.co/products/elasticsearch
tensorflow,tensorflow,4179,3278,259,192,450,96,TensorFlow,tensorflow.org
ManageIQ,manageiq,3456,2230,727,431,68,92,ManageIQ,manageiq.org
driftyco,ionic+ionic-app-scripts+ionic-site+ionic-native,3969,2571,152,620,626,79,Ionic,ionicframework.com
odoo,odoo,1785,952,293,372,168,76,Odoo,odoo.com
openwrt,packages+openwrt,1017,599,209,156,53,75,OpenWrt,openwrt.org
department-of-veterans-affairs,vets-website+vets-api+caseflow,4965,1615,475,2569,306,73,Caseflow,va.gov
vmware,vic+docker-volume-vsphere+harbor+clarity,4092,2564,401,648,479,71,VMware,vmware.github.io
NativeScript,NativeScript+nativescript-cli+docs,1745,1003,147,356,239,69,NativeScript,nativescript.org
nodejs,node,2440,1975,177,115,173,68,Node.js,nodejs.org
ampproject,amphtml+amp-by-example,2290,1513,283,270,224,64,AMP,ampproject.org
OfficeDev,office-ui-fabric-react+office-ui-fabric-js+office-js-docs+PnP-Sites-Core,1174,504,156,352,162,63,Office Developer,dev.office.com
rails,rails,1783,1206,182,280,115,63,Ruby on Rails,rubyonrails.org
aspnet,EntityFramework+Mvc+Docs+SignalR,2844,1770,228,519,327,61,ASP.net,asp.net
Particular,docs.particular.net+NServiceBus+ServiceControl,2035,1014,155,739,127,59,NServiceBus,particular.net/nservicebus
PowerShell,PowerShell+PowerShell-Docs,1446,828,226,226,166,59,PowerShell,microsoft.com/powershell
fastlane,fastlane,2102,1451,182,248,221,55,fastlane,fastlane.tools
Automattic,jetpack,2135,921,198,885,131,55,Automattic Jetpack,jetpack.com
HaliteChallenge,Halite,856,245,91,408,112,54,Halite,halite.io
bioconda,bioconda-recipes,1021,532,261,192,36,53,bioconda,bioconda.github.io
w3c,web-platform-tests,563,322,107,121,13,52,W3C Platform Tests,irc.w3.org/?channels=testing
iron-io,functions,470,95,49,291,35,50,Iron.io,iron.io
saltstack,salt,2272,1525,357,147,243,50,SaltStack,repo.saltstack.com
mapbox,mapbox-gl-native+mapbox-gl-js,2756,1266,247,952,291,49,Mapbox,mapbox.com
chef,chef+inspec,1057,528,99,354,76,49,Chef,chef.io/chef
frappe,erpnext+frappe,1330,471,260,373,226,48,frappe,""
influxdata,influxdb+telegraf+docs.influxdata.com,1718,930,135,468,185,48,InfluxData,influxdata.com
cloudfoundry,bosh+cloud_controller_ng,557,234,28,264,31,46,Cloud Foundry,cloudfoundry.org
ArduPilot,ardupilot,1231,861,136,165,69,45,ArduPilot,ardupilot.org
auth0,docs,606,187,179,224,16,44,Auth0,auth0.com
voidlinux,void-packages,1137,356,131,620,30,43,The Void distribution,voidlinux.eu
rapid7,metasploit-framework,837,613,71,96,57,43,Rapid7,rapid7.com
webpack,webpack+webpack.js.org,1663,1145,159,188,171,43,webpack,github.com/webpack
dmlc,mxnet+xgboost,1886,1341,200,71,274,41,DMLC,dmlc.github.io
electron,electron,1464,932,95,256,181,39,electron,""
training-center,mentoria,506,325,60,88,33,39,training-center,""
greenplum-db,gpdb,784,483,108,172,21,39,greenplum-db,""
hashicorp,terraform,2513,1702,237,194,380,38,Terraform,terraform.io
hpi-swt2,workshop-portal,603,142,30,354,77,38,hpi-swt2,""
JuliaLang,julia,2098,1491,137,314,156,38,Julia,julialang.org
palantir,atlasdb,1318,427,117,716,58,38,AtlasDB,palantir.github.io/atlasdb
codenvy,codenvy+artik-ide,1041,425,94,395,127,38,codenvy,""
joomla,joomla-cms,2275,1855,111,204,105,38,Joomla,joomla.org
ARMmbed,mbed-os,1081,839,101,81,60,37,ARMmbed,""
mantidproject,mantid,1430,367,101,828,134,37,Mantid,mantidproject.org
godotengine,godot,1139,822,72,104,141,36,Godot Engine,godotengine.org
duckduckgo,zeroclickinfo-fathead+zeroclickinfo-goodies,887,623,78,99,87,35,DuckDuckHack,duckduckhack.com
systemd,systemd,1146,842,108,75,121,34,systemd,freedesktop.org/wiki/Software/systemd
tgstation,tgstation,3711,3101,362,103,145,34,SS13,tgstation13.org
sakaiproject,sakai,459,233,92,122,12,34,Sakai,sakaiproject.org
wordpress-mobile,WordPress-Android+WordPress-iOS,1466,694,136,537,99,34,WordPress-mobile,make.wordpress.org/mobile
twbs,bootstrap,916,597,86,121,112,34,twbs,""
RocketChat,Rocket.Chat,1272,771,75,231,195,33,RocketChat,rocket.chat
baidu,Paddle+bfs,1097,640,152,157,148,33,baidu,""
fpco,stackage,312,129,48,119,16,33,Hackage,stackage.org
mattermost,platform,1004,426,220,296,62,32,Mattermost,mattermost.org
PX4,Firmware,1035,761,95,132,47,31,PX4,""
flowtype,flow-typed,222,117,44,39,22,31,flowtype,""
phpmyadmin,phpmyadmin,518,256,24,166,72,31,phpmyadmin,""
LLNL,spack,1089,723,130,143,93,31,LLNL,""
alibaba,weex,859,452,114,162,131,30,Alibaba,alibaba.com
yarnpkg,yarn,2267,1729,122,81,335,30,yarn,yarnpkg.com
openshift,openshift-ansible,902,532,144,170,56,30,OpenShift,openshift.com
neo4j,neo4j,688,234,163,271,20,30,neo4j,""
HTBox,allReady,726,492,68,63,103,29,HTBox,""
cockroachdb,cockroach,2783,1398,194,246,945,29,Cockroach DB,cockroachlabs.com
pingcap,tidb+tikv,2108,811,251,977,69,29,PingCAP,github.com/pingcap
gradle,gradle,1419,478,62,766,113,29,gradle,""
openssl,openssl,1242,816,145,226,55,29,OpenSSL,openssl.org
woocommerce,woocommerce,1215,589,114,344,168,29,woocommerce,""
pantheon-systems,terminus+documentation,483,125,88,245,25,29,pantheon-systems,""
spotify,HubFramework+luigi,508,281,88,107,32,29,spotify,""
TechEmpower,FrameworkBenchmarks,308,151,48,98,11,29,TechEmpower,""
prestodb,presto,965,598,151,118,98,29,prestodb,""
mipengine,mip-extensions,406,139,132,123,12,29,mipengine,""
broadinstitute,cromwell+gatk,827,405,72,289,61,29,Broad Institute,broadinstitute.org
hashicorp,consul,568,298,65,168,37,29,Consul,consul.io
oss-gate,workshop,570,474,27,50,19,28,oss-gate,""
LO23TD01,LO23TD01,336,102,59,130,45,28,LO23TD01,""
Baystation12,Baystation12,798,477,149,122,50,28,Baystation12,baystation12.net
18F,cg-site,396,137,82,159,18,28,18F,""
serverless,serverless,1035,705,95,125,110,28,Serverless Framework,serverless.com
ReactiveX,rxjs+RxSwift,605,418,52,69,66,27,ReactiveX,reactivex.io
TrinityCore,TrinityCore,1433,1034,52,199,148,27,TrinityCore,trinitycore.org
palantir,tslint,672,349,80,182,61,27,TSLint,palantir.github.io/tslint
pypa,pip+pipfile,680,463,62,74,81,27,pypa,""
eslint,eslint,1046,819,38,93,96,27,eslint,eslint.org
capitalone,Hygieia+cloud-custodian,864,524,103,151,86,27,capitalone,""
betaflight,betaflight,1250,878,145,149,78,26,Betaflight,github.com/betaflight/betaflight/releases
magento,magento2,2235,1814,53,32,336,26,Magento,magento.com/home
grpc,grpc,1387,907,201,143,136,26,gRPC,grpc.io
owncloud,core+client,1655,1237,76,211,131,26,ownCloud,owncloud.org
matplotlib,matplotlib,1014,808,79,63,64,26,matplotlib,""
JabRef,jabref,670,400,52,158,60,26,JabRef,""
home-assistant,home-assistant,2070,1537,260,92,181,26,Home Assistant,home-assistant.io
c4cs,c4cs.github.io,168,79,21,52,16,26,Computing for Computer Scientists,c4cs.github.io
cplusplus,draft,1052,469,160,383,40,25,cplusplus,""
fabric8io,fabric8-maven-plugin+fabric8,555,247,54,189,65,25,fabric8,fabric8.io
moment,moment,542,421,30,40,51,25,moment,""
libretro,RetroArch,1176,516,85,494,81,25,libretro,libretro.com
bazelbuild,bazel,889,676,21,73,119,25,bazelbuild,""
