org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,23412,19559,4889,3853,4889,802,Linux kernel,kernel.org
kubernetes+kubernetes-incubator,kubernetes+kubernetes.github.io+charts+kops+test-infra+service-catalog+kargo+community+minikube+helm+bootkube+heapster,14803,11366,1732,877,828,322,Kubernetes,kubernetes.io
NixOS,nixpkgs,5114,2977,726,1158,253,255,NixOS,nixos.org
docker,docker+docker.github.io+compose+swarmkit+containerd,8044,5654,800,755,835,223,Docker,mobyproject.org
Azure,azure-cli+azure-rest-api-specs+azure-powershell+azure-sdk-for-net+autorest+azure-quickstart-templates+acs-engine+azure-xplat-cli,4031,2266,745,675,345,220,Azure,azure.github.io
dotnet,corefx+coreclr+cli+docs+docfx+core-setup+corert+corefxlab,9959,6964,1157,1134,704,215,dotnet,microsoft.com/net
mozilla,addons-server+addons-frontend+testpilot+thimble.mozilla.org+rr,3477,1687,276,1162,352,208,Mozilla,mozilla.org
DefinitelyTyped,DefinitelyTyped,2002,1149,455,288,110,201,DefinitelyTyped,definitelytyped.org
home-assistant,home-assistant+home-assistant.github.io,3543,2240,586,472,245,176,Home Assistant,home-assistant.io
caskroom,homebrew-cask,1753,468,693,538,54,156,Homebrew Cask,caskroom.github.io
angular+AngularClass,angular-cli+angular+material2+angular.js+angular.io+angular2-webpack-starter,9597,6714,769,721,1393,154,Angular,angular.io
Microsoft+dotnet,vscode+roslyn+vsts-tasks+vcpkg+vstest+msbuild+vsts-agent+vscode-mssql,11594,7612,632,1227,2123,149,VS Code,code.visualstudio.com
Homebrew,homebrew-core+brew+homebrew-science+homebrew-php,3160,1763,818,398,181,133,Homebrew,brew.sh
elastic,elasticsearch+kibana+beats+logstash,6606,3911,770,1251,674,129,Elasticsearch,elastic.co/products/elasticsearch
saltstack,salt,2798,1804,375,360,259,122,SaltStack,repo.saltstack.com
tensorflow,tensorflow+models,4609,3497,314,219,579,121,TensorFlow,tensorflow.org
Automattic,wp-calypso,4523,2047,412,1902,162,118,WP Calypso,developer.wordpress.com/calypso
react-community+facebook+react-native-community,react-navigation+AsyncDisplayKit+react+reason+osquery+draft-js+react-native-elements+immutable-js,4566,3082,401,525,558,116,React,facebook.com
ansible,ansible,4335,2885,714,400,336,114,Ansible,ansible.com
ManageIQ,manageiq+manageiq-ui-classic,3299,2202,615,426,56,111,ManageIQ,manageiq.org
magento,magento2+devdocs,2673,2051,119,212,291,86,Magento,magento.com/home
odoo,odoo,1435,731,266,320,118,83,Odoo,odoo.com
rails,rails+webpacker,1958,1311,283,222,142,82,Ruby on Rails,rubyonrails.org
nodejs,node+nodejs.org,3097,2408,301,236,152,79,Node.js,nodejs.org
aspnet,EntityFramework+Docs+Mvc+SignalR,2902,1596,290,722,294,75,ASP.net,asp.net
eclipse,che+kapua+omr,2102,999,228,632,243,70,Eclipse,eclipse.org
openwrt,packages+luci,1068,677,161,187,43,68,OpenWrt,openwrt.org
Automattic,jetpack,1855,966,195,590,104,66,Automattic Jetpack,jetpack.com
airbnb,lottie-android+lottie-ios+react-dates,1453,813,140,279,221,65,airbnb,""
department-of-veterans-affairs,caseflow+vets-website,2543,827,274,1299,143,62,Caseflow,va.gov
bioconda,bioconda-recipes,920,406,256,231,27,61,bioconda,bioconda.github.io
hashicorp,terraform,2800,1607,332,503,358,60,Terraform,terraform.io
cloudmesh,classes,1147,422,299,392,34,60,cloudmesh,github.com/cloudmesh
fossasia,open-event-orga-server+open-event-android+open-event-webapp+2017.fossasia.org,1755,1059,199,278,219,58,fossasia,fossasia.org
mapbox,mapbox-gl-native+mapbox-gl-js,2552,1258,230,806,258,58,Mapbox,mapbox.com
w3c,web-platform-tests,1052,534,226,269,23,58,W3C Platform Tests,irc.w3.org/?channels=testing
github,open-source-guide+linguist,548,293,95,109,51,56,GitHub,github.com
fabric8io,fabric8-planner+fabric8-ui+kubernetes-client+fabric8,1261,560,185,335,181,55,fabric8,fabric8.io
greenplum-db,gpdb,1221,693,225,289,14,54,greenplum-db,""
mamedev,mame,618,159,56,387,16,52,MAME,mamedev.org
ampproject,amphtml,2346,1624,257,223,242,52,AMP,ampproject.org
fossiiita,opencodecollab,490,185,136,131,38,52,fossiiita,""
alibaba,weex+rax,1485,617,218,411,239,51,Alibaba,alibaba.com
cloudfoundry,cf-deployment+bosh-cli,458,159,29,226,44,51,Cloud Foundry,cloudfoundry.org
dart-lang,sdk,2341,1144,17,844,336,51,Dart,dartlang.org
voidlinux,void-packages,1077,377,151,497,52,50,The Void distribution,voidlinux.eu
telerik,kendo-ui-core+kendo-theme-default,873,234,64,417,158,49,Telerik,telerik.com
fpco,stackage,437,202,61,146,28,47,Hackage,stackage.org
Particular,docs.particular.net+NServiceBus,1262,553,108,552,49,46,NServiceBus,particular.net/nservicebus
mattermost,platform+docs,1449,549,287,491,122,46,Mattermost,mattermost.org
webpack,webpack.js.org,564,295,132,96,41,46,webpack,github.com/webpack
fastlane,fastlane,1937,1383,142,222,190,44,fastlane,fastlane.tools
driftyco,ionic+ionic-native,1726,1102,78,202,344,44,Ionic,ionicframework.com
influxdata,telegraf+influxdb+chronograf,1959,1031,169,525,234,44,InfluxData,influxdata.com
devopsdays,devopsdays-web,502,122,179,187,14,43,devopsdays,devopsdays.org
Microsoft,CNTK,1777,409,24,1192,152,43,Microsoft Cognitive Toolkit,cntk.ai
hpi-swt2,workshop-portal,1007,238,114,573,82,42,hpi-swt2,""
mantidproject,mantid,2166,715,209,1074,168,42,Mantid,mantidproject.org
pfnet,chainer+PaintsChainer,1019,537,127,305,50,41,pfnet,""
ARMmbed,mbed-os,1413,1096,112,137,68,41,ARMmbed,""
duckduckgo,zeroclickinfo-fathead+zeroclickinfo-goodies,969,717,89,69,94,40,DuckDuckHack,duckduckhack.com
grpc,grpc,1667,1085,243,187,152,40,GRPC,grpc.io
oss-gate,workshop,813,697,41,50,25,40,oss-gate,""
Microsoft,UWPCommunityToolkit+AirSim,1236,857,66,188,125,40,Microsoft,""
frappe,erpnext+frappe,1116,457,216,260,183,38,frappe,""
qmk,qmk_firmware,386,226,47,91,22,38,qmk,""
JuliaLang,julia,2479,1515,192,618,154,38,Julia,julialang.org
auth0,docs,467,62,172,216,17,38,Auth0,auth0.com
PowerShell,PowerShell+PowerShell-Docs,1131,778,110,119,124,37,PowerShell,microsoft.com/powershell
godotengine,godot,1190,835,100,129,126,36,Godot Engine,godotengine.org
rapid7,metasploit-framework,845,618,92,87,48,36,Rapid7,rapid7.com
ballerinalang,ballerina+composer,358,132,93,97,36,36,ballerinalang,""
joomla,joomla-cms,2289,1622,156,361,150,36,Joomla,joomla.org
wix,react-native-navigation+wix-style-react,945,298,97,466,84,35,WiX,wixtoolset.org
prestodb,presto,1007,670,157,120,60,35,prestodb,""
,bwinton/SnoozeTabs,564,274,48,186,56,35,bwinton/SnoozeTabs,""
5calls,5calls+ios,1173,700,119,222,132,35,5calls,""
wordpress-mobile,WordPress-iOS+WordPress-Android,2073,837,225,761,250,35,WordPress-mobile,make.wordpress.org/mobile
trilinos,Trilinos,538,335,21,139,43,35,trilinos,""
OfficeDev,office-ui-fabric-react,769,371,124,153,121,35,Office Developer,dev.office.com
akka,akka+akka-http,971,677,108,78,108,35,Akka,akka.io
,kamranahmedse/design-patterns-for-humans,289,162,47,57,23,35,kamranahmedse/design-patterns-for-humans,""
DataDog,dd-agent,419,146,58,204,11,34,DataDog,""
,d3athrow/vgstation13,3788,3248,227,101,212,34,vgstation13,github.com/vgstation-coders/vgstation13
,pirate/sites-using-cloudflare,789,523,131,56,79,34,pirate/sites-using-cloudflare,""
ArduPilot,ardupilot+ardupilot_wiki,1154,858,97,128,71,34,ArduPilot,ardupilot.org
material-components,material-components-web+material-components-ios,753,318,90,251,94,33,material-components,""
systemd,systemd,1170,846,129,84,111,33,systemd,freedesktop.org/wiki/Software/systemd
vmware,vic+docker-volume-vsphere,1586,948,159,247,232,33,VMware,vmware.github.io
hashicorp,vault,607,254,56,251,46,33,Vault,vaultproject.io
libretro,RetroArch,1197,609,87,404,97,33,libretro,libretro.com
sakaiproject,sakai,629,273,147,195,14,32,Sakai,sakaiproject.org
