org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,25888,21098,5274,4790,5274,927,Linux kernel,kernel.org
NixOS,nixpkgs,5670,3446,707,1302,215,218,NixOS,nixos.org
Azure,azure-powershell+azure-cli+azure-webjobs-sdk-script+azure-iot-sdks+azure-quickstart-templates+azure-sdk-for-net+azure-sdk-for-java+autorest,4190,2445,613,745,387,218,Azure,azure.github.io
angular+AngularClass,angular+angular-cli+material+material2+angular.io+angular.js+angularfire2+angular2-webpack-starter,10987,7874,736,757,1620,203,Angular,angular.io
ansible,ansible+ansible-modules-core+ansible-modules-extras,5263,3275,780,807,401,193,Ansible,ansible.com
caskroom,homebrew-cask,1883,515,778,515,75,190,Homebrew Cask,caskroom.github.io
facebook+airbnb,react-native+react+AsyncDisplayKit+zstd+osquery+rocksdb+react-native-maps+react-dates+draft-js+mysql-5.6,7783,5591,642,834,716,182,React,facebook.com
dotnet,corefx+coreclr+cli+core-docs+core-setup+buildtools,7460,5268,843,656,693,171,dotnet,microsoft.com/net
DefinitelyTyped,DefinitelyTyped,2200,1269,579,231,121,156,DefinitelyTyped,definitelytyped.org
mozilla,addons-server+learning.mozilla.org+activity-stream+fxa-content-server+addons-frontend,3594,1793,308,1047,446,155,Mozilla,mozilla.org
Microsoft+dotnet,vscode+roslyn+vsts-tasks+msbuild+vcpkg+roslyn-project-system+vscode-docs,11740,7592,715,1439,1994,154,VS Code,code.visualstudio.com
kubernetes,kubernetes+kubernetes.github.io+test-infra+minikube+helm,9567,7540,1057,362,608,151,Kubernetes,kubernetes.io
Automattic,wp-calypso,3466,1575,386,1286,219,103,WP Calypso,developer.wordpress.com/calypso
ManageIQ,manageiq+manageiq-ui-self_service,4818,3424,760,516,118,102,ManageIQ,manageiq.org
elastic,elasticsearch+kibana+logstash+beats,5950,3650,660,1079,561,98,Elasticsearch,elastic.co/products/elasticsearch
tensorflow,tensorflow,3464,2724,224,162,354,96,TensorFlow,tensorflow.org
TheOdinProject,curriculum,550,111,195,233,11,95,The Odin Project,theodinproject.com
magento,magento2+devdocs,3271,2544,74,262,391,75,Magento,magento.com/home
eclipse,che+jetty.project+omr,2827,1306,249,943,329,73,Eclipse,eclipse.org
odoo,odoo,1401,619,187,475,120,72,Odoo,odoo.com
vuejs,vue+vue-router+vuex+vuejs.org+jp.vuejs.org,1933,1186,111,320,316,70,vuejs,vuejs.org
openshift,openshift-docs+openshift-ansible,1526,914,285,277,50,69,OpenShift,openshift.com
auth0,docs+lock,874,381,210,253,30,66,Auth0,auth0.com
docker,docker,4912,4070,311,115,416,64,Docker,mobyproject.org
aspnet,EntityFramework+Mvc+KestrelHttpServer+Docs,2962,2006,175,447,334,64,ASP.net,asp.net
influxdata,influxdb+telegraf+docs.influxdata.com,1939,1100,173,444,222,63,InfluxData,influxdata.com
hashicorp,terraform,2421,1581,216,298,326,63,Terraform,terraform.io
cloudfoundry,bosh+cf-release,608,176,27,367,38,60,Cloud Foundry,cloudfoundry.org
mapbox,mapbox-gl-native+mapbox-gl-js,2283,1180,159,701,243,56,Mapbox,mapbox.com
rails,rails,1606,1090,214,177,125,55,Ruby on Rails,rubyonrails.org
driftyco,ionic+ionic-native+ionic-site,2676,1727,111,387,451,55,Ionic,ionicframework.com
mamedev,mame,748,248,105,383,12,53,MAME,mamedev.org
Homebrew,homebrew-core+homebrew-php+homebrew-science,2532,1658,526,125,223,52,Homebrew,brew.sh
openwrt,packages,659,379,124,131,25,50,OpenWrt,openwrt.org
w3c,web-platform-tests,801,382,175,202,42,50,W3C Platform Tests,irc.w3.org/?channels=testing
department-of-veterans-affairs,vets-website+vets-api,2672,797,286,1428,161,49,Caseflow,va.gov
Particular,docs.particular.net+NServiceBus,1794,859,151,730,54,48,NServiceBus,particular.net/nservicebus
bioconda,bioconda-recipes,699,326,154,202,17,46,bioconda,bioconda.github.io
rapid7,metasploit-framework,822,595,89,99,39,46,Rapid7,rapid7.com
alibaba,weex,1061,506,94,323,138,45,Alibaba,alibaba.com
