org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator,kubernetes+kops+test-infra+kubernetes.github.io+charts+service-catalog+ingress+helm+kargo+minikube+heapster+dashboard+bootkube,58547,45414,6048,3665,3420,806,Kubernetes,kubernetes.io
DefinitelyTyped,DefinitelyTyped,7242,4169,1569,1169,335,623,DefinitelyTyped,definitelytyped.org
dotnet,corefx+coreclr+cli+sdk+core-setup+docfx+docs+corert+corefxlab+templating+core+standard,47614,33967,4780,5596,3271,604,dotnet,microsoft.com/net
Homebrew,homebrew-core+brew+homebrew-science,11552,6492,2494,2017,549,522,Homebrew,brew.sh
NixOS,nixpkgs,16239,9316,2241,3966,716,484,NixOS,nixos.org
docker,docker+docker.github.io+compose+distribution+docker-py,21511,15244,2049,1788,2430,434,Docker,mobyproject.org
facebook+react-community+facebookincubator+reactjs,react-native+react-navigation+react+create-react-app+jest+AsyncDisplayKit+reason+rocksdb+osquery+immutable-js+redux+draft-js,31499,23238,2733,2235,3293,427,React,facebook.com
caskroom,homebrew-cask,7199,1709,2893,2388,209,423,Homebrew Cask,caskroom.github.io
mozilla,addons-server+thimble.mozilla.org+addons-frontend+testpilot+pdf.js+activity-stream+fxa-content-server+mentat,17380,9112,1340,5018,1910,408,Mozilla,mozilla.org
angular+AngularClass+angular-ui,angular-cli+angular+material2+angular.js+material+angular.io+angular2-webpack-starter+ui-grid+tsickle,34809,25075,2686,2585,4463,394,Angular,angular.io
Microsoft+dotnet,vscode+roslyn+vsts-tasks+roslyn-project-system+msbuild+vcpkg+vscode-go+vstest+vsts-agent+vscode-mssql,49423,33931,2452,5241,7799,370,VS Code,code.visualstudio.com
Azure,azure-cli+azure-rest-api-specs+azure-powershell+acs-engine+azure-webjobs-sdk-script+autorest+azure-sdk-for-net+azure-sdk-for-java+WALinuxAgent,13706,8347,1998,1935,1426,344,Azure,azure.github.io
tensorflow,tensorflow+models,17113,13550,975,747,1841,340,TensorFlow,tensorflow.org
ansible,ansible+ansibullbot,16382,10916,2378,1780,1308,334,Ansible,ansible.com
hashicorp,terraform,10398,5959,1104,2214,1121,275,Terraform,terraform.io
fossasia,open-event-orga-server+open-event-android+open-event-webapp+phimpme-android+gci16.fossasia.org+loklak_search+susi_android+susper.com,10256,6210,1231,1685,1130,259,fossasia,fossasia.org
nodejs,node+abi-stable-node,11344,8671,937,1173,563,223,Node.js,nodejs.org
elastic,elasticsearch+kibana+beats+logstash,19453,12056,2168,3339,1890,217,Elasticsearch,elastic.co/products/elasticsearch
aspnet,EntityFramework+Docs+Mvc+KestrelHttpServer+SignalR+Razor,13492,7350,1271,3581,1290,217,ASP.net,asp.net
ManageIQ,manageiq+manageiq-ui-classic,13183,8736,2264,1990,193,193,ManageIQ,manageiq.org
Automattic,wp-calypso,16624,7503,1714,6748,659,177,WP Calypso,developer.wordpress.com/calypso
rails,rails+webpacker,6204,4211,791,731,471,169,Ruby on Rails,rubyonrails.org
webpack,webpack+webpack.js.org,6698,4240,882,974,602,166,webpack,github.com/webpack
dmlc,mxnet+xgboost,6150,4109,532,569,940,165,Distributed Machine Learning Community,dmlc.github.io
eclipse,che+smarthome+omr+kura+kapua+vert.x,14002,8486,1337,2959,1220,165,Eclipse,eclipse.org
driftyco,ionic+ionic-native,6971,4619,276,840,1236,156,Ionic,ionicframework.com
openwrt,packages+luci+openwrt,4068,2660,573,609,226,154,OpenWrt,openwrt.org
odoo,odoo,4510,2169,846,1114,381,154,Odoo,odoo.com
airbnb,superset+react-native-maps+lottie-android+react-dates+lottie-ios,6318,3797,540,1036,945,149,Airbnb,airbnb.io
home-assistant,home-assistant,8715,6520,994,557,644,140,Home Assistant,home-assistant.io
ampproject,amphtml+amp-by-example+ampstart,9473,6010,1189,1246,1028,136,AMP,ampproject.org
auth0,docs+lock+auth0.js,3102,845,736,1248,273,135,Auth0,auth0.com
mapbox,mapbox-gl-native+mapbox-gl-js+assembly+mapbox-java,9823,4777,899,2979,1168,135,Mapbox,mapbox.com
influxdata,telegraf+influxdb+chronograf+kapacitor+docs.influxdata.com,7773,4043,678,2055,997,130,InfluxData,influxdata.com
w3c,web-platform-tests,2798,1464,576,686,72,126,W3C Web Platform Tests,irc.w3.org/?channels=testing
PowerShell,PowerShell+xSQLServer+PowerShell-Docs,4840,3463,406,446,525,112,PowerShell,microsoft.com/powershell
bioconda,bioconda-recipes,2875,1270,859,673,73,108,bioconda,bioconda.github.io
devtools-html,debugger.html+devtools-core,4115,2154,627,834,500,102,devtools-html,""
zeromq,libzmq,1011,663,149,144,55,101,zeromq,""
magento,magento2,6835,5570,262,165,838,99,Magento,magento.com/home
Microsoft,UWPCommunityToolkit+LightGBM+msphpsql+BotFramework-WebChat,5061,3446,421,770,424,98,Microsoft,""
Automattic,jetpack,5559,2923,504,1788,344,98,Automattic Jetpack,jetpack.com
EFForg,https-everywhere,4359,1745,1353,1121,140,97,HTTPS Everywhere,eff.org/https-everywhere
zeit,next.js+hyper,6354,4664,346,534,810,94,ZEIT,zeit.co
vuejs,vue-router+vue-loader+vuejs.org,2488,1656,235,219,378,94,vuejs,vuejs.org
voidlinux,void-packages,3445,1098,466,1741,140,93,The Void distribution,voidlinux.eu
department-of-veterans-affairs,caseflow+vets-website,8525,2869,901,4238,517,92,Caseflow,va.gov
oss-gate,workshop,2440,2088,111,170,71,92,oss-gate,""
grpc,grpc+grpc-java+grpc-go,7167,4694,997,817,659,90,GRPC,grpc.io
frappe,erpnext+frappe,3729,1385,699,968,677,89,frappe,""
ReactiveX,rxjs+RxJava+RxSwift,3506,2449,329,357,371,89,ReactiveX,reactivex.io
ArduPilot,ardupilot+ardupilot_wiki,3623,2520,395,479,229,87,ArduPilot,ardupilot.org
fpco,stackage,1110,549,167,325,69,86,Hackage,stackage.org
wix,wix-style-react+react-native-navigation,3531,953,329,1963,286,82,WiX,wixtoolset.org
JuliaLang,julia,9111,5920,670,1988,533,82,Julia,julialang.org
systemd,systemd,2775,1915,323,232,305,82,systemd,freedesktop.org/wiki/Software/systemd
telerik,kendo-ui-core+kendo-theme-default,2671,522,267,1412,470,82,Telerik,telerik.com
ant-design,ant-design+ant-design-mobile,7161,4515,347,1132,1167,81,Ant Design,ant.design
vmware,vic+docker-volume-vsphere+harbor+clarity,8286,4580,913,1432,1361,81,VMware,vmware.github.io
fabric8io,fabric8-planner+fabric8-ui+fabric8-maven-plugin,4373,2209,622,892,650,81,fabric8,fabric8.io
Microsoft,CNTK,5421,1303,66,3643,409,81,Microsoft Cognitive Toolkit,cntk.ai
coreos,etcd+kube-aws+prometheus-operator,4882,3502,469,442,469,80,CoreOS,coreos.com
mattermost,platform+docs,6611,3478,982,1802,349,79,Mattermost,mattermost.org
fastlane,fastlane,4673,3370,346,392,565,79,fastlane,fastlane.tools
alibaba,weex+rax,3558,1625,455,915,563,78,Alibaba,alibaba.com
fossiiita,opencodecollab,1104,526,247,241,90,78,fossiiita,""
chef,chef+inspec,2218,1045,247,721,205,78,Chef,chef.io/chef
joomla,joomla-cms,10359,7951,667,1165,576,77,Joomla,joomla.org
PaddlePaddle,Paddle+book,2919,1496,511,503,409,76,PaddlePaddle,""
SoftEng-HEIGVD,Teaching-HEIGVD-RES-2017-Labo-00,547,85,246,123,93,76,SoftEng-HEIGVD,""
greenplum-db,gpdb,3466,2052,581,768,65,75,greenplum-db,""
ElemeFE,element,5507,3341,401,361,1404,75,ElemeFE,""
tgstation,tgstation,20659,16984,2113,650,912,74,SS13,tgstation13.org
yarnpkg,yarn,3895,3058,194,171,472,74,yarn,yarnpkg.com
TEAMMATES,teammates,3407,2279,341,439,348,74,TEAMMATES,teammatesv4.appspot.com
LLNL,spack,5630,3834,693,811,292,73,LLNL,""
pingcap,tidb+tikv,6165,2563,664,2717,221,72,PingCAP,github.com/pingcap
DroidKaigi,conference-app-2017,1603,998,263,265,77,72,DroidKaigi,""
rapid7,metasploit-framework,2916,2217,268,290,141,71,Rapid7,rapid7.com
cloudmesh,classes,2028,588,462,892,86,70,cloudmesh,github.com/cloudmesh
openhab,openhab-docs+openhab1-addons,1791,1258,190,199,144,69,openHAB,openhab.org
emberjs,ember.js+data,1874,1196,244,250,184,69,Ember.js,emberjs.com
raspberrypi,linux,1761,1393,61,203,104,69,raspberrypi,""
GoogleCloudPlatform,google-cloud-python+google-cloud-node+google-cloud-java,4990,3386,412,714,478,69,Google Cloud Platform,cloud.google.com
rust-lang,crates.io+book,1559,936,195,290,138,68,rust-lang,""
serverless,serverless,2425,1781,177,223,244,68,Serverless Framework,serverless.com
SharePoint,sp-dev-docs+PnP-Sites-Core+PnP-PowerShell,3122,1781,271,701,369,68,SharePoint,""
OfficeDev,office-ui-fabric-react,2408,1257,338,477,336,68,Office Developer,dev.office.com
