org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-ui+kubernetes-client,kubernetes+kubernetes.github.io+test-infra+kops+service-catalog+ingress+helm+kube-aws+community+minikube+charts+dashboard+cri-o+external-dns+kompose+bootkube+contrib+kargo+cri-tools+kubeadm+features+client-python+heapster+external-storage+cri-containerd+autoscaler+client-go+frakti+gengo+release+perf-tests+kube-state-metrics+kubernetes-anywhere+dns+cluster-capacity+kube-deploy+git-sync+repo-infra+apiserver-builder+reference-docs+kubectl+node-problem-detector+spartakus+k8s.io+label-selector+community+rktlet+node-feature-discovery+kube-mesos-framework+apimachinery+kube-aggregator+javascript+kubernetes-bootcamp+gen+apiserver+python-base+examples+kube-ui-docker,28379,19824,4236,1670,2649,412,Kubernetes,kubernetes.io
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc-swift+grpc.github.io+grpc-haskell+proposal+go-grpc-middleware+grpc-exchange-o-gram+go-grpc-prometheus+grpc-docker-library+grpc-opentracing+grpc-experiments+polyglot,4513,2809,808,407,489,73,gRPC,grpc.io
prometheus,prometheus+alertmanager+node_exporter+docs+tsdb+snmp_exporter+client_golang+jmx_exporter+client_java+blackbox_exporter+procfs+pushgateway+client_python+prometheus.github.io+common+promu+cloudwatch_exporter+mysqld_exporter+haproxy_exporter+busybox+graphite_exporter+client_ruby+golang-builder+consul_exporter+statsd_exporter+prom2json+influxdb_exporter+memcached_exporter,2796,1565,445,435,351,58,Prometheus,prometheus.io
containerd+docker,containerd+containerd,636,376,150,63,47,28,containerd,containerd.io
fluent,fluent-bit+fluentd+fluent-plugin-kafka+fluentd-kubernetes-daemonset+fluent-plugin-sql+fluent-bit-docs+fluentd-docs+fluent-logger-ruby+fluent-plugin-webhdfs+fluent-logger-golang+fluent-logger-python+fluent-plugin-s3+fluent-bit-kubernetes-daemonset+fluentd-docker-image+fluentd-website+fluent-bit-docker-image+fluent-plugin-rewrite-tag-filter+fluentd-ui+fluent-logger-java+fluent-bit-packaging+fluent-plugin-mongo+nginx-fluentd-module,687,335,101,139,112,22,Fluentd,fluentd.org
opentracing,opentracing-javascript+opentracing-java+specification+opentracing-go+opentracing-python+opentracing.io+opentracing-ruby+opentracing-csharp+basictracer-python+basictracer-csharp,446,296,63,48,39,21,OpenTracing,opentracing.io
linkerd,linkerd+linkerd-tcp+linkerd-examples+tacho+linkerd-viz+linkerd-zipkin+rustup-nightly-docker+namerctl,737,246,141,238,112,21,Linkerd,linkerd.io
containernetworking,cni+plugins,163,106,34,13,10,12,CNI,github.com/containernetworking
rkt+coreos,rkt+rkt,260,181,31,10,38,9,rkt,github.com/rkt/rkt
coredns,coredns+deployment+perf-tests+blog.coredns.io+grpc,280,134,67,42,37,8,CoreDNS,coredns.io
