org,repo,activity,comments,prs,commits,issues,authors,project,url
openstack,releases+kolla+senlin+fuel-qa+openstack-ansible+requirements+fuel-library+tempest+ironic+vmware-nsx+rpm-packaging+fuel-web+python-openstackclient+group-based-policy+dragonflow+rally+fuel-plugin-contrail+magnum+puppet-tripleo+kolla-ansible+kolla-kubernetes+ceilometer+gnocchi+fuel-ui+puppet-openstack-integration+trove+governance+octavia+daisycloud-core+sahara+openstack-ansible-security+fuel-ccp+tripleo-quickstart+tacker+instack-undercloud+networking-odl+watcher+networking-ovn+tripleo-common+fuel-plugin-lma-collector+python-tripleoclient+fuel-octane+congress+vitrage+zun+tripleo-ui+designate+oslo.messaging+diskimage-builder+networking-midonet+browbeat+puppet-midonet+networking-bigswitch+python-openstacksdk+ironic-inspector+karbor+security-doc+tripleo-quickstart-extras+tricircle+monasca-agent+freezer+barbican+bifrost+searchlight+nimble+syntribos+deb-tempest+deb-ironic+python-ironicclient+openstack-ansible-tests+election+ironic-python-agent+networking-sfc+magnum-ui+zaqar+python-senlinclient+craton+packstack+openstack-ansible-lxc_hosts+senlin-dashboard+aodh+fuel-ccp-installer+networking-bgpvpn+openstack-ansible-os_ceilometer+storlets+networking-vpp+training-guides+fuel-devops+patrole+deb-rally+stacklight-integration-tests+sahara-dashboard+puppet-ironic+openstack-ansible-repo_build+deb-senlin+kuryr-libnetwork+fuel-ccp-tests+openstack-ansible-galera_server+openstack-ansible-os_aodh+fuel-astute+solum+python-fuelclient+openstack-ansible-pip_install+mogan+openstack-ansible-os_tempest+openstack-ansible-os_magnum+os-brick+os-win+ara+deb-auto-backports+deb-ceilometer+openstack-ansible-openstack_hosts+openstack-ansible-os_gnocchi+fuel-plugin-lma-infrastructure-alerting+glare+kuryr+fuel-ccp-ci-config+networking-bagpipe+python-magnumclient+deb-python-openstackclient+fuel-agent+cloudkitty+oslo.db+osc-lib+compute-hyperv+deb-gnocchi+openstack-ansible-os_ironic+deb-magnum+networking-cisco+openstack-ansible-plugins+fuel-plugin-xenserver+fuel-plugin-influxdb-grafana+app-catalog+openstack-ansible-ops+openstack-ansible-rabbitmq_server+sahara-tests+fuel-plugin-elasticsearch-kibana+openstack-ansible-lxc_container_create+puppet-ceilometer+timmy+smaug+os-faults+deb-networking-odl+deb-python-cassandra-driver+tripleo-validations+fuel-mirror+openstack-ansible-galera_client+networking-vsphere+openstack-ansible-os_sahara+python-zunclient+oslo.config+networking-arista+python-tackerclient+higgins+masakari+networking-l2gw+deb-sahara+ironic-ui+openstack-ansible-repo_server+python-watcherclient+kingbird+kuryr-kubernetes+deb-watcher+tripleo-puppet-elements+deb-nodepool+puppet-aodh+openstack-ansible-rsyslog_client+tooz+training-labs+puppet-trove+deb-ironic-inspector+deb-openstack-trove+openstack-ansible-haproxy_server+openstack-ansible-os_designate+deb-networking-ovn+openstack-ansible-memcached_server+openstack-ansible-os_barbican+oslo.log+deb-python-oslo.messaging+bandit+poppy+tosca-parser+puppet-openstacklib+deb-python-diskimage-builder+openstack-ansible-os_rally+reno+bareon+trove-dashboard+i18n+deb-barbican+fuel-main+vmware-nsxlib+deb-congress+django_openstack_auth+sahara-ci-config+networking-hyperv+networking-generic-switch+python-saharaclient+ironic-lib+puppet-ceph+puppet-tempest+python-monascaclient+valence+puppet-designate+python-troveclient+fuel-plugin-vmware-dvs+collectd-ceilometer-plugin+taskflow+puppet-gnocchi+os-client-config+puppet-barbican+networking-calico+networking-fujitsu+networking-dpm+python-cratonclient+oslo.policy+refstack+searchlight-ui+openstack-ansible-ceph_client+python-designateclient+deb-python-dcos+zaqar-ui+oslo.utils+deb-python-os-win+sahara-image-elements+deb-zaqar+monasca-transform+openstack-user-stories+windmill+panko+python-solumclient+puppet-sahara+openstack-ansible-rsyslog_server+fuel-plugin-ovs+pyghmi+openstack-ansible-os_trove+synergy-scheduler-manager+oslo.middleware+python-freezerclient+fuel-plugin-nsxv+puppet-openstack_spec_helper+solum-dashboard+openstack-health+oslo.vmware+deb-aodh+openstack-ansible-openstack_openrc+python-zaqarclient+os-vif+python-ironic-inspector-client+cliff+gluon+monasca-analytics+charm-ceph-mon+almanach+networking-infoblox+networking-ovs-dpdk+ironic-specs+osprofiler+fuel-ostf+salt-formula-opencontrail+fuxi+fuel-plugin-scaleio+python-gnocchiclient+freezer-web-ui+designate-dashboard+monasca-ui+openstack-helm+deb-designate+js-openstack-lib+vitrage-dashboard+fuel-plugin-openstack-telemetry+puppet-openstack-guide+deb-python-ironicclient+defcore+oslo.versionedobjects+openstack-ansible-os_zaqar+monasca-common+fuel-ccp-stacklight+puppet-magnum+python-barbicanclient+blazar+networking-mlnx+watcher-dashboard+driverlog+compass-core+deb-networking-midonet+synergy-service+tripleo-specs+deb-sahara-dashboard+puppet-zaqar+ooi+openstack-ansible-apt_package_pinning+deb-python-senlinclient+openstack-ansible-os_cloudkitty+python-vitrageclient+networking-powervm+tap-as-a-service+deb-networking-arista+puppet-octavia+git-upstream+python-congressclient+deb-python-openstacksdk+fuel-nailgun-agent+deb-senlin-dashboard+deb-python-os-brick+designate-tempest-plugin+python-karborclient+puppet-oslo+pymod2pkg+puppet-watcher+puppet-openstack_extras+os-net-config+charm-ceph-osd+charm-ceph+oslo.service+meteos+karbor-dashboard+puppet-vswitch+tuning-box+deb-python-oslo.config+gertty+watcher-specs+deb-python-fuelclient+fuel-nailgun-extension-cluster-upgrade+deb-python-watcherclient+deb-python-oslo.db+charm-percona-cluster+deb-python-oslo.log+deb-python-falcon+oslo.concurrency+monasca-notification+castellan+deb-trove-dashboard+shaker+masakari-monitors+monasca-persister+python-aodhclient+charm-openstack-dashboard+quark+puppet-congress+fuel-plugin-opendaylight+puppet-vitrage+zun-ui+fuel-ccp-entrypoint+openstack-ansible-os_monasca+monasca-statsd+oslo.cache+cloudbase-init+distil+rsc+puppet-monasca+charm-rabbitmq-server+yaql+mixmatch+oslo.privsep+group-based-policy-ui+oslo.context+deb-python-magnumclient+ansible-role-nodepool+networking-fortinet+fuel-nailgun-extension-iac+deb-python-django-openstack-auth+deb-python-ironic-inspector-client+deb-python-tackerclient+fuel-menu+charm-ceph-radosgw+ceilometermiddleware+tripleo-image-elements+python-ceilometerclient+deb-python-osc-lib+puppet-panko+python-glareclient+python-searchlightclient+requests-mock+deb-python-monascaclient+puppet-ovn+deb-designate-dashboard+python-jenkins+charm-ceilometer+oslo.serialization+deb-python-saharaclient+fuel-noop-fixtures+deb-python-tooz+puppet-pacemaker+deb-networking-hyperv+deb-python-tosca-parser+python-redfish+deb-python-oslo.middleware+deb-python-kmip+openstack-planet+openstack-ansible-os_watcher+fuel-plugin-nsx-t+deb-ironic-ui+deb-python-barbicanclient+fuel-plugin-external-zabbix+oslo.reports+fuel-plugin-6wind-virtual-accelerator+puppet-tacker+iotronic+deb-python-oslo.utils+charm-lxd+renderspec+fuel-ccp-galera+charms.ceph+ironic-staging-drivers+deb-python-zaqarclient+python-cloudkittyclient+cookbook-openstack-common+deb-python-gnocchiclient+salt-formula-kubernetes+deb-networking-l2gw+deb-glare+deb-python-os-net-config+loci+os-collect-config+fuel-ccp-rabbitmq+oslo.rootwrap+puppet-rally+deb-bandit+gerrit-dash-creator+python-group-based-policy-client+ansible-role-cloud-launcher+deb-python-kafka+deb-python-castellan+sahara-extra+stevedore+proliantutils+deb-python-eventlet+deb-python-oslo.vmware+python-nimbleclient+deb-python-troveclient+ceilometer-powervm+puppet-cloudkitty+deb-python-autobahn+cloudpulse+networking-zvm+fuel-specs+charm-guide+deb-python-pbr+kosmos+deb-python-taskflow+deb-zaqar-ui+deb-python-os-client-config+os-testr+cookbook-openstack-network+deb-python-gabbi+deb-ryu+deb-python-oslo.policy+anchor+deb-python-pykmip+futurist+molteniron+puppet-openstack-cookiecutter+deb-python-oslo.service+oslo.i18n+deb-python-designateclient+debtcollector+opencafe+oslotest+deb-python-oslo.versionedobjects+networking-plumgrid+openstack-ansible-specs+deb-python-cliff+fuel-plugin-mellanox+fuel-plugin-midonet+python-dracclient+deb-python-osprofiler+virtualbmc+charm-designate+deb-python-congressclient+openstack-ansible-pip_lock_down+astara+kloudbuster+networking-nec+sushy+deb-alembic+python-scciclient+python-oneviewclient+k8s-cloud-provider+golang-client+devstack-plugin-ceph+charms.openstack+charm-ceilometer-agent+vitrage-specs+oslosphinx+deb-networking-mlnx+deb-python-oslo.rootwrap+deb-python-reno+smaug-dashboard+ansible-role-zuul+python-masakariclient+charm-tempest+ossa+trove-specs+deb-python-os-collect-config+deb-python-ceilometerclient+cloudkitty-dashboard+deb-python-pygit2+pyeclib+pycadf+deb-python-oslo.cache+puppet-glare+deb-python-oslo.reports+deb-python-oslo.concurrency+liberasurecode+python-moganclient+fuel-plugins+deb-python-oslo.serialization+charm-aodh+bilean+fuel-ccp-mariadb+deb-python-oslo.privsep+ldappool+refstack-client+deb-python-pyghmi+freezer-dr+trove-integration+interop-workloads+deb-networking-cisco+mox3+fuel-plugin-ldap+charm-hacluster+deb-python-oslo.context+cookbook-openstack-dashboard+fuel-plugin-plumgrid+deb-python-oslotest+deb-python-oslo.i18n+project-team-guide+networking-onos+downpour+deb-python-toml+stackviz+eslint-config-openstack+broadview-lib+os-cloud-config+fuel-ccp-etcd+instack+charm-odl-controller+automaton+network-checker+tacker-specs+deb-stevedore+coverage2sql+cloudcafe+vmtp+deb-python-debtcollector+deb-python-aodhclient+deb-python-oauth2client+cookbook-openstack-identity+deb-python-hacking+deb-python-proliantutils+packetary+os-refresh-config+monasca-thresh+ovsdbapp+deb-python-pint+swauth+cookbook-openstack-integration-test+deb-python-pymemcache+openstack-chef-repo+deb-python-pymysql+deb-python-ceilometermiddleware+fuel-virtualbox+cookbook-openstack-compute+bareon-ironic+python-k8sclient+python-smaugclient+governance-uc+barbican-tempest-plugin+cookbook-openstack-telemetry+project-navigator-data+python-kingbirdclient+deb-python-os-refresh-config+cloudroast+os-apply-config+deb-python-automaton+deb-python-rtslib-fb+deb-python-pysaml2+python-meteosclient+cookbook-openstack-block-storage+deb-python-yaql+meteos-ui+monasca-ceilometer+oslo-specs+charm-designate-bind+deb-python-os-cloud-config+deb-python-pycadf+ui-cookiecutter+broadview-collector+charm-ceph-proxy+installguide-cookiecutter+deb-python-pyeclib+fuel-ccp-rally+cookbook-openstack-ops-database+fuel-ccp-memcached+charm-barbican+deb-liberasurecode+deb-ceilometermiddleware+trio2o+python-cloudpulseclient+workload-ref-archs+sahara-specs+intel-nfv-ci-tests+salt-formula-ceilometer+openstack-ansible-os_octavia+charm-openvswitch-odl+deb-python-colander+sqlalchemy-migrate+python-blazarclient+flame+python-tricircleclient+fuel-ccp-sahara+fuel-ccp-openstack-base+fuel-plugin-networking-sfc+cookbook-openstack-image+fuel-stats+fuel-ccp-debian-base+cookbook-openstack-orchestration+rst2bash+deb-python-os-apply-config+openstack-ansible-os_almanach+ansible-role-ara+zaqar-specs+deb-python-django-compressor+fuel-plugin-zabbix-snmptrapd+loci-requirements+deb-migrate+dash-stack+fuel-ccp-ironic+ramdisk-func-test+fuel-ccp-ceph+deb-python-sqlalchemy-utils+os-dpm+fuel-plugin-bgpvpn+astara-appliance+deb-python-jsonschema+ironic-inspector-specs+deb-python-requests-mock+fuel-plugin-detach-haproxy+deb-swauth+fuel-ccp-designate+deb-python-scciclient+ops-tags-team+cookbook-openstack-ops-messaging+deb-python-os-testr+deb-python-txaio+openstack-resource-agents+ospurge+ansible-role-diskimage-builder+deb-python-pyngus+giftwrap+freezer-specs+python-don+charm-barbican-softhsm+puppet-qdr+monasca-grafana-datasource+fuel-plugin-kafka+searchlight-specs+picasso+puppet-freezer+deb-python-mox3+deb-python-ldappool+snap.openstack+networking-6wind+networking-huawei+cursive+group-based-policy-automation+deb-python-semver+charm-ceph-fs+python-distilclient+ansible-role-shade+fuel-plugin-detach-rabbitmq+deb-python-dogpile.cache+deb-python-rfc3986+qa-specs+designate-specs+devstack-plugin-amqp1+python-pankoclient+oaktree+charm-specs+deb-kazoo+fuel-plugin-external-emc+ha-guide+solar+fuel-plugin-ceilometer-redis+deb-msgpack-python+ironic-webclient+openstack-salt+monitorstack+deb-python-k8sclient+deb-python-wrapt+xstatic-angular-bootstrap+deb-python-cotyledon+release-test+os-traits+tripleo-incubator+deb-spice-html5+deb-python-pytimeparse+omni+doc8+openstack-ansible-ironic+python-valenceclient+kiloeyes+deb-python-nose-timer+deb-fonts-materialdesignicons-webfont+fuel-plugin-zabbix-monitoring-emc+mogan-ui+delimiter+ansible-role-jenkins-job-builder+deb-subunit+powervc-driver+networking-ofagent+fuel-ccp-searchlight+dox+openstackclient+fuel-plugin-tacker+boartty+os-failures+deb-python-bashate+xstatic-angular+arch-wg+oaktreemodel+deb-websockify+puppet-modulesync-configs+barbican-specs+deb-python-requestsexceptions+deb-python-futurist+deb-python-nose-parameterized+deb-python-xstatic-jsencrypt+deb-testresources+deb-python-pulp+shotgun+fuel-plugin-zabbix-monitoring-extreme-networks+bareon-image-elements+vmware-vspc+deb-python-json-patch+deb-python-pecan+deb-libisal+ceilometer-zvm+drbd-devstack+mogan-specs+steth+deb-python-jsonpath-rw-ext+deb-python-doc8+deb-python-django-overextends+devstack-plugin-glusterfs+security-analysis+fuel-nailgun-extension-converted-serializers+deb-python-requests-kerberos+deb-python-wsgi-intercept+fuel-ccp-nginx+service-types-authority+deb-python-jsonpath-rw+deb-python-crank+deb-python-happybase+congress-specs+app-catalog-ui+iotronic-lightning-rod+ansible-role-ssh+xstatic-jsencrypt+deb-python-requests-unixsocket+deb-python-ironic-lib+deb-python-wsme+devstack-plugin-nfs+deb-python-xstatic-jquery+charm-layer-openstack+xstatic-mdi+python-hnvclient+valence-specs+deb-python-tempest-lib+deb-python-semantic-version+interop+faafo+deb-python-django-babel+deb-python-fixtures+deb-networking-nec+python-rackclient+deb-python-xvfbwrapper+deb-python-ddt+wsme+django-openstack-auth-kerberos+deb-python-positional+python-octaviaclient+openstack-ansible-py_from_git+xstatic-angular-smart-table+ekko+deb-python-monotonic+deb-python-nose-exclude+charm-interface-mysql-shared+deb-python-croniter+deb-python-dib-utils+deb-python-fasteners+deb-python-couleur+uc-recognition+deb-python-xstatic-objectpath+deb-python-httpretty+cue+deb-python-xstatic-angular-gettext+deb-python-xstatic-angular+monasca-kibana-plugin+deb-python-xstatic-spin+deb-python-xstatic-angular-bootstrap+puppet-openstack-specs+telemetry-specs+deb-python-memcache+devstack-plugin-sheepdog+deb-python-xstatic-mdi+congress-dashboard+deb-python-editor+deb-python-cursive+deb-python-django-appconf+deb-python-pika-pool+group-based-policy-specs+networking-brocade+security-specs+deb-python-rjsmin+deb-python-json-pointer+openstack-chef-specs+os-log-merger+deb-python-microversion-parse+devstack-plugin-hdfs+deb-python-traceback2+deb-python-requestbuilder+fuel-plugin-dbaas-trove+python-wsmanclient+masakari-specs+dib-utils+fuel-plugin-openbook+nfv-filters+deb-python-seamicroclient+trove-image-builder+deb-oslosphinx+xstatic-font-awesome+deb-os-collect-config+deb-python-pydotplus+devstack-plugin-container+fairy-slipper+openstack-resource-agents-specs+operations-guide+deb-os-testr+fuel-plugin-external-lb+ansible-role-zookeeper+deb-python-retrying+cyborg+deb-git-review+deb-python-xstatic-bootstrap-scss+deb-oslo.reports+deb-python-xstatic-smart-table+deb-os-refresh-config+deb-python-xstatic-angular-schema-form+release-schedule-generator+scalpels+anvil+deb-python-frozendict+nerd-reviewer+docker-machine-openstack+deb-python-trollius+deb-python-linecache2+xstatic-d3+networking-extreme+deb-oslo.db+deb-python-warlock+deb-python-pyvmomi+deb-python-xstatic-angular-fileupload+deb-oslo.privsep+deb-python-xstatic-angular-cookies+deb-python-xstatic-tv4+deb-python-coffin+deb-python-csscompressor+deb-python-django-bootstrap-form+deb-python-xstatic-jquery.bootstrap.wizard+deb-python-xstatic-angular-lrdragndrop+deb-python-os-vif+tripleo-repos+deb-python-xstatic-jquery.tablesorter+python-bileanclient+deb-python-shotgun+deb-fonts-roboto-fontface+deb-python-xstatic-jquery-ui+deb-python-concurrent.futures+deb-python-xstatic+kolla-mesos+deb-oslo.cache+deb-os-apply-config+deb-novnc+deb-python-xstatic-term.js+deb-python-xstatic-bootstrap-datepicker+deb-python-xstatic-roboto-fontface+deb-os-net-config+deb-python-xstatic-jquery-migrate+deb-oslo.messaging+deb-python-xstatic-jquery.quicksearch+fuel-ccp-elasticsearch+deb-oslo.concurrency+deb-os-cloud-config+deb-python-xstatic-angular-mock+turbo-hipster+deb-oslo.i18n+cookbook-openstack-object-storage+osops-example-configs+pylockfile+deb-openstack-meta-packages+deb-os-brick+deb-python-xstatic-magic-search+deb-oslo.log+deb-python-xstatic-d3+deb-oslo.policy+deb-python-funcsigs+deb-python-weakrefmethod+deb-python-xstatic-font-awesome+deb-oslo.context+deb-os-client-config+deb-oslo.rootwrap+deb-python-xstatic-bootswatch+deb-os-win+deb-python-xstatic-hogan+deb-oslo.serialization+deb-python-xstatic-jasmine+deb-oslo.service+deb-python-xstatic-qunit+deb-oslo.middleware+deb-oslo.utils+deb-python-hplefthandclient+charm-interface-bind-rndc+fuel-plugin-astara+deb-python-pager+cookbook-openstack-bare-metal+distil-ui+fuel-ccp-grafana+xstatic-jquery.quicksearch+xstatic-bootstrap-scss+networking-zte+deb-python-misaka+deb-os-vif+xstatic-jquery.tablesorter+broadview-ui+solum-specs+xstatic-angular-sanitize+networking-h3c+deb-python-steadymark+nemesis+charm-layer-ceph-base+python-kiteclient+ansible-role-sudoers+ansible-role-nginx+charm-interface-hacluster+karma-subunit-reporter+deb-python-pydot-ng+deb-oslo.config+openstack-ansible-os_molteniron+bareon-allocator+xstatic-qunit+charm-interface-rabbitmq+fuel-ccp-specs+deb-python-rcssmin+syntribos-openstack-templates+deb-python-tuskarclient+deb-oslo.versionedobjects+fuel-plugin-detach-database+designate-msdnsagent+deb-python-pyldap+xstatic-jquery-migrate+deb-oslotest+python-iotronicclient+charm-interface-ceph-mds+xstatic-hogan+deb-python-lesscpy+ansible-role-jenkins-plugins+deb-python-nosehtmloutput+xstatic-spin+deb-python-extras+deb-python-jsonrpclib+fuel-ccp-zmq+deb-python-xstatic-rickshaw+deb-oslo.vmware+deb-python-aioeventlet+deb-trove+deb-python-multi-key-dict+osops-coda+deb-python-websocket-client+xstatic-jasmine+deb-python-django-pyscss+deb-python-jingo+deb-python-quantumclient+cookbook-openstack-data-processing+conveyor+xstatic-roboto-fontface+python-appcatalogclient+openstack-ux+deb-python-django-discover-runner+ansible-role-jenkins+networking-baremetal+deb-python-daemonize+deb-openstack-nose+oslo-incubator+packetary-specs+cookbook-openstack-database+salt-formula-midonet+cloudkitty-specs+networking-avaya+snap-openstackclients+spanner+openstack-ansible-os_monasca-ui+microversion-parse+solum-infra-guestagent+python-namosclient+ansible-role-virtualenv+xstatic-angular-mock+fuel-plugin-qemu+xstatic-bootswatch+fuel-upgrade+compass-adapters+i18n-specs+mitmstack+fuel-plugin-nuage+namos+ailuropoda+ironic-tempest-plugin+deb-python-savannaclient+performa+glare-specs+snap-ceilometer+xstatic-angular-ui-router+charm-interface-openstack-ha+python-picassoclient+fuel-plugin-unity+devstack-plugin-zmq+kite+fuel-plugin-congress+craton-dashboard+fuel-plugin-calico+fuel-plugin-saltstack+ansible-role-bindep+stacktach+snap-tempest+development-proposals+governance-website+networking-cumulus+xstatic-angular-cookies+virtualpdu+os-namos+scientific-wg+monitoring-for-openstack+charm-trove+xstatic-angular-gettext+syntribos-payloads+cookbook-openstack-application-catalog+cl-openstack-client+fuel-plugin-nitrous+networking-opencontrail+xstatic-angular-fileupload+magnum-specs+nomad+fuel-plugin-qlogic-sriov-vxlan+snap-rally,79691,236,518,78937,0,4146,OpenStack (other),openstack.org
openstack,openstack,42735,2,4,42729,0,1189,OpenStack Tracking Repo,openstack.org
openstack-infra,project-config+system-config+gerrit+zuul+tripleo-ci+nodepool+shade+jenkins-job-builder+irc-meetings+devstack-gate+elastic-recheck+storyboard+storyboard-webclient+openstackid-resources+puppet-infracloud+js-generator-openstack+puppet-openstackci+infra-specs+ansible-role-puppet+groups+subunit2sql+glean+bindep+puppet-zuul+gear+puppet-nodepool+git-review+puppet-mediawiki+jeepyb+openstackid+puppet-gerrit+infra-ansible+python-storyboardclient+puppet-openstackid+puppet-jenkins+puppet-openstack_infra_spec_helper+puppet-subunit2sql+puppet-logstash+puppet-mosquitto+os-loganalyze+puppet-openstack_health+puppet-zanata+puppet-iptables+puppet-phabricator+odsreg+puppet-jeepyb+puppet-bup+puppet-bandersnatch+puppet-ansible+puppet-meetbot+puppet-etherpad_lite+reviewday+puppet-apps_site+groups-static-pages+puppet-pip+puppet-log_processor+germqtt+puppet-germqtt+statusbot+puppet-storyboard+puppet-elastic_recheck+gerritlib+requestsexceptions+gerritbot+puppet-hound+puppet-snmpd+puppet-kibana+grafyaml+puppet-elasticsearch+puppet-ssh+puppet-planet+ciwatch+puppet-unbound+meetbot+puppet-exim+puppet-gerritbot+publications+puppet-diskimage_builder+project-config-example+pypi-mirror+puppet-openafs+puppet-askbot+puppet-httpd+yaml2ical+puppet-mqtt_statsd+js-afs-blob-store+puppet-ulimit+puppet-user+puppet-simpleproxy+pynotedb+puppet-refstack+puppet-ethercalc+trystack-site+puppet-mysql_backup+puppet-bugdaystats+puppet-kerberos+puppet-ciwatch+bugdaystats+userstory-dashboard+lodgeit+puppet-odsreg+puppet-infra-cookiecutter+puppet-github+puppet-lodgeit+puppet-project_config+reviewstats+puppet-statusbot+puppet-grafyaml+featuretracker+puppet-redis+puppet-vcsrepo+err2d2+puppet-ssl_cert_check+puppet-featuretracker+puppet-apparmor+puppet-haveged+puppet-unattended_upgrades+puppet-userstory_dashboard+logstash-filters+ansible-puppet+puppet-drupal+puppet-cgit+puppet-graphite+puppet-yum+puppet-stackalytics+puppet-tmpreaper+puppet-os_client_config+puppet-reviewday+puppet-mailman+puppet-vinz+puppet-sudoers+gearman-plugin+puppet-pgsql_backup+puppet-puppet+puppet-asterisk+puppet-releasestatus+puppet-translation_checksite+js-openstack-registry-hooks+puppet-ipsilon+lpmqtt+puppet-packagekit+puppet-logrotate+puppet-accessbot,10157,27,40,10090,0,1005,OpenStack Infra,openstack.org
openstack+openstack-charmers+openstack-snaps,nova+openstack-ansible-os_nova+deb-nova+puppet-nova+python-novaclient+nova-powervm+nova-lxd+nova-specs+nova-zvm-virt-driver+nova-dpm+fuel-ccp-nova+deb-python-novaclient+salt-formula-nova+charm-nova-compute+charm-nova-cloud-controller+novajoin+charm-nova-compute-proxy+blazar-nova+loci-nova+snap-nova+snap-nova-hypervisor+nova-mksproxy+snap-nova+charm-nova-compute-proxy+nova-docker+snap-nova-hypervisor+fuel-plugin-nova-nfs+nova-fusioncompute,6233,31,40,6160,2,705,OpenStack Nova,openstack.org
openstack+openstack-snaps+openstack-charmers,neutron+deb-neutron+openstack-ansible-os_neutron+neutron-lib+neutron-lbaas+puppet-neutron+neutron-fwaas+python-neutronclient+neutron-vpnaas+neutron-dynamic-routing+deb-neutron-fwaas+fuel-ccp-neutron+deb-neutron-lbaas+deb-python-neutron-lib+charm-neutron-api+neutron-lbaas-dashboard+deb-python-neutronclient+neutron-specs+salt-formula-neutron+deb-neutron-vpnaas+charm-neutron-gateway+charm-neutron-openvswitch+charm-neutron-api-odl+deb-neutron-taas+loci-neutron+astara-neutron+snap-neutron+charm-template-neutron-plugin+snap-neutron+fuel-plugin-neutron-lbaas+fuel-plugin-neutron-vpnaas+charm-interface-neutron-plugin+python-neutron-pd-driver+charm-neutron-api-plumgrid+neutron-classifier+fuel-plugin-neutron-fwaas,5708,12,32,5664,0,654,OpenStack Neutron,openstack.org
openstack,stackalytics,924,36,78,810,0,615,Stackalytics,openstack.org
openstack,cinder+deb-cinder+openstack-ansible-os_cinder+python-cinderclient+puppet-cinder+charm-cinder+deb-python-cinderclient+python-brick-cinderclient-ext+cinder-specs+salt-formula-cinder+fuel-ccp-cinder+fuel-plugin-cinder-netapp+fuel-plugin-cinder-gcs+charm-cinder-ceph+charm-cinder-backup+loci-cinder+fuel-plugin-purestorage-cinder+fuel-plugin-cinder-kaminario+fuel-plugin-solidfire-cinder+cinder-fusioncompute,3237,17,40,3180,0,556,OpenStack Cinder,openstack.org
openstack+openstack-infra,openstack-manuals+fuel-docs+tripleo-docs+performance-docs+openstackdocstheme+infra-manual+docs-specs+deb-python-openstackdocstheme+clouddocs-maven-plugin,3531,8,16,3507,0,505,OpenStack Manual,openstack.org
openstack+openstack-dev,tripleo-heat-templates+heat+deb-heat+openstack-ansible-os_heat+python-heatclient+puppet-heat+heat-translator+deb-python-heatclient+fuel-ccp-heat+heat-templates+salt-formula-heat+charm-heat+heat-agents+heat-specs+loci-heat+heat-cfnclient+heat-cfntools+deb-heat-cfntools,4033,4,12,4017,0,425,OpenStack Heat,openstack.org
openstack-dev,devstack+sandbox+grenade+pbr+hacking+cookiecutter+bashate+devstack-vagrant+os-http+ci-sandbox+oslo-cookiecutter+devstack-plugin-cookiecutter+specs-cookiecutter,1070,27,58,985,0,381,OpenStack Dev,openstack.org
