org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-client,kubernetes+test-infra+kubernetes.github.io+charts+ingress+helm+cri-o+minikube+kops+community+bootkube+dashboard+service-catalog+kompose+external-storage+heapster+features+autoscaler+kube-aws+kubespray+external-dns+kubeadm+cri-containerd+client-python+contrib+apiserver-builder+release+dns+client-go+kargo+frakti+kubectl+java+node-problem-detector+kube-state-metrics+kubernetes-anywhere+cri-tools+gen+examples+python-base+cluster-capacity+csharp+k8s.io+typescript+kube-deploy+cluster-proportional-autoscaler+ip-masq-agent+perf-tests+api+reference-docs+rktlet+gengo+apiserver+sample-apiserver+repo-infra+apimachinery+metrics-server+git-sync+spartakus+kube-mesos-framework+apiextensions-apiserver+md-check+kubernetes-bootcamp,31106,22298,4557,1655,2596,465,Kubernetes,kubernetes.io
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc.github.io+go-grpc-middleware+grpc-swift+proposal+grpc-httpjson-transcoding+go-grpc-prometheus+grift+grpc-opentracing+java-grpc-prometheus+grpc-docker-library+grpc-contrib+grpc-experiments+meetup-kit,3647,2108,765,309,465,63,gRPC,grpc.io
prometheus,prometheus+alertmanager+node_exporter+snmp_exporter+client_java+blackbox_exporter+docs+jmx_exporter+tsdb+procfs+client_golang+mysqld_exporter+common+client_python+prometheus.github.io+pushgateway+consul_exporter+promu+golang-builder+cloudwatch_exporter+client_ruby+collectd_exporter+haproxy_exporter+statsd_exporter+prombench,2449,1509,339,265,336,56,Prometheus,prometheus.io
containerd+docker,containerd+cgroups+continuity+go-runc+console+containerd,1163,630,308,136,89,23,containerd,containerd.io
fluent,fluent-bit+fluentd+fluentd-kubernetes-daemonset+fluentd-docs+fluentd-website+fluentd-docker-image+fluent-bit-docs+fluent-plugin-s3+fluent-plugin-kafka+fluent-plugin-webhdfs+fluent-logger-node+fluent-plugin-grok-parser+fluent-plugin-windows-eventlog+fluent-bit-kubernetes-daemonset+fluent-bit-docker-image+fluent-plugin-sql+fluentd-ui+fluent-logger-perl+fluent-logger-golang+fluent-logger-java+fluent-bit-packaging+fluent-logger-php+NLog.Targets.Fluentd,674,324,113,143,94,22,Fluentd,fluentd.org
linkerd,linkerd+linkerd-tcp+tacho+linkerd-examples,629,213,119,202,95,15,Linkerd,linkerd.io
opentracing,opentracing-java+specification+opentracing-go+opentracing-cpp+opentracing-php+opentracing-ruby+opentracing.io+opentracing-python+opentracing-csharp+basictracer-javascript+basictracer-go+basictracer-python,278,190,33,19,36,13,OpenTracing,opentracing.io
containernetworking,cni+plugins,281,151,81,27,22,12,CNI,github.com/containernetworking
rkt,rkt+rkt-builder+stage1-xen,315,217,41,15,42,11,rkt,github.com/rkt/rkt
coredns,coredns+blog.coredns.io+perf-tests+grpc+coredns.io,646,359,109,115,63,11,CoreDNS,coredns.io
