org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,28992,24184,6046,4808,6046,859
kubernetes,kubernetes/kubernetes,6351,5176,573,110,492,58
Automattic,Automattic/wp-calypso,5757,2670,509,2302,276,88
docker,docker/docker,5315,4332,407,116,460,46
tgstation,tgstation/-tg-station,5031,4068,400,346,217,56
dotnet,dotnet/roslyn,4473,3269,351,270,583,38
NixOS,NixOS/nixpkgs,3862,2300,502,732,328,178
Microsoft,Microsoft/vscode,3652,2323,52,427,850,19
angular,angular/angular,3563,2396,138,618,411,57
dotnet,dotnet/corefx,3532,2757,321,169,285,48
ManageIQ,ManageIQ/manageiq,3075,2001,540,419,115,65
elastic,elastic/elasticsearch,3014,1982,293,471,268,58
Homebrew,Homebrew/homebrew,2851,1763,710,228,150,97
nodejs,nodejs/node,2848,2477,156,50,165,27
saltstack,saltstack/salt,2748,1978,393,49,328,19
rails,rails/rails,2701,1860,377,256,208,82
hashicorp,hashicorp/terraform,2698,1898,202,321,277,65
JuliaLang,JuliaLang/julia,2549,1817,185,367,180,44
dotnet,dotnet/cli,2542,1601,171,520,250,27
Microsoft,Microsoft/TypeScript,2493,1737,129,264,363,23
dotnet,dotnet/coreclr,2381,1806,236,179,160,44
mantidproject,mantidproject/mantid,2246,872,186,1013,175,34
ParsePlatform,ParsePlatform/parse-server,2193,1596,125,61,411,11
owncloud,owncloud/core,2098,1555,106,182,255,22
angular,angular/material,2063,1449,70,231,313,30
nylas,nylas/N1,2051,1321,21,353,356,17
atom,atom/atom,2050,1388,78,292,292,32
guardian,guardian/frontend,2043,759,336,916,32,43
ampproject,ampproject/amphtml,2041,1346,197,256,242,37
TrinityCore,TrinityCore/TrinityCore,1978,1448,82,261,187,34
ansible,ansible/ansible,1934,1292,146,157,339,30
influxdata,influxdata/influxdb,1917,1263,125,332,197,38
keybase,keybase/client,1884,966,172,622,124,14
npm,npm/npm,1859,1357,56,119,327,14
elastic,elastic/kibana,1823,1348,150,148,177,25
eslint,eslint/eslint,1763,1391,122,80,170,17
tensorflow,tensorflow/tensorflow,1715,1327,155,18,215,14
magento,magento/magento2,1707,1279,50,43,335,33
yogstation13,yogstation13/yogstation,1701,1333,100,135,133,14
CleverRaven,CleverRaven/Cataclysm-DDA,1698,1251,197,122,128,29
grpc,grpc/grpc,1692,1022,280,224,166,29
meteor,meteor/meteor,1692,1317,39,127,209,18
cockroachdb,cockroachdb/cockroach,1687,1048,224,291,124,21
eclipse,eclipse/che,1673,716,153,648,156,30
odoo,odoo/odoo,1668,781,299,414,174,58
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,1572,849,361,281,81,196
iTXTech,iTXTech/Genisys,1531,1031,77,225,198,22
letsencrypt,letsencrypt/letsencrypt,1485,848,133,362,142,31
symfony,symfony/symfony,1433,1108,132,59,134,13
mattermost,mattermost/platform,1430,875,192,281,82,18
mapsme,mapsme/omim,1405,755,309,318,23,22
PX4,PX4/Firmware,1384,941,117,218,108,17
mapbox,mapbox/mapbox-gl-native,1379,731,88,376,184,19
scikit-learn,scikit-learn/scikit-learn,1378,1128,108,57,85,30
joomla,joomla/joomla-cms,1316,1037,69,127,83,38
e-government-ua,e-government-ua/i,1314,183,12,1071,48,40
acemod,acemod/ACE3,1311,828,115,269,99,30
RocketChat,RocketChat/Rocket.Chat,1310,911,60,109,230,13
voidlinux,voidlinux/void-packages,1309,319,205,749,36,37
atom,atom/electron,1274,890,97,49,238,16
esp8266,esp8266/Arduino,1252,1024,40,63,125,21
libretro,libretro/RetroArch,1240,299,33,858,50,11
docker,docker/swarm,1230,940,108,94,88,26
ArmaLife,ArmaLife/Altis,1225,617,151,373,84,16
OpenRA,OpenRA/OpenRA,1222,945,97,84,96,19
grafana,grafana/grafana,1216,772,75,128,241,18
aspnet,aspnet/EntityFramework,1199,797,58,169,175,22
CartoDB,CartoDB/cartodb,1185,481,115,470,119,21
akka,akka/akka,1181,854,108,113,106,33
sympy,sympy/sympy,1177,933,131,49,64,21
realm,realm/realm-java,1169,776,52,239,102,11
systemd,systemd/systemd,1168,825,152,76,115,29
RIOT-OS,RIOT-OS/RIOT,1146,991,86,50,19,15
HippieStationCode,HippieStationCode/HippieStation13,1142,923,87,58,74,15
playframework,playframework/playframework,1137,679,198,186,74,33
angular,angular/angular.js,1122,827,85,86,124,23
hazelcast,hazelcast/hazelcast,1116,684,137,210,85,27
silshack,silshack/spring2016,1112,212,385,492,23,24
galaxyproject,galaxyproject/galaxy,1108,785,108,122,93,19
docker,docker/compose,1107,822,58,51,176,20
NativeScript,NativeScript/NativeScript,1104,707,71,187,139,20
OpenRCT2,OpenRCT2/OpenRCT2,1096,680,101,201,114,19
duckduckgo,duckduckgo/zeroclickinfo-goodies,1093,558,433,72,30,14
cfpb,cfpb/cfgov-refresh,1087,473,112,478,24,13
druid-io,druid-io/druid,1085,727,139,175,44,27
mesosphere,mesosphere/marathon,1070,576,89,235,170,21
akeneo,akeneo/pim-community-dev,1066,254,112,682,18,23
ocaml,ocaml/opam-repository,1061,457,316,269,19,73
ansible,ansible/ansible-modules-core,1055,742,115,80,118,18
wordpress-mobile,wordpress-mobile/WordPress-iOS,1048,498,85,393,72,15
Microsoft,Microsoft/CNTK,1046,440,13,486,107,34
ethcore,ethcore/parity,1038,268,159,556,55,13
cakephp,cakephp/cakephp,1017,698,104,107,108,29
vega,vega/vega-lite,1017,314,127,528,48,14
twbs,twbs/bootstrap,1005,666,78,129,132,12
dotnet,dotnet/orleans,994,740,75,91,88,19
driftyco,driftyco/ionic-site,982,110,19,792,61,25
bolt,bolt/bolt,974,632,98,178,66,23
wordpress-mobile,wordpress-mobile/WordPress-Android,970,443,76,397,54,14
mozilla,mozilla/addons-server,966,474,81,309,102,56
zurb,zurb/foundation-sites,960,652,69,47,192,15
docker,docker/machine,953,762,49,30,112,14
openhab,openhab/openhab,940,696,102,67,75,21
mapbox,mapbox/mapbox-gl-js,940,520,60,243,117,21
AnalyticalGraphicsInc,AnalyticalGraphicsInc/cesium,934,591,107,194,42,17
chef,chef/chef,927,531,76,279,41,33
fish-shell,fish-shell/fish-shell,926,770,28,70,58,19
bokeh,bokeh/bokeh,925,486,81,255,103,14
ansible,ansible/ansible-modules-extras,923,713,139,20,51,13
diydrones,diydrones/ardupilot,916,692,84,102,38,19
