org,repo,activity,comments,prs,commits,issues,authors
kubernetes,kubernetes/kubernetes,20844,16565,2287,666,1326,117
tgstation,tgstation/-tg-station,16628,13739,1100,1110,679,96
docker,docker/docker,13971,11477,1041,444,1009,144
dotnet,dotnet/roslyn,12511,9833,840,743,1095,51
facebook,facebook/react-native,12452,10064,643,396,1349,133
Homebrew,Homebrew/homebrew,10758,7014,2240,799,705,253
NixOS,NixOS/nixpkgs,10383,6208,1442,2201,532,323
elastic,elastic/elasticsearch,10151,6115,978,2140,918,98
angular,angular/angular,9280,5838,654,1730,1058,86
nodejs,nodejs/node,8649,7410,450,198,591,74
Automattic,Automattic/wp-calypso,8249,3930,704,2689,926,112
saltstack,saltstack/salt,7853,5484,1096,180,1093,65
owncloud,owncloud/core,7629,5916,313,593,807,33
ManageIQ,ManageIQ/manageiq,7535,4917,1313,1154,151,71
dotnet,dotnet/corefx,7523,5741,739,445,598,78
JuliaLang,JuliaLang/julia,7349,5451,468,896,534,91
Microsoft,Microsoft/TypeScript,7145,5043,332,800,970,32
angular,angular/material,6953,5014,360,340,1239,19
atom,atom/atom,6952,4760,185,967,1040,44
hashicorp,hashicorp/terraform,6778,4684,530,959,605,142
npm,npm/npm,6320,4759,120,326,1115,28
servo,servo/servo,6175,4939,784,95,357,24
Microsoft,Microsoft/vscode,6112,4051,119,458,1484,37
letsencrypt,letsencrypt/letsencrypt,6001,4055,474,707,765,99
odoo,odoo/odoo,5944,3199,892,1244,609,126
mapbox,mapbox/mapbox-gl-native,5930,3451,408,1513,558,35
caskroom,caskroom/homebrew-cask,5664,2480,1860,1097,227,331
rails,rails/rails,5643,3881,728,687,347,220
joomla,joomla/joomla-cms,5435,4099,420,631,285,101
mapsme,mapsme/omim,5402,3224,1002,1053,123,38
CleverRaven,CleverRaven/Cataclysm-DDA,5382,4056,609,355,362,53
influxdb,influxdb/influxdb,5301,3530,303,869,599,55
aspnet,aspnet/EntityFramework,5239,3393,325,889,632,26
hazelcast,hazelcast/hazelcast,5229,3445,581,803,400,33
dmlc,dmlc/mxnet,5194,3722,441,480,551,85
symfony,symfony/symfony,5169,3711,653,351,454,67
RocketChat,RocketChat/Rocket.Chat,5129,3244,324,1011,550,70
OpenRA,OpenRA/OpenRA,4992,3718,428,477,369,42
e-government-ua,e-government-ua/i,4900,1161,55,3511,173,63
nylas,nylas/N1,4896,3315,59,657,865,36
bitcoin,bitcoin/bitcoin,4833,4288,362,51,132,20
ansible,ansible/ansible,4755,2940,429,704,682,69
mantidproject,mantidproject/mantid,4631,1114,509,2458,550,40
callemall,callemall/material-ui,4562,3562,318,111,571,43
mattermost,mattermost/platform,4471,2408,724,1131,208,51
realm,realm/realm-java,4463,3067,211,849,336,17
angular,angular/angular.js,4460,3134,313,611,402,80
magento,magento/magento2,4453,3332,153,161,807,78
facebook,facebook/react,4382,3298,366,320,398,120
elastic,elastic/kibana,4375,3278,323,323,451,36
adobe-photoshop,adobe-photoshop/spaces-design,4340,2388,361,1201,390,11
OpenRCT2,OpenRCT2/OpenRCT2,4294,2948,315,698,333,41
docker,docker/machine,4240,3264,358,247,371,71
libretro,libretro/RetroArch,4031,1087,267,2506,171,32
HippieStationCode,HippieStationCode/HippieStation13,4006,2622,564,496,324,26
voidlinux,voidlinux/void-packages,3968,968,482,2361,157,65
eslint,eslint/eslint,3925,2948,287,196,494,41
guardian,guardian/frontend,3903,1344,679,1829,51,54
ReactiveX,ReactiveX/RxJS,3878,2714,510,448,206,25
TrinityCore,TrinityCore/TrinityCore,3846,2660,129,669,388,47
dotnet,dotnet/coreclr,3802,2763,430,274,335,56
mozilla,mozilla/donate.mozilla.org,3755,2399,263,752,341,58
angular-ui,angular-ui/bootstrap,3738,2695,285,362,396,42
rackt,rackt/react-router,3597,2720,135,282,460,46
akeneo,akeneo/pim-community-dev,3583,780,421,2331,51,28
tensorflow,tensorflow/tensorflow,3551,2765,69,92,625,31
RIOT-OS,RIOT-OS/RIOT,3537,2929,325,218,65,31
matplotlib,matplotlib/matplotlib,3519,2707,280,236,296,43
openhab,openhab/openhab,3517,2803,265,264,185,86
JabRef,JabRef/jabref,3513,2051,241,1007,214,27
grpc,grpc/grpc,3497,1991,546,476,484,43
ampproject,ampproject/amphtml,3468,2327,413,428,300,50
WhisperSystems,WhisperSystems/Signal-Android,3453,2540,187,231,495,36
google,google/flatbuffers,3450,683,51,66,2650,20
akka,akka/akka,3447,2613,252,295,287,34
cogneco,cogneco/ooc-kean,3373,2214,507,458,194,17
