activity,comments,prs,commits,issues,author
30769,13,7,30721,28,athornton2012
17868,56,76,17715,21,jaresty
4270,45,10,4205,10,RochesterinNYC
2836,696,99,1703,338,nebhale
2218,809,325,872,212,cppforlife
2114,102,69,1934,9,dgodd
1987,366,149,1201,271,drnic
1613,4,4,1604,1,DennisDenuto
1564,845,94,447,178,dsabeti
1541,183,54,1203,101,maximilien
1514,181,44,1257,32,fhanik
1501,105,62,1298,36,sunjayBhatia
1280,101,59,1090,30,sesmith177
1246,330,104,700,112,frodenas
1210,1210,0,0,0,coveralls
1164,88,58,979,39,genevievelesperance
1089,513,96,312,168,dpb587-pivotal
1052,626,144,130,152,dkoper
963,164,297,381,121,hsiliev
943,54,62,785,42,bradylove
871,155,52,599,65,ljfranklin
831,85,18,707,21,julian-hj
827,43,43,730,11,jvshahid
819,84,80,597,58,enocom
806,21,29,746,10,wfernandes
800,174,100,459,67,geofffranks
787,20,24,741,2,aminjam
757,122,110,497,28,animatedmax
727,82,61,524,60,apoydence
721,23,44,650,4,staylor14
718,63,60,581,14,cdutra
670,455,49,13,153,sclevine
626,36,0,590,0,garden-gnome
606,345,62,139,60,ematpl
598,23,8,564,3,XenoPhex
593,83,39,427,44,jasonkeene
567,20,50,489,8,jfmyers9
557,11,12,531,3,mcwumbly
538,22,33,478,5,tscolari
535,0,0,535,0,flintstonecf
530,112,152,196,70,johnsonj
527,112,82,300,33,Infra-Red
505,38,15,450,2,nickwei84
500,12,8,475,5,jpalermo
493,95,58,330,10,ljarzynski
489,47,32,406,4,tylerschultz
462,76,46,317,23,aashah
459,72,108,257,22,lnguyen
459,30,19,399,11,christianang
456,3,6,444,3,davidjahn
455,61,29,350,15,Gerg
449,14,17,417,1,matt-royal
442,21,79,338,4,ChunyiLyu
431,34,23,364,10,rosenhouse
426,110,32,267,17,shashwathi
423,62,20,317,24,tjvman
423,18,54,345,6,selzoc
413,39,0,163,211,twoseat
411,153,85,127,46,chenziliang
408,42,44,307,15,bentarnoff
407,96,117,186,8,fraenkel
407,65,33,291,18,petergtz
405,125,46,161,73,jhunt
397,17,18,356,6,craigfurman
378,27,17,328,6,chinangela
377,19,29,324,5,crhino
377,145,29,146,57,zrob
369,10,9,350,0,joachimvaldez
352,163,16,124,49,shalako
348,129,35,140,44,evanfarrar
344,8,22,310,4,jianqiu
341,7,5,324,5,mariash
340,14,15,308,3,teddyking
340,17,11,308,4,bsekar
340,39,30,256,15,Kiemes
337,176,69,38,54,voelzmo
325,2,20,302,1,mingxiao
324,99,82,100,43,AbelHu
323,111,131,44,37,jmcarp
322,2,21,294,5,iredelmeier
319,33,19,236,31,jtarchie
316,119,18,132,47,ahevenor
316,18,29,261,8,luan
313,158,20,27,108,sreetummidi
299,23,26,246,4,bdshroyer
296,12,12,272,0,idoru
296,26,13,241,16,robdimsdale
281,76,5,171,29,glyn
279,17,27,233,2,mdelillo
274,20,17,228,9,beyhan
273,0,0,272,1,claurence
273,11,4,254,4,keaty
268,3,8,257,0,Callisto13
266,15,11,237,3,mjgutermuth
261,52,23,169,17,cunnie
260,7,8,243,2,jaydunk
259,25,4,208,22,zankich
259,36,40,172,11,tcdowney
256,30,19,202,5,anEXPer
253,3,17,231,2,nimakaviani
