org,repo,activity,comments,prs,commits,issues,authors_alt2,authors_alt1,authors,pushes
kubestellar,kubestellar/console,226,18,60,0,96,0,,,52
backstage,backstage/community-plugins,186,6,2,0,1,0,,,177
kubernetes,kubernetes/enhancements,186,175,9,0,0,0,,,2
cilium,cilium/cilium,154,100,15,0,13,0,,,26
kubernetes,kubernetes/kubernetes,131,110,9,0,8,0,,,4
kubernetes,kubernetes/website,119,101,12,0,0,0,,,6
kubevirt,kubevirt/kubevirt,115,106,5,0,0,0,,,4
kubernetes-sigs,kubernetes-sigs/headlamp,102,71,10,0,15,0,,,6
backstage,backstage/backstage,92,29,7,0,8,0,,,48
open-telemetry,open-telemetry/opentelemetry-collector-contrib,90,46,15,0,22,0,,,7
kubernetes-sigs,kubernetes-sigs/kueue,70,55,7,0,1,0,,,7
keycloak,keycloak/keycloak,65,33,5,0,22,0,,,5
open-telemetry,open-telemetry/otel-arrow,64,37,1,0,1,0,,,25
argoproj,argoproj/argo-cd,63,35,5,0,17,0,,,6
envoyproxy,envoyproxy/envoy,63,32,15,0,8,0,,,8
HolmesGPT,HolmesGPT/holmesgpt,63,10,3,0,0,0,,,50
cartography-cncf,cartography-cncf/cartography,56,13,7,0,10,0,,,26
podman-desktop,podman-desktop/podman-desktop,55,17,3,0,14,0,,,21
argoproj,argoproj/argo-workflows,52,13,2,0,0,0,,,37
meshery,meshery/meshery,51,41,3,0,3,0,,,4
drasi-project,drasi-project/drasi-core,50,41,2,0,5,0,,,2
jaegertracing,jaegertracing/jaeger,50,37,8,0,2,0,,,3
volcano-sh,volcano-sh/kthena,48,42,4,0,2,0,,,0
grpc,grpc/grpc,47,6,2,0,8,0,,,31
prometheus,prometheus/alertmanager,45,14,2,0,18,0,,,11
kubevirt,kubevirt/ci-health,42,0,0,0,0,0,,,42
opentofu,opentofu/registry,41,0,1,0,3,0,,,37
WasmEdge,WasmEdge/WasmEdge,40,31,3,0,6,0,,,0
containers,containers/podman,40,33,1,0,6,0,,,0
kubeovn,kubeovn/kube-ovn,37,21,5,0,3,0,,,8
kgateway-dev,kgateway-dev/kgateway,37,28,1,0,7,0,,,1
open-telemetry,open-telemetry/weaver,36,8,1,0,0,0,,,27
jaegertracing,jaegertracing/jaeger-ui,36,33,3,0,0,0,,,0
open-telemetry,open-telemetry/opentelemetry.io,35,16,5,0,4,0,,,10
cncf,cncf/gitdm,34,8,11,0,0,0,,,15
envoyproxy,envoyproxy/gateway,34,18,5,0,8,0,,,3
kubernetes,kubernetes/ingress-nginx,34,12,7,0,0,0,,,15
kubernetes-sigs,kubernetes-sigs/gateway-api-inference-extension,33,28,1,0,2,0,,,2
external-secrets,external-secrets/external-secrets,33,9,4,0,2,0,,,18
fluxcd,fluxcd/flux2,33,12,5,0,0,0,,,16
kubernetes,kubernetes/autoscaler,33,30,2,0,1,0,,,0
rook,rook/rook,33,24,2,0,2,0,,,5
karmada-io,karmada-io/karmada,32,22,5,0,1,0,,,4
project-zot,project-zot/zot,32,16,3,0,6,0,,,7
prometheus,prometheus/prometheus,32,16,4,0,1,0,,,11
open-telemetry,open-telemetry/opentelemetry-specification,31,28,2,0,0,0,,,1
open-policy-agent,open-policy-agent/opa,31,16,5,0,1,0,,,9
kubewarden,kubewarden/sbomscanner,30,11,2,0,0,0,,,17
kubernetes-sigs,kubernetes-sigs/gateway-api,29,26,2,0,0,0,,,1
kubernetes-sigs,kubernetes-sigs/cluster-api,28,11,6,0,0,0,,,11
kubernetes,kubernetes/kops,28,11,7,0,2,0,,,8
longhorn,longhorn/longhorn,27,10,1,0,15,0,,,1
kubewarden,kubewarden/kubewarden-controller,27,8,6,0,0,0,,,13
cilium,cilium/cilium.io,26,11,5,0,7,0,,,3
konveyor,konveyor/tackle2-ui,25,3,2,0,11,0,,,9
open-telemetry,open-telemetry/opentelemetry-ebpf-instrumentation,24,20,1,0,0,0,,,3
cozystack,cozystack/cozystack,23,7,7,0,2,0,,,7
kubernetes-sigs,kubernetes-sigs/kro,23,14,0,0,9,0,,,0
kyverno,kyverno/kyverno,23,11,5,0,0,0,,,7
kubernetes-sigs,kubernetes-sigs/cloud-provider-azure,23,14,2,0,0,0,,,7
cert-manager,cert-manager/cert-manager,23,19,1,0,0,0,,,3
kubernetes-sigs,kubernetes-sigs/kubespray,22,17,3,0,0,0,,,2
kumahq,kumahq/kuma,22,6,3,0,0,0,,,13
kubeflow,kubeflow/website,22,16,2,0,1,0,,,3
goharbor,goharbor/harbor,21,10,3,0,4,0,,,4
open-cluster-management-io,open-cluster-management-io/open-cluster-management-io.github.io,20,11,4,0,0,0,,,5
knative-extensions,knative-extensions/educational-game,20,12,1,0,6,0,,,1
kubernetes-sigs,kubernetes-sigs/kubebuilder,20,15,1,0,2,0,,,2
kubernetes-sigs,kubernetes-sigs/kernel-module-management,20,20,0,0,0,0,,,0
headlamp-k8s,headlamp-k8s/plugins,20,14,4,0,2,0,,,0
meshery-extensions,meshery-extensions/kanvas-site,20,6,1,0,9,0,,,4
open-telemetry,open-telemetry/opentelemetry-rust-contrib,19,7,0,0,0,0,,,12
kubernetes-sigs,kubernetes-sigs/container-object-storage-interface,19,17,0,0,0,0,,,2
istio,istio/istio,19,11,3,0,0,0,,,5
prometheus-community,prometheus-community/helm-charts,19,9,3,0,0,0,,,7
