project,key,value
OpenStack Nova,issues,1374
OpenStack Neutron,issues,1001
OpenStack Cinder,issues,807
OpenStack Manuals,issues,70
OpenStack Glance,issues,298
OpenStack Swift,issues,138
OpenStack Horizon,issues,490
OpenStack Keystone,issues,415
OpenStack Heat,issues,389
OpenStack Manila,issues,398
OpenStack Murano,issues,30
OpenStack Mistral,issues,305
OpenStack API,issues,6
OpenStack Community,issues,0
OpenStack Nova,prs,1950
OpenStack Neutron,prs,1500
OpenStack Cinder,prs,1200
OpenStack Manuals,prs,200
OpenStack Glance,prs,450
OpenStack Swift,prs,220
OpenStack Horizon,prs,800
OpenStack Keystone,prs,650
OpenStack Heat,prs,590
OpenStack Manila,prs,600
OpenStack Murano,prs,50
OpenStack Mistral,prs,460
OpenStack API,prs,10
OpenStack Community,prs,1
OpenStack Nova,comments,3900
OpenStack Neutron,comments,3000
OpenStack Cinder,comments,2400
OpenStack Manuals,comments,400
OpenStack Glance,comments,900
OpenStack Swift,comments,440
OpenStack Horizon,comments,1600
OpenStack Keystone,comments,1300
OpenStack Heat,comments,1200
OpenStack Manila,comments,1200
OpenStack Murano,comments,100
OpenStack Mistral,comments,920
OpenStack API,comments,20
OpenStack Community,comments,2
