org,repo,activity,comments,prs,commits,issues,authors
grpc-ecosystem,grpc-ecosystem/grpc-opentracing,125,61,29,19,16,9
fluent,fluent/fluent-logger-python,124,42,38,27,17,9
kubernetes,kubernetes/pr-bot,123,52,55,15,1,4
prometheus,prometheus/collectd_exporter,122,69,26,16,11,9
kubernetes,kubernetes/kubernetes-bootcamp,118,63,26,7,22,5
fluent,fluent/fluent-logger-node,117,59,15,26,17,4
fluent,fluent/fluent-bit-docs,116,25,37,49,5,3
grpc,grpc/grpc-haskell,114,18,8,72,16,3
grpc,grpc/homebrew-grpc,108,58,23,11,16,7
prometheus,prometheus/procfs,108,54,23,17,14,5
fluent,fluent/fluent-plugin-webhdfs,102,57,19,16,10,4
fluent,fluent/fluent-logger-golang,102,64,19,10,9,5
fluent,fluent/fluent-plugin-mongo,100,38,18,27,17,3
prometheus,prometheus/prombench,97,24,32,40,1,5
kubernetes,kubernetes/apimachinery,92,38,20,29,5,14
fluent,fluent/fluentd-kubernetes-daemonset,91,62,6,7,16,2
opentracing,opentracing/opentracing-cpp,89,63,14,10,2,3
prometheus,prometheus/graphite_exporter,88,51,18,11,8,7
grpc,grpc/proposal,87,42,34,10,1,5
fabric8io,fabric8io/docker-fluentd-kubernetes,85,32,19,19,15,7
kubernetes-incubator,kubernetes-incubator/cluster-proportional-autoscaler,85,30,25,12,18,1
linkerd,linkerd/linkerd-examples,82,8,17,53,4,8
prometheus,prometheus/memcached_exporter,78,30,14,27,7,7
kubernetes-ui,kubernetes-ui/container-terminal,77,31,18,19,9,5
grpc,grpc/grpc-experiments,76,40,6,4,26,3
prometheus,prometheus/golang-builder,71,19,22,25,5,4
kubernetes,kubernetes/repo-infra,65,29,23,11,2,7
opentracing,opentracing/opentracing-objc,65,9,18,38,0,4
fluent,fluent/fluent-logger-scala,62,21,14,23,4,7
opentracing,opentracing/opentracing-ruby,59,26,18,14,1,4
fluent,fluent/fluent-plugin-grok-parser,59,17,4,27,11,2
prometheus,prometheus/client_model,58,48,1,5,4,2
fluent,fluent/fluent-plugin-sql,55,27,9,8,11,3
kubernetes,kubernetes/apiserver,55,17,8,26,4,6
kubernetes-ui,kubernetes-ui/label-selector,55,13,22,20,0,5
