project,key,value
Kubernetes,commits,41084
Prometheus,commits,2360
OpenTracing,commits,111
Fluentd,commits,3229
Linkerd,commits,1848
gRPC,commits,5725
CoreDNS,commits,671
containerd,commits,1493
CNI,commits,190
Envoy,commits,7210
Jaeger,commits,1340
Notary,commits,41
TUF,commits,331
Rook,commits,1811
Vitess,commits,2061
NATS,commits,3991
OPA,commits,1277
Spiffe,commits,1225
Spire,commits,886
CloudEvents,commits,1173
Telepresence,commits,241
Helm,commits,2091
OpenMetrics,commits,15
Harbor,commits,2429
etcd,commits,1103
TiKV,commits,2707
Cortex,commits,1068
Buildpacks,commits,1536
Falco,commits,1865
Dragonfly,commits,572
Virtual Kubelet,commits,353
KubeEdge,commits,1063
Brigade,commits,513
CRI-O,commits,1303
Network Service Mesh,commits,977
OpenEBS,commits,10628
OpenTelemetry,commits,2774
Thanos,commits,744
Flux,commits,1640
in-toto,commits,1223
Strimzi,commits,1781
KubeVirt,commits,4703
Longhorn,commits,1800
ChubaoFS,commits,469
