org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,29637,25277,6319,4360,6319,829
kubernetes,kubernetes/kubernetes,7575,6327,653,71,524,34
Automattic,Automattic/wp-calypso,5125,2411,477,2032,205,102
docker,docker/docker,5063,3915,436,202,510,66
tgstation,tgstation/tgstation,4012,3343,344,132,193,34
NixOS,NixOS/nixpkgs,3946,2391,561,778,216,208
dotnet,dotnet/coreclr,3793,2853,396,304,240,65
Microsoft,Microsoft/vscode,3741,2455,68,207,1011,22
dotnet,dotnet/roslyn,3617,2756,284,280,297,48
tensorflow,tensorflow/tensorflow,3443,2707,238,162,336,82
CartoDB,CartoDB/cartodb,3364,1321,299,1297,447,27
angular,angular/angular,3150,2242,204,179,525,33
ManageIQ,ManageIQ/manageiq,3073,2092,505,408,68,77
Microsoft,Microsoft/TypeScript,2802,1837,168,457,340,23
elastic,elastic/elasticsearch,2625,1803,254,351,217,42
JuliaLang,JuliaLang/julia,2545,1819,209,317,200,48
keybase,keybase/client,2522,1059,279,1099,85,16
dotnet,dotnet/corefx,2439,1872,212,132,223,46
saltstack,saltstack/salt,2400,1730,316,31,323,19
ParadiseSS13,ParadiseSS13/Paradise,2372,2050,179,66,77,16
hashicorp,hashicorp/terraform,2301,1555,194,325,227,41
hyperledger,hyperledger/fabric,2216,1732,223,81,180,30
ansible,ansible/ansible,2146,1441,209,244,252,53
eclipse,eclipse/che,2130,976,147,923,84,36
servo,servo/servo,2077,1619,206,26,226,11
odoo,odoo/odoo,1932,1082,281,440,129,85
driftyco,driftyco/ionic,1928,1231,63,261,373,26
meteor,meteor/meteor,1925,1582,28,139,176,32
rails,rails/rails,1885,1271,275,203,136,56
mapbox,mapbox/mapbox-gl-native,1879,961,157,593,168,21
guardian,guardian/frontend,1837,663,304,859,11,50
vmware,vmware/vic,1829,1200,177,258,194,20
nodejs,nodejs/node,1823,1491,112,49,171,25
dotnet,dotnet/cli,1789,1351,83,105,250,22
ampproject,ampproject/amphtml,1786,1150,237,204,195,36
grpc,grpc/grpc,1746,1322,249,34,141,15
fastlane,fastlane/fastlane,1723,1302,102,127,192,28
cockroachdb,cockroachdb/cockroach,1709,1163,194,217,135,27
mantidproject,mantidproject/mantid,1703,581,152,839,131,37
caskroom,caskroom/homebrew-cask,1688,608,603,369,108,141
joomla,joomla/joomla-cms,1686,1351,108,129,98,26
aspnet,aspnet/EntityFramework,1657,1136,92,185,244,20
electron,electron/electron,1653,1013,141,209,290,29
realm,realm/realm-java,1616,1072,80,341,123,14
Homebrew,Homebrew/homebrew-core,1599,920,481,107,91,23
iTXTech,iTXTech/Genisys,1592,1250,68,107,167,21
symfony,symfony/symfony,1585,1221,179,80,105,21
elastic,elastic/kibana,1579,1142,144,141,152,18
TrinityCore,TrinityCore/TrinityCore,1576,1173,57,178,168,35
owncloud,owncloud/core,1556,1207,89,127,133,26
npm,npm/npm,1538,1069,48,142,279,14
mozilla,mozilla/addons-server,1458,706,135,527,90,50
CleverRaven,CleverRaven/Cataclysm-DDA,1422,988,205,99,130,21
mattermost,mattermost/platform,1415,764,232,381,38,21
eslint,eslint/eslint,1405,1100,88,77,140,18
libretro,libretro/RetroArch,1398,325,71,942,60,21
ethcore,ethcore/parity,1396,458,222,608,108,15
Automattic,Automattic/jetpack,1395,605,141,578,71,32
dmlc,dmlc/mxnet,1393,985,125,108,175,47
Yoast,Yoast/wordpress-seo,1385,663,100,397,225,22
mapsme,mapsme/omim,1356,781,280,258,37,19
Baystation12,Baystation12/Baystation12,1352,885,168,173,126,25
TEAMMATES,TEAMMATES/teammates,1307,640,109,422,136,17
dotnet,dotnet/core-docs,1300,674,197,368,61,44
facebook,facebook/react,1295,992,111,84,108,31
claroline,claroline/Distribution,1288,563,108,458,159,16
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,1278,667,338,213,60,171
mbedmicro,mbedmicro/mbed,1260,928,186,99,47,26
RocketChat,RocketChat/Rocket.Chat,1236,791,65,187,193,32
atom,atom/atom,1222,914,38,100,170,17
brave,brave/browser-laptop,1219,687,72,231,229,12
ansible,ansible/ansible-modules-core,1201,821,146,98,136,42
aspnet,aspnet/Mvc,1200,911,37,115,137,15
orientechnologies,orientechnologies/orientdb,1187,780,11,262,134,13
wordpress-mobile,wordpress-mobile/WordPress-Android,1184,391,107,600,86,15
