org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,25888,21098,5274,4790,5274,927
kubernetes,kubernetes/kubernetes,7459,6273,701,46,439,29
NixOS,NixOS/nixpkgs,5670,3446,707,1302,215,218
docker,docker/docker,4912,4070,311,115,416,64
Microsoft,Microsoft/vscode,4821,3235,70,165,1351,14
ManageIQ,ManageIQ/manageiq,4265,3046,676,442,101,88
tgstation,tgstation/tgstation,3579,2925,339,162,153,38
dotnet,dotnet/corefx,3509,2600,339,200,370,44
angular,angular/angular,3484,2537,182,206,559,42
Automattic,Automattic/wp-calypso,3466,1575,386,1286,219,103
tensorflow,tensorflow/tensorflow,3464,2724,224,162,354,96
facebook,facebook/react-native,3388,2853,197,29,309,12
dotnet,dotnet/roslyn,3326,2619,212,159,336,31
PokemonGoMap,PokemonGoMap/PokemonGo-Map,3062,2633,139,81,209,36
elastic,elastic/elasticsearch,3056,1890,242,719,205,54
Microsoft,Microsoft/TypeScript,3018,2120,126,356,416,22
magento,magento/magento2,2919,2439,47,53,380,43
PokemonGoF,PokemonGoF/PokemonGo-Bot,2774,2075,219,62,418,28
brave,brave/browser-laptop,2634,1542,167,326,599,20
angular,angular/angular-cli,2626,2081,90,44,411,16
,Ar1i/PokemonGo-Bot,2455,1694,146,155,460,13
ansible,ansible/ansible,2433,1554,303,393,183,82
hashicorp,hashicorp/terraform,2421,1581,216,298,326,63
nodejs,nodejs/node,2403,1937,221,79,166,30
ampproject,ampproject/amphtml,2308,1523,261,293,231,44
JuliaLang,JuliaLang/julia,2256,1632,141,296,187,43
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,2200,1269,579,231,121,156
home-assistant,home-assistant/home-assistant,2159,1366,371,276,146,37
keybase,keybase/client,2149,1002,232,799,116,18
saltstack,saltstack/salt,2129,1552,304,24,249,14
joomla,joomla/joomla-cms,2094,1594,139,272,89,39
,d3athrow/vgstation13,2070,1690,149,39,192,14
mantidproject,mantidproject/mantid,2048,768,144,975,161,43
dotnet,dotnet/coreclr,2026,1497,220,154,155,54
driftyco,driftyco/ionic,2007,1403,67,160,377,22
CartoDB,CartoDB/cartodb,2004,918,156,735,195,19
servo,servo/servo,1941,1579,193,49,120,14
eclipse,eclipse/che,1932,958,143,598,233,38
caskroom,caskroom/homebrew-cask,1883,515,778,515,75,190
mesosphere,mesosphere/marathon,1876,837,166,780,93,30
department-of-veterans-affairs,department-of-veterans-affairs/vets-website,1815,566,197,944,108,29
ansible,ansible/ansible-modules-core,1805,1049,306,295,155,61
vmware,vmware/vic,1792,1251,170,207,164,21
RocketChat,RocketChat/Rocket.Chat,1785,1000,124,442,219,31
Necrobot-Private,Necrobot-Private/NecroBot,1780,1104,88,377,211,20
ethcore,ethcore/parity,1774,455,195,911,213,20
Microsoft,Microsoft/vsts-tasks,1770,729,252,692,97,46
elastic,elastic/kibana,1757,1076,218,215,248,20
Homebrew,Homebrew/homebrew-core,1709,1111,407,36,155,25
libretro,libretro/RetroArch,1689,504,138,981,66,30
CleverRaven,CleverRaven/Cataclysm-DDA,1657,1266,181,68,142,28
cockroachdb,cockroachdb/cockroach,1651,1109,176,204,162,26
rails,rails/rails,1606,1090,214,177,125,55
mapbox,mapbox/mapbox-gl-native,1602,779,119,536,168,30
ARMmbed,ARMmbed/mbed-os,1524,1211,184,47,82,17
godotengine,godotengine/godot,1502,1130,93,69,210,23
grpc,grpc/grpc,1465,1007,188,143,127,35
claroline,claroline/Distribution,1437,551,108,625,153,16
TeamPorcupine,TeamPorcupine/ProjectPorcupine,1435,1172,139,51,73,16
bitcoin,bitcoin/bitcoin,1434,1214,152,23,45,13
scikit-learn,scikit-learn/scikit-learn,1419,1161,105,74,79,35
fastlane,fastlane/fastlane,1415,1044,89,56,226,14
thaliproject,thaliproject/Thali_CordovaPlugin,1411,570,85,659,97,20
mitodl,mitodl/micromasters,1403,644,91,591,77,16
odoo,odoo/odoo,1401,619,187,475,120,72
owncloud,owncloud/core,1399,978,87,217,117,30
atom,atom/atom,1395,974,76,161,184,22
voidlinux,voidlinux/void-packages,1390,494,112,730,54,37
TrinityCore,TrinityCore/TrinityCore,1376,841,45,384,106,25
Microsoft,Microsoft/CNTK,1314,245,12,993,64,44
Yoast,Yoast/wordpress-seo,1290,634,98,363,195,12
mozilla,mozilla/addons-server,1284,651,133,357,143,60
yiisoft,yiisoft/yii2,1275,881,104,149,141,36
Microsoft,Microsoft/BotBuilder,1272,976,11,69,216,16
codenvy,codenvy/codenvy,1259,410,85,630,134,24
PowerShell,PowerShell/PowerShell,1258,910,106,82,160,28
acemod,acemod/ACE3,1249,753,106,318,72,17
,rg3/youtube-dl,1210,739,64,174,233,14
,fchollet/keras,1209,870,65,64,210,28
EFForg,EFForg/https-everywhere,1207,666,434,42,65,18
aspnet,aspnet/EntityFramework,1172,835,53,120,164,13
matplotlib,matplotlib/matplotlib,1157,926,80,55,96,22
Particular,Particular/docs.particular.net,1151,377,122,640,12,33
eslint,eslint/eslint,1141,881,103,57,100,22
JabRef,JabRef/jabref,1136,782,148,135,71,21
flutter,flutter/flutter,1130,712,128,123,167,16
facebook,facebook/react,1130,863,96,68,103,34
angular,angular/material,1096,757,77,76,186,19
ArduPilot,ArduPilot/ardupilot,1089,811,102,120,56,25
serverless,serverless/serverless,1067,744,99,104,120,20
alibaba,alibaba/weex,1061,506,94,323,138,45
librenms,librenms/librenms,1058,658,182,74,144,12
