org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,23334,19751,4937,3583,4937,755
kubernetes,kubernetes/kubernetes,7654,6406,598,147,503,76
Automattic,Automattic/wp-calypso,4575,2264,406,1709,196,148
ManageIQ,ManageIQ/manageiq,4304,2662,663,852,127,110
dotnet,dotnet/roslyn,4172,3331,273,230,338,73
NixOS,NixOS/nixpkgs,3948,2362,552,827,207,224
docker,docker/docker,3877,3186,259,38,394,30
tgstation,tgstation/-tg-station,3613,3109,221,145,138,41
dotnet,dotnet/coreclr,3578,2695,374,294,215,84
dotnet,dotnet/corefx,3512,2666,356,237,253,74
facebook,facebook/react-native,3425,2802,257,35,331,15
saltstack,saltstack/salt,3003,2151,433,137,282,37
Microsoft,Microsoft/vscode,2984,1943,40,215,786,24
angular,angular/angular,2843,2077,173,171,422,27
joomla,joomla/joomla-cms,2776,1913,218,552,93,82
elastic,elastic/elasticsearch,2760,1887,280,357,236,66
JuliaLang,JuliaLang/julia,2726,1968,212,325,221,61
tensorflow,tensorflow/tensorflow,2668,2130,146,99,293,56
hashicorp,hashicorp/terraform,2663,1725,223,436,279,69
Microsoft,Microsoft/TypeScript,2630,1826,152,335,317,30
nodejs,nodejs/node,2611,2195,146,80,190,42
magento,magento/magento2,2566,2039,49,52,426,43
mantidproject,mantidproject/mantid,2555,1063,234,999,259,56
guardian,guardian/frontend,2384,861,412,1100,11,73
CartoDB,CartoDB/cartodb,2277,866,171,1070,170,46
owncloud,owncloud/core,2240,1680,88,202,270,41
rails,rails/rails,2198,1546,249,260,143,85
ansible,ansible/ansible,2155,1408,175,325,247,81
fastlane,fastlane/fastlane,2149,1553,147,189,260,35
HippieStationCode,HippieStationCode/HippieStation13,2067,1752,135,83,97,25
dotnet,dotnet/cli,2033,1470,91,140,332,34
godotengine,godotengine/godot,2019,1506,193,49,271,11
eclipse,eclipse/che,2003,915,179,838,71,61
CleverRaven,CleverRaven/Cataclysm-DDA,1999,1397,277,139,186,43
cockroachdb,cockroachdb/cockroach,1917,1222,236,281,178,33
mattermost,mattermost/platform,1808,1068,311,364,65,36
hyperledger,hyperledger/fabric,1768,1362,186,56,164,23
ParadiseSS13,ParadiseSS13/Paradise,1735,1474,144,58,59,17
angular,angular/angular-cli,1728,1210,134,108,276,34
Homebrew,Homebrew/homebrew-core,1717,905,635,85,92,46
Automattic,Automattic/jetpack,1666,657,179,707,123,42
driftyco,driftyco/ionic,1630,1101,44,191,294,43
npm,npm/npm,1610,1145,52,80,333,11
TrinityCore,TrinityCore/TrinityCore,1603,1139,47,259,158,41
aspnet,aspnet/EntityFramework,1600,1059,91,238,212,38
eslint,eslint/eslint,1594,1224,90,140,140,26
claroline,claroline/Distribution,1591,606,129,745,111,31
caskroom,caskroom/homebrew-cask,1574,455,633,432,54,175
meteor,meteor/meteor,1566,1266,42,126,132,24
PX4,PX4/Firmware,1553,987,166,289,111,30
ArduPilot,ArduPilot/ardupilot,1522,1043,173,240,66,50
angular,angular/material,1518,1143,80,44,251,16
OpenRCT2,OpenRCT2/OpenRCT2,1495,931,132,276,156,35
RocketChat,RocketChat/Rocket.Chat,1495,901,95,244,255,47
grpc,grpc/grpc,1485,1121,198,63,103,19
dmlc,dmlc/mxnet,1478,1061,115,93,209,48
highfidelity,highfidelity/hifi,1472,1125,175,151,21,20
keybase,keybase/client,1463,722,159,543,39,34
odoo,odoo/odoo,1457,638,292,428,99,94
elastic,elastic/kibana,1445,1063,102,111,169,29
hazelcast,hazelcast/hazelcast,1438,976,140,215,107,40
wordpress-mobile,wordpress-mobile/WordPress-iOS,1418,586,159,599,74,22
atom,atom/atom,1396,1060,42,127,167,24
justarrived,justarrived/just-match-frontend,1370,343,249,581,197,13
facebook,facebook/react,1358,1047,124,76,111,43
ampproject,ampproject/amphtml,1350,899,170,151,130,41
electron,electron/electron,1349,859,131,105,254,23
tgstation,tgstation/tgstation,1346,1129,101,58,58,34
libretro,libretro/RetroArch,1335,316,56,897,66,21
pymedusa,pymedusa/SickRage,1323,533,91,648,51,17
DBCDK,DBCDK/serviceprovider,1320,196,190,796,138,13
grafana,grafana/grafana,1304,811,74,111,308,25
ansible,ansible/ansible-modules-extras,1299,928,184,135,52,72
bitcoin,bitcoin/bitcoin,1295,1087,94,66,48,32
ansible,ansible/ansible-modules-core,1291,873,161,159,98,51
realm,realm/realm-java,1287,901,80,182,124,16
department-of-veterans-affairs,department-of-veterans-affairs/vets-website,1281,491,170,538,82,22
brave,brave/browser-laptop,1273,776,58,149,290,16
yogstation13,yogstation13/yogstation,1273,988,89,96,100,22
voidlinux,voidlinux/void-packages,1271,371,98,740,62,55
influxdata,influxdata/influxdb,1269,807,89,256,117,25
owncloud,owncloud/client,1258,994,30,95,139,18
orientechnologies,orientechnologies/orientdb,1244,873,12,209,150,21
mozilla,mozilla/addons-server,1241,703,84,319,135,62
prestodb,prestodb/presto,1191,808,174,154,55,50
getsentry,getsentry/sentry,1174,442,140,509,83,27
ant-design,ant-design/ant-design,1172,699,55,121,297,22
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,1163,583,313,214,53,175
mitodl,mitodl/micromasters,1163,526,87,456,94,14
OpenRA,OpenRA/OpenRA,1157,924,77,73,83,18
idaholab,idaholab/moose,1155,783,114,159,99,33
astropy,astropy/astropy,1154,979,70,48,57,20
Baystation12,Baystation12/Baystation12,1149,661,188,201,99,44
mapsme,mapsme/omim,1140,551,281,264,44,36
neo4j,neo4j/neo4j,1136,519,205,364,48,49
callemall,callemall/material-ui,1136,858,90,34,154,19
yiisoft,yiisoft/yii2,1122,856,64,54,148,20
mapbox,mapbox/mapbox-gl-native,1106,570,93,318,125,28
iTXTech,iTXTech/Genisys,1105,803,47,103,152,25
sakaiproject,sakaiproject/sakai,1098,488,279,302,29,63
ParsePlatform,ParsePlatform/parse-server,1097,803,50,32,212,15
minetest,minetest/minetest,1094,936,47,48,63,22
metabase,metabase/metabase,1082,633,87,243,119,11
aspnet,aspnet/Mvc,1077,672,53,212,140,27
uclouvain,uclouvain/osis,1073,406,153,388,126,22
symfony,symfony/symfony,1064,809,119,34,102,19
SickRage,SickRage/SickRage,1061,743,43,84,191,16
ethereum,ethereum/mist,1054,777,54,66,157,21
getlantern,getlantern/lantern,1046,634,29,198,185,14
openwhisk,openwhisk/openwhisk,1035,700,109,80,146,29
osmandapp,osmandapp/Osmand,1032,456,24,432,120,65
Project-OSRM,Project-OSRM/osrm-backend,1027,477,91,400,59,18
xcat2,xcat2/xcat-core,1027,675,125,119,108,29
PolarisSS13,PolarisSS13/Polaris,1025,481,234,228,82,46
fish-shell,fish-shell/fish-shell,1025,777,33,124,91,25
TEAMMATES,TEAMMATES/teammates,1025,488,118,332,87,23
keystonejs,keystonejs/keystone,1020,549,81,286,104,29
devopsdays,devopsdays/devopsdays-web,1013,290,277,385,61,58
broadinstitute,broadinstitute/cromwell,1010,381,69,467,93,25
Microsoft,Microsoft/vsts-tasks,1010,475,148,317,70,45
LMFDB,LMFDB/lmfdb,1007,729,97,95,86,14
MinecraftForge,MinecraftForge/MinecraftForge,1001,803,75,68,55,18
KhronosGroup,KhronosGroup/Vulkan-LoaderAndValidationLayers,995,569,107,273,46,35
duckduckgo,duckduckgo/zeroclickinfo-goodies,987,695,133,130,29,42
vmware,vmware/vic,986,508,94,133,251,23
twbs,twbs/bootstrap,984,695,67,97,125,24
mozilla,mozilla/tofino,983,459,126,305,93,20
LLNL,LLNL/spack,982,702,104,134,42,37
realm,realm/realm-cocoa,978,575,55,245,103,15
systemd,systemd/systemd,977,670,131,69,107,37
Yoast,Yoast/wordpress-seo,977,486,75,256,160,26
matplotlib,matplotlib/matplotlib,963,759,87,59,58,20
Sylius,Sylius/Sylius,962,600,147,144,71,47
NativeScript,NativeScript/NativeScript,952,567,88,191,106,35
syncthing,syncthing/syncthing,950,520,34,313,83,15
BVLC,BVLC/caffe,948,720,45,52,131,25
certbot,certbot/certbot,943,621,94,142,86,32
RIOT-OS,RIOT-OS/RIOT,943,798,65,56,24,26
scikit-learn,scikit-learn/scikit-learn,935,796,59,26,54,22
mozilla,mozilla/testpilot,925,599,74,90,162,12
flutter,flutter/flutter,920,513,117,111,179,20
loklak,loklak/loklak_server,919,498,111,217,93,20
pingcap,pingcap/tikv,915,443,123,331,18,23
YetiForceCompany,YetiForceCompany/YetiForceCRM,912,310,16,446,140,22
18F,18F/micropurchase,893,297,91,449,56,15
Particular,Particular/docs.particular.net,893,348,80,436,29,39
coreos,coreos/rkt,892,699,90,48,55,26
openshift,openshift/openshift-docs,887,500,187,183,17,38
ethcore,ethcore/parity,885,195,119,502,69,17
openscholar,openscholar/openscholar,885,451,70,269,95,19
LigaData,LigaData/Kamanja,879,458,47,303,71,25
rubberduck-vba,rubberduck-vba/Rubberduck,878,508,127,122,121,15
JabRef,JabRef/jabref,875,548,76,179,72,29
wordpress-mobile,wordpress-mobile/WordPress-Android,871,293,62,459,57,20
DPIRPSG,DPIRPSG/DPHackaton,861,92,102,575,92,11
weaveworks,weaveworks/scope,860,395,62,327,76,22
codecombat,codecombat/codecombat,857,354,86,382,35,48
sequelize,sequelize/sequelize,856,656,65,25,110,13
vatesfr,vatesfr/xo-web,855,124,72,626,33,16
strongloop,strongloop/loopback,854,592,30,145,87,16
druid-io,druid-io/druid,854,604,115,75,60,24
angular,angular/angular.js,848,593,59,99,97,35
preview-code,preview-code/rite-evaluation,848,246,118,410,74,12
home-assistant,home-assistant/home-assistant,847,545,149,70,83,15
concrete5,concrete5/concrete5,844,463,128,184,69,23
hypothesis,hypothesis/h,843,324,104,382,33,15
spring-projects,spring-projects/spring-boot,840,534,53,102,151,18
serverless,serverless/serverless,837,430,55,235,117,15
Polymer,Polymer/polymer-cli,834,457,85,202,90,15
woothemes,woothemes/woocommerce,833,419,78,211,125,47
elixir-lang,elixir-lang/elixir,823,584,130,79,30,26
EFForg,EFForg/https-everywhere,821,435,296,52,38,22
zooniverse,zooniverse/Panoptes-Front-End,820,534,65,139,82,20
