org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,27460,23424,5856,4036,5856,855
kubernetes,kubernetes/kubernetes,6552,5353,537,111,551,45
Automattic,Automattic/wp-calypso,5344,2616,483,1965,280,94
tgstation,tgstation/-tg-station,4897,4023,396,310,168,62
docker,docker/docker,4697,3809,400,97,391,46
dotnet,dotnet/roslyn,4324,3299,359,272,394,39
NixOS,NixOS/nixpkgs,4059,2512,546,830,171,158
ManageIQ,ManageIQ/manageiq,3747,2466,716,467,98,67
dotnet,dotnet/corefx,3719,2762,436,243,278,58
angular,angular/angular,3400,2311,143,579,367,38
dotnet,dotnet/coreclr,3044,2283,309,238,214,54
owncloud,owncloud/core,3024,2344,102,143,435,22
elastic,elastic/elasticsearch,3007,1926,284,538,259,56
nodejs,nodejs/node,2775,2340,170,89,176,40
cockroachdb,cockroachdb/cockroach,2591,1607,310,362,312,25
hashicorp,hashicorp/terraform,2574,1815,161,225,373,46
dotnet,dotnet/cli,2490,1607,206,417,260,32
Microsoft,Microsoft/TypeScript,2386,1722,88,245,331,18
ansible,ansible/ansible,2350,1501,234,325,290,53
Homebrew,Homebrew/homebrew,2338,1318,676,201,143,95
joomla,joomla/joomla-cms,2295,1874,136,94,191,26
angular,angular/material,2233,1603,132,177,321,30
influxdata,influxdata/influxdb,2172,1388,128,463,193,25
saltstack,saltstack/salt,2167,1520,358,24,265,15
TEAMMATES,TEAMMATES/teammates,2138,1352,180,478,128,37
tensorflow,tensorflow/tensorflow,2133,1686,158,60,229,25
npm,npm/npm,2065,1538,55,85,387,13
JuliaLang,JuliaLang/julia,2018,1475,127,240,176,38
magento,magento/magento2,1994,1506,57,80,351,55
atom,atom/atom,1991,1418,74,241,258,33
eclipse,eclipse/che,1982,781,173,906,122,37
mapsme,mapsme/omim,1962,839,575,530,18,18
ParadiseSS13,ParadiseSS13/Paradise,1930,1564,180,88,98,12
rails,rails/rails,1920,1322,287,162,149,64
grpc,grpc/grpc,1911,1361,218,106,226,23
keybase,keybase/client,1868,860,220,702,86,17
mantidproject,mantidproject/mantid,1846,562,140,971,173,33
