project,key,value
Kubernetes,commits,35551
Prometheus,commits,4320
OpenTracing,commits,472
Fluentd,commits,3374
Linkerd,commits,4322
gRPC,commits,5860
CoreDNS,commits,1055
containerd,commits,1284
rkt,commits,19
CNI,commits,334
Envoy,commits,6491
Jaeger,commits,1488
Notary,commits,58
TUF,commits,567
Rook,commits,812
Vitess,commits,1513
NATS,commits,4521
OPA,commits,689
SPIFFE,commits,923
SPIRE,commits,596
CloudEvents,commits,677
Telepresence,commits,490
Helm,commits,1245
OpenMetrics,commits,78
Harbor,commits,1490
etcd,commits,1737
TiKV,commits,1699
Cortex,commits,677
Buildpacks,commits,1653
Falco,commits,376
Dragonfly,commits,485
Virtual Kubelet,commits,467
KubeEdge,commits,350
Brigade,commits,498
CRI-O,commits,796
Network Service Mesh,commits,667
