org,repo,activity,comments,prs,commits,issues,authors
torvalds,linux,78638,63869,15967,14769,15967,1643
GoogleCloudPlatform,GoogleCloudPlatform/kubernetes,22491,17151,2223,1752,1365,207
docker,docker/docker,15223,12663,1067,521,972,171
JuliaLang,JuliaLang/julia,12063,9778,542,1183,560,97
tgstation,tgstation/-tg-station,11750,9480,822,682,766,71
dotnet,dotnet/roslyn,11317,8215,1047,977,1078,69
Homebrew,Homebrew/homebrew,10605,6627,2264,1151,563,280
saltstack,saltstack/salt,9552,6237,1518,693,1104,171
elastic,elastic/elasticsearch,9115,5710,878,1757,770,74
acemod,acemod/ACE3,8696,4993,799,2243,661,75
NixOS,NixOS/nixpkgs,8633,4615,1153,2481,384,250
atom,atom/atom,8257,6104,234,701,1218,46
facebook,facebook/react-native,8224,6601,496,245,882,78
owncloud,owncloud/core,7690,5964,265,554,907,32
CartoDB,CartoDB/cartodb,7400,4411,444,1832,713,32
angular,angular/angular,7211,4694,827,827,863,65
angular,angular/material,6398,3887,219,1042,1250,44
Microsoft,Microsoft/TypeScript,6357,4653,284,626,794,34
hashicorp,hashicorp/terraform,5958,3910,574,811,663,111
rails,rails/rails,5808,4007,839,587,375,165
CenterForOpenScience,CenterForOpenScience/osf.io,5742,3604,697,1015,426,49
odoo,odoo/odoo,5516,3148,832,994,542,181
Baystation12,Baystation12/Baystation12,5410,3374,805,683,548,34
OpenRA,OpenRA/OpenRA,5309,4118,461,411,319,41
npm,npm/npm,5293,3913,107,384,889,49
CleverRaven,CleverRaven/Cataclysm-DDA,5278,4134,486,301,357,57
ManageIQ,ManageIQ/manageiq,5222,3581,789,738,114,58
symfony,symfony/symfony,5152,3981,579,194,398,48
voidlinux,voidlinux/void-packages,5118,1478,542,2909,189,55
guardian,guardian/frontend,5108,1987,836,2191,94,48
TrinityCore,TrinityCore/TrinityCore,5083,3668,135,867,413,53
neovim,neovim/neovim,4899,4131,326,151,291,35
joomla,joomla/joomla-cms,4778,3718,329,466,265,64
MarlinFirmware,MarlinFirmware/Marlin,4720,4082,232,147,259,22
angular,angular/angular.js,4714,3328,335,575,476,97
influxdb,influxdb/influxdb,4652,2828,355,914,555,38
HabitRPG,HabitRPG/habitrpg,4435,3324,218,522,371,34
yiisoft,yiisoft/yii2,4416,3200,357,163,696,34
cleanflight,cleanflight/cleanflight,4312,3674,203,227,208,44
facebook,facebook/react,4300,3246,383,322,349,109
dotnet,dotnet/corefx,4286,3355,345,241,345,53
elastic,elastic/kibana,4244,2976,283,354,631,32
servo,servo/servo,4159,3075,645,182,257,31
appium,appium/appium,4114,3359,99,222,434,19
cocos2d,cocos2d/cocos2d-x,4100,2028,797,908,367,84
RIOT-OS,RIOT-OS/RIOT,4082,3471,344,203,64,33
hazelcast,hazelcast/hazelcast,4070,2468,434,868,300,39
piwik,piwik/piwik,4034,2049,231,1405,349,19
grpc,grpc/grpc,4032,2186,763,678,405,47
zestedesavoir,zestedesavoir/zds-site,3964,3359,200,170,235,23
rapid7,rapid7/metasploit-framework,3901,2821,460,455,165,63
sequelize,sequelize/sequelize,3822,2832,205,350,435,76
libretro,libretro/RetroArch,3767,479,248,2957,83,39
mapbox,mapbox/mapbox-gl-native,3750,2102,269,968,411,21
arduino,arduino/Arduino,3722,2740,126,355,501,38
orientechnologies,orientechnologies/orientdb,3703,2430,53,566,654,25
