project,key,value
Kubernetes,commits,119317
Prometheus,commits,6473
OpenTracing,commits,959
Fluentd,commits,4001
Linkerd,commits,7651
gRPC,commits,10206
CoreDNS,commits,2624
containerd,commits,2946
rkt,commits,148
CNI,commits,565
Envoy,commits,9986
Jaeger,commits,2992
Notary,commits,206
TUF,commits,952
Rook,commits,1293
Vitess,commits,4238
NATS,commits,10960
OPA,commits,1439
SPIFFE,commits,2584
SPIRE,commits,954
CloudEvents,commits,1122
Telepresence,commits,1226
Helm,commits,13062
OpenMetrics,commits,157
Harbor,commits,4856
etcd,commits,4237
TiKV,commits,4012
Cortex,commits,3738
Buildpacks,commits,1844
Falco,commits,795
Dragonfly,commits,1362
Virtual Kubelet,commits,1183
KubeEdge,commits,737
Brigade,commits,1130
CRI-O,commits,5036
