org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,26622,22252,5563,4370,5563,848
PokemonGoF,PokemonGoF/PokemonGo-Bot,14336,11407,690,224,2015,34
kubernetes,kubernetes/kubernetes,8159,6818,815,30,496,17
PokemonGoMap,PokemonGoMap/PokemonGo-Map,6399,5296,373,82,648,28
Automattic,Automattic/wp-calypso,4916,2242,423,2064,187,93
TeamPorcupine,TeamPorcupine/ProjectPorcupine,4749,3804,579,51,315,33
NixOS,NixOS/nixpkgs,4621,2859,560,999,203,198
docker,docker/docker,4435,3529,342,80,484,39
ManageIQ,ManageIQ/manageiq,4132,2825,721,452,134,86
Microsoft,Microsoft/vscode,4023,2767,64,131,1061,18
angular,angular/angular,3871,2732,281,344,514,52
tgstation,tgstation/tgstation,3818,3179,395,104,140,28
tensorflow,tensorflow/tensorflow,3616,2919,174,133,390,79
facebook,facebook/react-native,3377,2766,234,24,353,12
dotnet,dotnet/roslyn,3243,2508,237,216,282,44
hashicorp,hashicorp/terraform,3218,2143,283,419,373,82
magento,magento/magento2,3090,2517,74,48,451,38
joomla,joomla/joomla-cms,3054,2426,147,350,131,58
dotnet,dotnet/coreclr,2856,2258,253,186,159,54
JuliaLang,JuliaLang/julia,2816,2023,203,360,230,45
dotnet,dotnet/corefx,2699,2001,252,153,293,53
Microsoft,Microsoft/TypeScript,2692,1762,143,426,361,21
elastic,elastic/elasticsearch,2644,1799,255,321,269,49
vmware,vmware/vic,2263,1511,231,277,244,23
Automattic,Automattic/jetpack,2241,883,311,917,130,34
keybase,keybase/client,2235,1081,218,774,162,19
saltstack,saltstack/salt,2210,1540,373,25,272,12
ansible,ansible/ansible,2200,1384,229,368,219,73
ParadiseSS13,ParadiseSS13/Paradise,2142,1783,211,74,74,12
nodejs,nodejs/node,2129,1789,129,61,150,29
ampproject,ampproject/amphtml,2068,1377,259,241,191,44
caskroom,caskroom/homebrew-cask,2010,540,750,621,99,188
CartoDB,CartoDB/cartodb,1996,963,162,632,239,24
brave,brave/browser-laptop,1987,1116,123,260,488,15
cockroachdb,cockroachdb/cockroach,1977,1282,203,230,262,25
mantidproject,mantidproject/mantid,1972,566,172,1107,127,45
driftyco,driftyco/ionic,1910,1219,43,260,388,28
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,1899,961,460,384,94,245
servo,servo/servo,1841,1464,183,53,141,18
atom,atom/atom,1837,1088,72,458,219,23
rails,rails/rails,1821,1268,219,204,130,70
mapbox,mapbox/mapbox-gl-native,1809,898,142,597,172,23
fastlane,fastlane/fastlane,1769,1324,121,127,197,31
symfony,symfony/symfony,1766,1425,144,88,109,42
grpc,grpc/grpc,1762,1276,209,142,135,36
angular,angular/angular-cli,1762,1334,83,33,312,15
eclipse,eclipse/che,1739,918,98,553,170,32
odoo,odoo/odoo,1698,836,285,463,114,75
PowerShell,PowerShell/PowerShell,1676,1296,114,93,173,47
ansible,ansible/ansible-modules-core,1654,1141,194,172,147,74
Microsoft,Microsoft/BotBuilder,1613,1204,14,120,275,23
yogstation13,yogstation13/yogstation,1588,1175,165,144,104,29
department-of-veterans-affairs,department-of-veterans-affairs/vets-website,1575,632,142,657,144,28
elastic,elastic/kibana,1546,1163,113,120,150,24
npm,npm/npm,1512,1146,18,81,267,14
