org,repo,activity,comments,prs,commits,issues,authors
kubernetes,kubernetes/kubernetes,77556,64990,7136,575,4855,204
Automattic,Automattic/wp-calypso,54687,24826,5266,22058,2537,362
Microsoft,Microsoft/vscode,50662,34614,748,1146,14154,50
docker,docker/docker,50107,40170,3682,1109,5146,197
NixOS,NixOS/nixpkgs,48327,28613,7380,9933,2401,980
tgstation,tgstation/tgstation,47197,39086,4393,1555,2163,150
tensorflow,tensorflow/tensorflow,44408,35234,2646,1627,4901,610
dotnet,dotnet/corefx,36822,27839,3679,2144,3160,239
ManageIQ,ManageIQ/manageiq,36771,25322,6349,4287,813,227
facebook,facebook/react-native,36514,30116,2394,126,3878,44
PokemonGoF,PokemonGoF/PokemonGo-Bot,34885,26829,2087,2009,3960,350
angular,angular/angular,34380,24625,2094,2427,5234,271
hashicorp,hashicorp/terraform,33161,21060,3293,4907,3901,458
ansible,ansible/ansible,32406,21783,4324,2895,3404,497
dotnet,dotnet/coreclr,32042,24475,3458,2162,1947,236
magento,magento/magento2,31954,26111,886,520,4437,226
joomla,joomla/joomla-cms,30732,23281,2008,3766,1677,240
Microsoft,Microsoft/TypeScript,30552,20404,1510,3887,4751,81
elastic,elastic/elasticsearch,28584,17654,2808,5378,2744,219
dotnet,dotnet/roslyn,28580,21908,2075,1591,3006,146
nodejs,nodejs/node,27899,21822,2431,1759,1887,338
angular,angular/angular-cli,26609,20635,1240,663,4071,149
caskroom,caskroom/homebrew-cask,26002,6629,10600,7634,1139,1278
saltstack,saltstack/salt,25415,18681,3428,244,3062,79
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,25144,13919,5846,4202,1177,1971
home-assistant,home-assistant/home-assistant,23469,16613,3247,1733,1876,242
keybase,keybase/client,23417,10157,2640,9398,1222,58
CartoDB,CartoDB/cartodb,23279,10129,1743,8722,2685,87
driftyco,driftyco/ionic,22965,15835,673,2065,4392,204
JuliaLang,JuliaLang/julia,22610,15688,1680,3375,1867,164
Homebrew,Homebrew/homebrew-core,22370,12575,5809,2857,1129,650
cockroachdb,cockroachdb/cockroach,22366,14030,2053,2587,3696,78
mantidproject,mantidproject/mantid,21547,7110,1759,10916,1762,110
elastic,elastic/kibana,21419,14077,2374,2242,2726,109
ParadiseSS13,ParadiseSS13/Paradise,21073,17912,1737,514,910,62
dart-lang,dart-lang/sdk,20378,9943,117,7443,2875,153
Automattic,Automattic/jetpack,20172,8914,2087,7844,1327,207
fastlane,fastlane/fastlane,20067,14574,1482,1627,2384,238
ampproject,ampproject/amphtml,19732,12886,2535,2170,2141,206
