org,repo,activity,comments,prs,commits,issues,authors
torvalds,linux,79169,64197,16049,14972,16049,1698
tgstation,tgstation/-tg-station,15794,12979,1087,843,885,80
docker,docker/docker,14094,11709,1000,548,837,175
GoogleCloudPlatform,GoogleCloudPlatform/kubernetes,14086,10537,1508,1144,897,172
rust-lang,rust-lang/rust,12664,9703,1298,35,1628,21
saltstack,saltstack/salt,10167,6692,1430,1056,989,223
JuliaLang,JuliaLang/julia,9556,7130,483,1321,622,105
NixOS,NixOS/nixpkgs,9394,5294,1206,2459,435,264
owncloud,owncloud/core,9389,7448,321,575,1045,40
Homebrew,Homebrew/homebrew,8576,5299,2004,696,577,213
dotnet,dotnet/roslyn,8519,6236,664,631,988,73
rails,rails/rails,7625,5380,926,848,471,186
atom,atom/atom,7396,5237,215,802,1142,43
iojs,iojs/io.js,7227,6154,412,250,411,71
CartoDB,CartoDB/cartodb,6836,3993,386,1619,838,31
joomla,joomla/joomla-cms,6640,5069,469,675,427,87
CleverRaven,CleverRaven/Cataclysm-DDA,6123,4634,744,367,378,56
odoo,odoo/odoo,5989,3089,987,1296,617,175
ManageIQ,ManageIQ/manageiq,5970,3871,1015,861,223,51
guardian,guardian/frontend,5845,2131,1005,2574,135,51
angular,angular/angular.js,5786,4052,344,860,530,128
npm,npm/npm,5522,4453,117,275,677,49
yiisoft,yiisoft/yii2,5255,3873,441,145,796,34
angular,angular/material,5242,3359,167,814,902,35
Microsoft,Microsoft/TypeScript,5137,3641,215,598,683,28
TrinityCore,TrinityCore/TrinityCore,5113,3594,173,887,459,54
elasticsearch,elasticsearch/elasticsearch,5108,3041,396,1123,548,38
neovim,neovim/neovim,4978,4340,253,82,303,18
meteor,meteor/meteor,4778,3251,106,858,563,44
OpenRA,OpenRA/OpenRA,4738,3894,328,277,239,37
Baystation12,Baystation12/Baystation12,4526,2810,683,580,453,52
bolt,bolt/bolt,4489,2725,608,805,351,47
facebook,facebook/react,4234,3045,395,448,346,137
minetest,minetest/minetest,4224,3281,275,372,296,37
rapid7,rapid7/metasploit-framework,4159,2900,414,682,163,84
caskroom,caskroom/homebrew-cask,4158,1979,1220,693,266,283
dotnet,dotnet/corefx,4154,3146,396,312,300,55
flynn,flynn/flynn,4153,1540,465,1890,258,22
cocos2d,cocos2d/cocos2d-x,4148,1998,763,886,501,92
CenterForOpenScience,CenterForOpenScience/osf.io,4090,2001,646,1132,311,35
rust-lang,rust-lang/rfcs,3987,3699,148,37,103,18
symfony,symfony/symfony,3945,2984,543,94,324,21
joyent,joyent/node,3909,2406,150,136,1217,37
aspnet,aspnet/Mvc,3905,1945,275,1447,238,35
sequelize,sequelize/sequelize,3816,2775,157,391,493,65
angular-ui,angular-ui/ng-grid,3734,2789,188,199,558,40
adobe,adobe/brackets,3687,2999,145,158,385,43
