org,repo,activity,comments,prs,commits,issues,authors
EFForg,EFForg/https-everywhere,5576,2195,1711,1478,192,117
woocommerce,woocommerce/woocommerce,5552,3018,568,787,1179,51
Azure,Azure/azure-cli,5551,3219,843,841,648,47
pingcap,pingcap/tidb,5548,2466,664,2256,162,72
minetest,minetest/minetest,5491,4504,361,312,314,60
eggjs,eggjs/egg,5442,3493,255,1285,409,56
coala,coala/coala,5439,4502,367,301,269,45
scikit-learn,scikit-learn/scikit-learn,5424,4545,326,198,355,122
swagger-api,swagger-api/swagger-codegen,5391,3688,535,650,518,167
CleverRaven,CleverRaven/Cataclysm-DDA,5375,3957,575,381,462,58
jhipster,jhipster/generator-jhipster,5370,3776,462,654,478,105
highfidelity,highfidelity/hifi,5367,3425,921,909,112,51
yiisoft,yiisoft/yii2,5336,4054,369,439,474,100
neovim,neovim/neovim,5309,4123,451,383,352,64
realm,realm/realm-java,5256,3568,261,1012,415,17
mitodl,mitodl/micromasters,5187,1863,434,2476,414,18
Necrobot-Private,Necrobot-Private/NecroBot,5151,2860,388,1124,779,31
TEAMMATES,TEAMMATES/teammates,5119,3661,438,510,510,90
vmware,vmware/vic,5112,3109,535,553,915,33
mozilla,mozilla/addons-server,5089,2244,397,1950,498,122
pymedusa,pymedusa/Medusa,5070,2524,468,1702,376,15
vaadin,vaadin/framework,5040,2850,537,1101,552,49
numpy,numpy/numpy,4979,4140,306,231,302,79
facebook,facebook/jest,4966,3520,497,506,443,136
metabase,metabase/metabase,4925,2909,326,1134,556,31
firehol,firehol/netdata,4921,3984,284,274,379,33
bioconda,bioconda/bioconda-recipes,4892,2274,1170,1350,98,179
rust-lang,rust-lang/rfcs,4833,4659,81,21,72,17
chain,chain/chain,4801,1611,676,2449,65,27
systemd,systemd/systemd,4761,3477,463,407,414,130
owncloud,owncloud/core,4724,3095,351,938,340,45
crate,crate/crate,4715,478,744,3431,62,17
w3c,w3c/web-platform-tests,4713,2530,859,1111,213,183
ethcore,ethcore/parity,4699,1555,525,2222,397,32
akka,akka/akka,4684,3349,418,588,329,86
eslint,eslint/eslint,4592,3265,295,626,406,56
greenplum-db,greenplum-db/gpdb,4512,2645,757,1029,81,88
facebook,facebook/react,4499,3338,495,332,334,82
voidlinux,voidlinux/void-packages,4486,1335,653,2318,180,115
callemall,callemall/material-ui,4454,3153,391,443,467,94
qbittorrent,qbittorrent/qBittorrent,4450,3729,140,167,414,29
Microsoft,Microsoft/pxt,4442,1722,454,1711,555,16
habitat-sh,habitat-sh/habitat,4437,2767,384,1078,208,42
idaholab,idaholab/moose,4422,2929,456,723,314,46
pytorch,pytorch/pytorch,4416,2770,457,647,542,118
conda,conda/conda,4410,2928,333,437,712,35
opentx,opentx/opentx,4368,2451,325,1197,395,29
ArduPilot,ArduPilot/ardupilot,4359,3139,472,523,225,66
