project,key,value
Kubernetes,commits,39140
Prometheus,commits,1230
Fluentd,commits,4508
Linkerd,commits,965
gRPC,commits,899
CoreDNS,commits,98
containerd,commits,2428
CNI,commits,100
Envoy,commits,3563
Jaeger,commits,184
Notary,commits,21
TUF,commits,685
Rook,commits,2270
Vitess,commits,4578
NATS,commits,3256
OPA,commits,545
Spiffe,commits,319
Spire,commits,127
CloudEvents,commits,188
Telepresence,commits,4552
Helm,commits,499
OpenMetrics,commits,9
Harbor,commits,656
etcd,commits,864
TiKV,commits,626
Cortex,commits,210
Buildpacks,commits,987
Falco,commits,579
Dragonfly,commits,1847
Virtual Kubelet,commits,76
KubeEdge,commits,3666
Brigade,commits,1400
CRI-O,commits,1449
Network Service Mesh,commits,5579
OpenEBS,commits,2478
OpenTelemetry,commits,7091
Thanos,commits,253
Flux,commits,7801
in-toto,commits,202
Strimzi,commits,1156
KubeVirt,commits,7728
Longhorn,commits,2761
ChubaoFS,commits,549
KEDA,commits,24
SMI,commits,37
Argo,commits,4346
Volcano,commits,609
CNI-Genie,commits,3
Keptn,commits,4852
Kudo,commits,14
Cloud Custodian,commits,115
Dex,commits,203
LitmusChaos,commits,638
Artifact Hub,commits,46
Kuma,commits,536
PARSEC,commits,706
BFE,commits,234
Crossplane,commits,2217
Contour,commits,45
Operator Framework,commits,823
Chaos Mesh,commits,680
Serverless Workflow,commits,594
K3s,commits,965
Backstage,commits,13087
Tremor,commits,4827
Metal³,commits,1212
Porter,commits,638
OpenYurt,commits,381
Open Service Mesh,commits,421
Keylime,commits,600
SchemaHero,commits,82
Cloud Deployment Kit for Kubernetes,commits,323
cert-manager,commits,2454
OpenKruise,commits,270
Tinkerbell,commits,1318
Pravega,commits,518
Kyverno,commits,1726
GitOps WG,commits,2
Piraeus-Datastore,commits,313
Skooner,commits,37
Athenz,commits,189
Kube-OVN,commits,1066
Curiefense,commits,687
Distribution,commits,110
Foniod,commits,203
Kuberhealthy,commits,72
K8GB,commits,272
Trickster,commits,7
Emissary-ingress,commits,2132
WasmEdge Runtime,commits,1044
ChaosBlade,commits,367
Vineyard,commits,77
Antrea,commits,186
Fluid,commits,3
Submariner,commits,2250
Pixie,commits,2357
Meshery,commits,6943
Service Mesh Performance,commits,421
KubeVela,commits,793
kube-vip,commits,185
KubeDL,commits,153
Krustlet,commits,124
Krator,commits,6
ORAS,commits,50
wasmCloud,commits,523
Akri,commits,168
MetalLB,commits,666
Karmada,commits,1199
Inclavare Containers,commits,347
SuperEdge,commits,117
Cilium,commits,8010
Dapr,commits,2187
OpenELB,commits,63
Open Cluster Management,commits,498
VS Code Kubernetes Tools,commits,4
Nocalhost,commits,2503
KubeArmor,commits,1496
K8up,commits,279
kube-rs,commits,622
Devfile,commits,1253
Knative,commits,695
FabEdge,commits,447
Confidential Containers,commits,3419
OpenFunction,commits,316
Teller,commits,136
sealer,commits,40
Clusterpedia,commits,388
OpenCost,commits,1571
Aeraki Mesh,commits,577
Curve,commits,1211
OpenFeature,commits,769
kubewarden,commits,2450
DevStream,commits,1083
Hexa Policy Orchestrator,commits,269
Konveyor,commits,3966
Armada,commits,379
External Secrets Operator,commits,1487
