org,repo,activity,comments,prs,commits,issues,authors
docker,docker/docker,15138,12470,1112,489,1067,150
tgstation,tgstation/-tg-station,13625,11060,936,855,774,91
kubernetes,kubernetes/kubernetes,13076,10296,1437,581,762,148
Homebrew,Homebrew/homebrew,11759,7663,2324,942,830,256
elastic,elastic/elasticsearch,10815,6697,1065,2181,872,104
JuliaLang,JuliaLang/julia,10792,7995,647,1524,626,117
owncloud,owncloud/core,10545,8411,409,679,1046,42
GoogleCloudPlatform,GoogleCloudPlatform/kubernetes,10504,8289,1018,591,606,139
NixOS,NixOS/nixpkgs,9345,4954,1230,2756,405,244
CartoDB,CartoDB/cartodb,9220,5074,581,2646,919,31
dotnet,dotnet/roslyn,9195,6726,760,677,1032,53
angular,angular/angular,8446,4836,739,1957,914,76
saltstack,saltstack/salt,8410,5796,1109,477,1028,124
atom,atom/atom,8289,5866,273,997,1153,53
facebook,facebook/react-native,8270,6635,483,221,931,85
Microsoft,Microsoft/TypeScript,7403,5427,344,602,1030,37
ManageIQ,ManageIQ/manageiq,7164,4762,1175,1007,220,62
odoo,odoo/odoo,6504,3073,1027,1917,487,184
angular,angular/material,6360,4494,258,415,1193,30
adobe-photoshop,adobe-photoshop/spaces-design,6093,3251,451,1711,680,14
guardian,guardian/frontend,6048,2528,940,2395,185,41
eslint,eslint/eslint,5871,4461,393,364,653,60
dotnet,dotnet/corefx,5859,4413,642,305,499,56
rails,rails/rails,5753,3851,819,734,349,149
OpenRA,OpenRA/OpenRA,5656,4382,487,416,371,31
servo,servo/servo,5622,4408,755,144,315,21
e-government-ua,e-government-ua/i,5582,1839,94,3347,302,63
acemod,acemod/ACE3,5574,3522,504,1114,434,42
npm,npm/npm,5563,4088,116,426,933,32
influxdb,influxdb/influxdb,5483,3837,263,706,677,39
ansible,ansible/ansible,5455,3640,477,658,680,70
nodejs,nodejs/node,5400,4632,291,141,336,46
google,google/material-design-lite,5368,3907,308,480,673,73
CenterForOpenScience,CenterForOpenScience/osf.io,5153,3308,678,809,358,48
TrinityCore,TrinityCore/TrinityCore,5135,3677,177,757,524,71
angular,angular/angular.js,4968,3521,335,665,447,100
Baystation12,Baystation12/Baystation12,4940,2936,803,700,501,45
cocos2d,cocos2d/cocos2d-x,4771,2639,871,796,465,76
grpc,grpc/grpc,4762,2603,886,798,475,44
mapbox,mapbox/mapbox-gl-native,4725,2808,307,1170,440,28
CleverRaven,CleverRaven/Cataclysm-DDA,4636,3535,550,269,282,53
voidlinux,voidlinux/void-packages,4603,1209,581,2670,143,52
owncloud,owncloud/client,4578,3650,72,395,461,23
aspnet,aspnet/dnx,4551,2688,227,1187,449,24
joomla,joomla/joomla-cms,4484,3370,363,503,248,83
18F,18F/college-choice,4466,2761,243,531,931,17
facebook,facebook/react,4463,3287,376,368,432,115
meteor,meteor/meteor,4428,3028,112,712,576,36
aspnet,aspnet/EntityFramework,4392,2704,315,849,524,32
caskroom,caskroom/homebrew-cask,4367,1716,1701,797,153,259
orientechnologies,orientechnologies/orientdb,4343,2988,53,752,550,24
RIOT-OS,RIOT-OS/RIOT,4340,3644,353,254,89,33
symfony,symfony/symfony,4118,3160,418,202,338,43
opentx,opentx/opentx,4033,2620,114,823,476,17
hashicorp,hashicorp/terraform,3966,2775,316,363,512,80
systemd,systemd/systemd,3832,2504,523,406,399,80
angular-ui,angular-ui/bootstrap,3820,2811,281,340,388,69
hazelcast,hazelcast/hazelcast,3820,2431,498,632,259,40
manastech,manastech/crystal,3780,2771,371,237,401,47
RocketChat,RocketChat/Rocket.Chat,3776,2041,274,1021,440,40
twbs,twbs/bootstrap,3714,2453,379,301,581,53
weaveworks,weaveworks/weave,3707,1992,225,1248,242,15
zooniverse,zooniverse/Panoptes-Front-End,3698,2249,340,630,479,21
mantidproject,mantidproject/mantid,3689,817,411,2011,450,42
rackt,rackt/react-router,3673,2671,136,286,580,58
elastic,elastic/kibana,3666,2658,268,269,471,34
deis,deis/deis,3615,2744,318,239,314,42
cleanflight,cleanflight/cleanflight,3600,3176,128,131,165,31
mattermost,mattermost/platform,3502,1682,711,1015,94,39
commercialhaskell,commercialhaskell/stack,3456,2444,112,396,504,42
pydata,pydata/pandas,3449,2671,315,91,372,32
piwik,piwik/piwik,3444,1932,217,987,308,27
mitodl,mitodl/lore,3386,1493,265,1404,224,15
arduino,arduino/Arduino,3340,2617,90,205,428,30
meanjs,meanjs/mean,3333,2803,240,162,128,33
YetiForceCompany,YetiForceCompany/YetiForceCRM,3296,985,51,1566,694,13
sequelize,sequelize/sequelize,3276,2455,161,225,435,78
atom,atom/electron,3261,2296,216,176,573,19
Treeofsavior,Treeofsavior/EnglishTranslation,3239,1967,595,541,136,78
getlantern,getlantern/lantern,3214,1958,185,709,362,13
callemall,callemall/material-ui,3185,2132,311,301,441,94
neovim,neovim/neovim,3164,2662,203,61,238,16
matplotlib,matplotlib/matplotlib,3125,2411,322,192,200,42
scikit-learn,scikit-learn/scikit-learn,3111,2615,222,122,152,60
EFForg,EFForg/https-everywhere,3102,1389,755,712,246,99
uber,uber/tchannel,3064,1044,509,1439,72,34
diydrones,diydrones/ardupilot,3061,2185,298,411,167,56
WhisperSystems,WhisperSystems/TextSecure,3022,2078,215,241,488,20
spring-projects,spring-projects/spring-boot,2980,1916,162,410,492,43
BVLC,BVLC/caffe,2966,2357,197,116,296,44
getsentry,getsentry/sentry,2943,751,145,1689,358,27
magento,magento/magento2,2925,2173,135,127,490,78
mesosphere,mesosphere/marathon,2923,1623,224,657,419,57
Semantic-Org,Semantic-Org/Semantic-UI,2912,1911,76,324,601,30
magit,magit/magit,2893,1999,114,502,278,24
elastic,elastic/logstash,2881,2352,125,59,345,13
emberjs,emberjs/ember.js,2857,2082,335,114,326,37
learningequality,learningequality/ka-lite,2855,1954,324,279,298,21
PCSX2,PCSX2/pcsx2,2813,2332,121,238,122,22
docker,docker/compose,2804,2176,192,165,271,36
openframeworks,openframeworks/openFrameworks,2804,1973,210,444,177,43
letsencrypt,letsencrypt/boulder,2782,1320,269,973,220,12
Cockatrice,Cockatrice/Cockatrice,2749,2098,187,191,273,15
driftyco,driftyco/ionic,2748,2220,66,52,410,20
cockroachdb,cockroachdb/cockroach,2742,1149,313,1130,150,24
ploneintranet,ploneintranet/ploneintranet,2731,1196,274,1047,214,25
fish-shell,fish-shell/fish-shell,2727,2193,95,223,216,38
libretro,libretro/RetroArch,2727,590,177,1801,159,36
palantir,palantir/plottable,2720,1344,227,944,205,20
rapid7,rapid7/metasploit-framework,2719,1990,292,302,135,62
Automattic,Automattic/jetpack,2691,1296,296,910,189,65
plone,plone/Products.CMFPlone,2690,1696,109,509,376,40
docker,docker/machine,2679,2186,147,45,301,17
dotnet,dotnet/coreclr,2659,2133,219,123,184,46
processing,processing/processing,2657,1565,171,560,361,24
NativeScript,NativeScript/NativeScript,2653,1658,204,469,322,24
cfpb,cfpb/cfgov-refresh,2647,1153,270,1130,94,20
cakephp,cakephp/cakephp,2647,1880,232,222,313,38
NREL,NREL/EnergyPlus,2640,1702,134,691,113,26
woothemes,woothemes/woocommerce,2632,1486,235,373,538,55
chef,chef/chef,2619,1718,203,518,180,56
ethereum,ethereum/go-ethereum,2612,1805,269,291,247,21
riot,riot/riot,2606,1927,107,314,258,31
HabitRPG,HabitRPG/habitrpg,2570,1554,135,553,328,29
MarlinFirmware,MarlinFirmware/Marlin,2558,2173,84,144,157,18
