org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,24046,19974,4993,4072,4993,836
kubernetes,kubernetes/kubernetes,10189,8961,732,19,477,7
Microsoft,Microsoft/vscode,9433,7009,102,515,1807,40
tootsuite,tootsuite/mastodon,8375,5507,1028,918,922,275
tgstation,tgstation/tgstation,6321,4720,704,519,378,60
cockroachdb,cockroachdb/cockroach,5962,4386,456,609,511,37
dotnet,dotnet/corefx,5889,4408,578,413,490,76
Automattic,Automattic/wp-calypso,5624,2342,550,2470,262,133
nodejs,nodejs/node,5303,4264,422,434,183,111
ansible,ansible/ansible,4688,3184,624,453,427,118
NixOS,NixOS/nixpkgs,4684,2781,626,1033,244,263
tensorflow,tensorflow/tensorflow,4604,3743,230,165,466,103
joomla,joomla/joomla-cms,4583,3527,301,467,288,48
dotnet,dotnet/coreclr,4214,3212,419,387,196,83
hashicorp,hashicorp/terraform,3974,2253,420,880,421,137
caskroom,caskroom/homebrew-cask,3925,992,1448,1412,73,209
angular,angular/angular,3779,2759,297,241,482,34
dotnet,dotnet/roslyn,3722,2780,298,253,391,44
cms-sw,cms-sw/cmssw,3512,3024,331,125,32,62
elastic,elastic/elasticsearch,3373,1892,306,923,252,68
MarlinFirmware,MarlinFirmware/Marlin,3294,2830,161,131,172,28
Microsoft,Microsoft/TypeScript,3020,2263,105,220,432,25
RobotLocomotion,RobotLocomotion/drake,3000,2515,218,186,81,27
servo,servo/servo,2992,2482,302,38,170,11
JuliaLang,JuliaLang/julia,2896,1747,253,754,142,58
brave,brave/browser-laptop,2828,1647,169,587,425,31
nextcloud,nextcloud/server,2807,1748,218,628,213,45
saltstack,saltstack/salt,2775,2008,289,257,221,93
flutter,flutter/flutter,2732,1919,266,255,292,33
react-community,react-community/react-navigation,2696,2084,109,162,341,32
elastic,elastic/kibana,2694,1697,317,442,238,27
facebook,facebook/react-native,2657,2167,165,21,304,11
home-assistant,home-assistant/home-assistant,2601,1716,325,358,202,81
docker,docker/docker,2566,2056,151,120,239,54
woocommerce,woocommerce/woocommerce,2562,1451,212,333,566,28
vgstation-coders,vgstation-coders/vgstation13,2538,2119,164,130,125,31
driftyco,driftyco/ionic,2492,1905,78,124,385,25
Homebrew,Homebrew/homebrew-core,2470,1361,640,395,74,152
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,2451,1303,561,469,118,273
symfony,symfony/symfony,2433,1837,233,237,126,49
docker,docker/docker.github.io,2418,1477,366,403,172,112
fabric8io,fabric8io/fabric8-ui,2412,1272,649,342,149,23
LLNL,LLNL/spack,2371,1560,309,389,113,41
department-of-veterans-affairs,department-of-veterans-affairs/caseflow,2339,835,170,1122,212,27
openshift,openshift/origin,2279,1913,162,16,188,11
ManageIQ,ManageIQ/manageiq,2253,1423,340,461,29,84
ParadiseSS13,ParadiseSS13/Paradise,2160,1883,125,82,70,31
godotengine,godotengine/godot,2160,1593,185,182,200,43
magento,magento/magento2,2130,1680,127,69,254,49
grpc,grpc/grpc,2037,1289,280,238,230,43
angular,angular/angular-cli,2009,1628,71,28,282,15
angular,angular/material2,2004,1373,169,162,300,27
laravel,laravel/framework,1988,1395,231,187,175,75
ampproject,ampproject/amphtml,1971,1189,291,260,231,51
aspnet,aspnet/EntityFramework,1965,1216,114,438,197,18
PX4,PX4/Firmware,1918,1411,132,289,86,41
keybase,keybase/client,1832,634,244,855,99,20
moby,moby/moby,1801,1491,100,60,150,40
TesseractTeam,TesseractTeam/Tesseract,1795,997,57,178,563,23
mattermost,mattermost/platform,1794,1042,265,390,97,24
dart-lang,dart-lang/sdk,1785,807,23,677,278,53
openssl,openssl/openssl,1774,1320,189,206,59,32
yarnpkg,yarnpkg/yarn,1760,1398,88,100,174,36
eclipse,eclipse/che,1721,975,139,425,182,37
Azure,Azure/azure-cli,1685,1002,248,278,157,25
rails,rails/rails,1668,1038,197,313,120,63
department-of-veterans-affairs,department-of-veterans-affairs/vets-website,1652,473,179,974,26,39
ElemeFE,ElemeFE/element,1644,920,100,100,524,41
chain,chain/chain,1619,580,227,787,25,18
Microsoft,Microsoft/visualfsharp,1619,1300,106,97,116,20
fastlane,fastlane/fastlane,1618,1043,127,278,170,41
prettier,prettier/prettier,1614,1110,160,142,202,44
numpy,numpy/numpy,1610,1397,84,54,75,19
gradle,gradle/gradle,1598,534,69,881,114,31
ARMmbed,ARMmbed/mbed-os,1595,1321,114,118,42,43
