org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,23412,19559,4889,3853,4889,802
kubernetes,kubernetes/kubernetes,8302,7187,721,40,354,25
tgstation,tgstation/tgstation,5429,4656,389,172,212,32
Microsoft,Microsoft/vscode,5409,3603,78,215,1513,14
NixOS,NixOS/nixpkgs,5114,2977,726,1158,253,255
docker,docker/docker,4940,3964,295,184,497,66
Automattic,Automattic/wp-calypso,4523,2047,412,1902,162,118
ansible,ansible/ansible,4335,2885,714,400,336,114
tensorflow,tensorflow/tensorflow,4205,3236,270,192,507,110
angular,angular/angular-cli,3960,3070,195,128,567,30
,d3athrow/vgstation13,3788,3248,227,101,212,34
dotnet,dotnet/corefx,3497,2687,360,212,238,53
dotnet,dotnet/roslyn,3104,2395,249,186,274,32
nodejs,nodejs/node,2868,2254,269,204,141,61
home-assistant,home-assistant/home-assistant,2839,2064,360,188,227,64
dotnet,dotnet/coreclr,2819,2183,299,179,158,50
hashicorp,hashicorp/terraform,2800,1607,332,503,358,60
saltstack,saltstack/salt,2798,1804,375,360,259,122
elastic,elastic/elasticsearch,2744,1511,266,732,235,64
elastic,elastic/kibana,2531,1613,282,304,332,32
angular,angular/angular,2480,1678,207,237,358,31
JuliaLang,JuliaLang/julia,2479,1515,192,618,154,38
magento,magento/magento2,2354,1917,96,61,280,52
ampproject,ampproject/amphtml,2346,1624,257,223,242,52
dart-lang,dart-lang/sdk,2341,1144,17,844,336,51
Microsoft,Microsoft/TypeScript,2296,1486,97,295,418,17
joomla,joomla/joomla-cms,2289,1622,156,361,150,36
ParadiseSS13,ParadiseSS13/Paradise,2261,1860,220,78,103,16
ManageIQ,ManageIQ/manageiq,2168,1445,398,293,32,73
mantidproject,mantidproject/mantid,2166,715,209,1074,168,42
keybase,keybase/client,2141,993,227,713,208,20
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,2002,1149,455,288,110,201
fastlane,fastlane/fastlane,1937,1383,142,222,190,44
RobotLocomotion,RobotLocomotion/drake,1918,1684,106,88,40,22
Baystation12,Baystation12/Baystation12,1873,1216,290,235,132,32
Automattic,Automattic/jetpack,1855,966,195,590,104,66
cockroachdb,cockroachdb/cockroach,1842,1316,184,214,128,25
Homebrew,Homebrew/homebrew-core,1841,1094,507,158,82,84
Microsoft,Microsoft/CNTK,1777,409,24,1192,152,43
caskroom,caskroom/homebrew-cask,1753,468,693,538,54,156
mapbox,mapbox/mapbox-gl-native,1747,807,161,618,161,35
brave,brave/browser-laptop,1727,1023,103,332,269,26
ethcore,ethcore/parity,1724,585,189,799,151,21
angular,angular/material2,1718,1079,181,173,285,25
grpc,grpc/grpc,1667,1085,243,187,152,40
rails,rails/rails,1659,1107,239,189,124,56
TrinityCore,TrinityCore/TrinityCore,1627,1147,74,273,133,32
react-community,react-community/react-navigation,1620,1213,74,34,299,19
docker,docker/docker.github.io,1610,585,350,458,217,115
,fchollet/keras,1572,1106,99,132,235,25
flutter,flutter/flutter,1535,958,188,146,243,18
CartoDB,CartoDB/cartodb,1522,757,87,533,145,19
HippieStation,HippieStation/HippieStation13,1494,1000,191,181,122,23
nextcloud,nextcloud/server,1475,987,113,205,170,24
odoo,odoo/odoo,1435,731,266,320,118,83
ARMmbed,ARMmbed/mbed-os,1413,1096,112,137,68,41
department-of-veterans-affairs,department-of-veterans-affairs/caseflow,1413,463,129,689,132,21
gradle,gradle/gradle,1399,571,63,630,135,28
driftyco,driftyco/ionic,1385,926,31,132,296,21
RocketChat,RocketChat/Rocket.Chat,1375,821,111,211,232,24
aspnet,aspnet/EntityFramework,1338,902,77,207,152,19
alibaba,alibaba/weex,1317,588,188,318,223,40
mitodl,mitodl/micromasters,1307,432,104,669,102,15
dotnet,dotnet/cli,1306,882,123,126,175,22
ElemeFE,ElemeFE/element,1303,742,95,72,394,19
eclipse,eclipse/che,1299,622,96,397,184,37
Microsoft,Microsoft/BotBuilder,1294,1022,11,47,214,13
vaadin,vaadin/framework,1280,670,155,304,151,23
Azure,Azure/azure-cli,1265,684,216,195,170,22
