project,url,label,activity,comments,prs,commits,issues,authors,sum_activity,sum_comments,sum_prs,sum_commits,sum_issues,sum_authors
Linux kernel,kernel.org,2015-04,79169,64197,16049,14972,16049,1698,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2015-07,78638,63869,15967,14769,15967,1698,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2015-10,78075,63724,15931,14351,15931,1705,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-01,80232,64950,16237,15282,16237,1705,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-04,81153,65233,16308,15920,16308,1771,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-07,83432,68359,17089,15073,17089,1771,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-10,77914,62079,15519,15835,15519,1771,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2017-01,70940,57302,14325,13638,14325,1771,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2017-04,84185,68151,17037,16034,17037,1870,713738,577864,144462,135874,144462,2235
Kubernetes,kubernetes.io,2015-04,14086,10537,1508,1144,897,172,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2015-07,22491,17151,2223,1752,1365,207,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2015-10,23580,18585,2455,1172,1368,287,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2016-01,22191,17326,2529,873,1463,287,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2016-04,31393,24373,2999,1658,2363,287,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2016-07,33566,26467,3224,1472,2403,395,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2016-10,37481,29265,3954,1484,2778,396,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2017-01,50697,39455,5279,2788,3175,617,294032,228573,30219,16008,19232,1081
Kubernetes,kubernetes.io,2017-04,58547,45414,6048,3665,3420,806,294032,228573,30219,16008,19232,1081
dotnet,microsoft.com/net,2015-04,6987,5310,667,479,531,109,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2015-07,8561,6535,744,576,706,118,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2015-10,10656,7952,1117,689,898,135,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-01,18734,13199,1940,1610,1985,250,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-04,34052,24443,3174,3710,2725,294,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-07,40059,29140,3623,4190,3106,506,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-10,24277,17520,2386,2333,2038,506,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2017-01,33787,24498,3450,3323,2516,506,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2017-04,47614,33967,4780,5596,3271,604,224727,162564,21881,22506,17776,737
Homebrew,brew.sh,2015-04,11056,6961,2390,986,719,298,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2015-07,13024,8141,2706,1473,704,372,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2015-10,15003,9447,3096,1462,998,372,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-01,13081,8383,2692,1108,898,372,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-04,10727,6646,2477,1010,594,396,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-07,10091,6323,2122,1165,481,461,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-10,12127,8076,2069,1210,772,461,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2017-01,10415,6461,1998,1347,609,461,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2017-04,11552,6492,2494,2017,549,522,107076,66930,22044,11778,6324,697
Homebrew Cask,caskroom.github.io,2015-04,4158,1979,1220,693,266,283,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2015-07,3682,1321,1712,481,168,283,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2015-10,4367,1716,1701,797,153,283,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2016-01,5664,2480,1860,1097,227,331,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2016-04,6616,2961,2025,1329,301,331,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2016-07,4738,1484,1859,1183,212,393,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2016-10,6003,1722,2290,1762,229,438,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2017-01,6550,1502,2779,1794,475,438,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2017-04,7199,1709,2893,2388,209,438,48977,16874,18339,11524,2240,627
NixOS,nixos.org,2015-04,9394,5294,1206,2459,435,264,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2015-07,8633,4615,1153,2481,384,264,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2015-10,9345,4954,1230,2756,405,264,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2016-01,10383,6208,1442,2201,532,323,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2016-04,14186,8741,1696,3048,701,345,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2016-07,13275,8080,1723,2808,664,523,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2016-10,15652,9801,1907,3328,616,523,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2017-01,13298,7883,1820,2965,630,523,110405,64892,14418,26012,5083,610
NixOS,nixos.org,2017-04,16239,9316,2241,3966,716,523,110405,64892,14418,26012,5083,610
React,facebook.com,2015-04,16584,11414,1549,1769,1852,354,239408,177606,20403,17594,23805,577
React,facebook.com,2015-07,25618,18609,2220,2096,2693,446,239408,177606,20403,17594,23805,577
React,facebook.com,2015-10,28800,20747,2607,2260,3186,502,239408,177606,20403,17594,23805,577
React,facebook.com,2016-01,31315,23587,2273,2217,3238,502,239408,177606,20403,17594,23805,577
React,facebook.com,2016-04,25259,19549,2111,1520,2079,502,239408,177606,20403,17594,23805,577
React,facebook.com,2016-07,21735,16717,1907,1286,1825,502,239408,177606,20403,17594,23805,577
React,facebook.com,2016-10,27542,20649,2229,2151,2513,502,239408,177606,20403,17594,23805,577
React,facebook.com,2017-01,29699,22068,2720,1992,2919,502,239408,177606,20403,17594,23805,577
React,facebook.com,2017-04,32856,24266,2787,2303,3500,502,239408,177606,20403,17594,23805,577
Docker,mobyproject.org,2015-04,17056,13871,1285,783,1117,231,200910,155592,16407,11907,17004,564
Docker,mobyproject.org,2015-07,24170,19170,1995,1316,1689,311,200910,155592,16407,11907,17004,564
Docker,mobyproject.org,2015-10,22796,18370,1723,982,1721,311,200910,155592,16407,11907,17004,564
Docker,mobyproject.org,2016-01,21496,16865,1695,1198,1738,311,200910,155592,16407,11907,17004,564
Docker,mobyproject.org,2016-04,27661,21171,2217,2033,2240,311,200910,155592,16407,11907,17004,564
