project,url,label,activity,comments,prs,commits,issues,authors,sum_activity,sum_comments,sum_prs,sum_commits,sum_issues,sum_authors
Linux kernel,kernel.org,2015-04,79169,64197,16049,14972,16049,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2015-07,157807,128066,32016,29741,32016,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2015-10,235882,191790,47947,44092,47947,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-01,316114,256740,64184,59374,64184,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-04,397267,321973,80492,75294,80492,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-07,480699,390332,97581,90367,97581,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2016-10,558613,452411,113100,106202,113100,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2017-01,629553,509713,127425,119840,127425,2235,713738,577864,144462,135874,144462,2235
Linux kernel,kernel.org,2017-04,713738,577864,144462,135874,144462,2235,713738,577864,144462,135874,144462,2235
Kubernetes,kubernetes.io,2015-04,14086,10537,1508,1144,897,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2015-07,36577,27688,3731,2896,2262,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2015-10,60157,46273,6186,4068,3630,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2016-01,82348,63599,8715,4941,5093,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2016-04,113741,87972,11714,6599,7456,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2016-07,147307,114439,14938,8071,9859,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2016-10,184788,143704,18892,9555,12637,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2017-01,233593,181718,23981,12206,15688,1043,292140,227132,30029,15871,19108,1043
Kubernetes,kubernetes.io,2017-04,292140,227132,30029,15871,19108,1043,292140,227132,30029,15871,19108,1043
dotnet,microsoft.com/net,2015-04,6987,5310,667,479,531,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2015-07,15548,11845,1411,1055,1237,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2015-10,26204,19797,2528,1744,2135,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-01,44938,32996,4468,3354,4120,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-04,78990,57439,7642,7064,6845,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-07,119049,86579,11265,11254,9951,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2016-10,143326,104099,13651,13587,11989,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2017-01,177113,128597,17101,16910,14505,737,224727,162564,21881,22506,17776,737
dotnet,microsoft.com/net,2017-04,224727,162564,21881,22506,17776,737,224727,162564,21881,22506,17776,737
Homebrew,brew.sh,2015-04,11056,6961,2390,986,719,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2015-07,24080,15102,5096,2459,1423,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2015-10,39083,24549,8192,3921,2421,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-01,52164,32932,10884,5029,3319,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-04,62891,39578,13361,6039,3913,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-07,72982,45901,15483,7204,4394,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2016-10,85109,53977,17552,8414,5166,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2017-01,95524,60438,19550,9761,5775,697,107076,66930,22044,11778,6324,697
Homebrew,brew.sh,2017-04,107076,66930,22044,11778,6324,697,107076,66930,22044,11778,6324,697
Homebrew Cask,caskroom.github.io,2015-04,4158,1979,1220,693,266,627,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2015-07,7840,3300,2932,1174,434,627,48977,16874,18339,11524,2240,627
Homebrew Cask,caskroom.github.io,2015-10,12207,5016,4633,1971,587,627,48977,16874,18339,11524,2240,627
