name,project
cloudfoundry,Cloud Foundry
cloudfoundry-attic,Cloud Foundry Attic
cloudfoundry-community,Cloud Foundry Community
cloudfoundry-incubator,Cloud Foundry Incubator
cloudfoundry-samples,Cloud Foundry Samples
