project,url
GitHub Extension for Visual Studio,visualstudio.github.com
GitHub Markup,github.com/github/markup
GitHub Training Kit,services.github.com/on-demand
GitHub and Government,government.github.com
GitLab,gitlab.com
Go,golang.org
Godot Engine,godotengine.org
Google (other),google.com
Google API,developers.google.com/apis-explorer
Google Closure Compiler,developers.google.com/closure/compiler
Google Cloud,cloud.google.com
Google Cloud Docs,cloud.google.com/docs
Google Cloud Platform,cloud.google.com
Google Cloud SDKs,cloud.google.com/sdk
Google Earth Enterprise,github.com/google/earthenterprise
Google ExoPlayer,github.com/google/ExoPlayer
Google FlatBuffers,google.github.io/flatbuffers
Google Font Files,fonts.google.com
Google Graphics API Debugger,github.com/google/gapid
Google Material Design Components,getmdl.io
Google OSS-Fuzz,github.com/google/oss-fuzz
Google Perceptual JPEG encoder,github.com/google/guetzli
Google Protocol Buffers,developers.google.com/protocol-buffers
Google Python Fire,github.com/google/python-fire
Google Style Guides,github.com/google/styleguide
Google TIE,github.com/google/tie
Google WebFundamentals,developers.google.com/web/fundamentals
Google Xi Editor,github.com/google/xi-editor
Google i18n,developers.google.com/international
Google seq2seq,google.github.io/seq2seq
Government Digital Service,gds.blog.gov.uk
Grumpy,github.com/google/grumpy
Guava,github.com/google/guava
HTTPS Everywhere,eff.org/https-everywhere
Hackage,stackage.org
Halite,halite.io
Heron,heronstreaming.io
HippieStationCode,github.com/HippieStationCode/HippieStation13
Home Assistant,home-assistant.io
Homebrew,brew.sh
Homebrew Cask,caskroom.github.io
Hubot,hubot.github.com
Hyper,hyper.is
Hyperledger,hyperledger.org
IBM Bluemix,bluemix.net
IO Visor,www.iovisor.org
Inferno,infernojs.org
InfluxDB,influxdata.com
InfluxData,influxdata.com
Intel Open Source Technology Center,01.org
IoTivity,www.iotivity.org
Ionic,ionicframework.com
Iron.io,iron.io
JS Foundation,js.foundation
Jaeger,jaeger.readthedocs.io/en/latest/
JanusGraph,janusgraph.org
Joomla,joomla.org
Julia,julialang.org
Keybase,keybase.io
Kinetic Open Storage,www.openkinetic.org
Kronos GLSL,kronos.org
Kronos Vulkan,kronos.org
Kubernetes,kubernetes.io
Kuma,developer.mozilla.org
LLVM,llvm.org
Laravel,laravel.com
League of Extraordinary Packages,thephpleague.com
Let's Encrypt,letsencrypt.org
Linguist,github.com/github/linguist
LinkedIn,linkedin.com
Linux,kernel.org
Linux Standard Base,LinuxStandardBase
Linux sunxi,linux-sunxi.org
Liquid,liquidmarkup.org
Lottie,airbnb.design/lottie
MAME,mamedev.org
MAPS.ME,maps.me
MELPA,melpa.org
MIT Office of Digital Learning,odl.mit.edu
Magento,magento.com/home
Maker.js,http://microsoft.github.io/maker.js
Malmö,github.com/Microsoft/malmo
ManageIQ,manageiq.org
Mantid,mantidproject.org
Mapbox,mapbox.com
Marlin,marlinfw.org
Martian Proxy,github.com/google/martian
Mastodon,mastodon.social
Material-UI,material-ui.com
Mattermost,mattermost.org
Mesosphere,mesosphere.com
Meteor,meteor.com
Micro-purchase,micropurchase.18f.gov
Microsoft (other),microsoft.com
Microsoft API,github.com/Microsoft/api-guidelines
Microsoft Application Insights,azure.microsoft.com/en-us/services/application-insights
Microsoft BotBuilder,botframework.com
Microsoft BusinessPlatformApps,github.com/Microsoft/BusinessPlatformApps
Microsoft Chakra,github.com/Microsoft/ChakraCore
Microsoft Cognitive Toolkit,cntk.ai
Microsoft DMTK,github.com/microsoft/dmtk
Microsoft Decision Service,mwtds.azurewebsites.net
Microsoft Edge,microsoft.com/en-us/windows/microsoft-edge
Microsoft F#,github.com/Microsoft/visualfsharp
Microsoft GSL,github.com/Microsoft/GSL
Microsoft Graph Engine,graphengine.io
Microsoft HoloToolkit,github.com/Microsoft/HoloToolkit
Microsoft IIS,iis.net
Microsoft Intune,microsoft.com/en-us/cloud-platform/microsoft-intune
Microsoft MakeCode,makecode.com
Microsoft Mobius,github.com/Microsoft/Mobius
Microsoft ODBC,docs.microsoft.com/en-us/sql/odbc/microsoft-open-database-connectivity-odbc
Microsoft OMS,microsoft.com/en-us/cloud-platform/operations-management-suite
Microsoft Objective-C for Windows,github.com/Microsoft/WinObjC
Microsoft Office,office.com
Microsoft Orleans,dotnet.github.io/orleans
Microsoft UWP,github.com/Microsoft/Windows-universal-samples
Microsoft Virtualization,github.com/Microsoft/Virtualization-Documentation
Microsoft docs,docs.microsoft.com
Microsoft eShopOnContainers,github.com/dotnet-architecture/eShopOnContainers
MicrosoftDocs,docs.microsoft.com
Mozilla,mozilla.org
Mozilla Copyright,changecopyright.org
Mozilla InvestiGator,mig.mozilla.org
Mozilla Services,mozilla-services.github.io
Mozilla donation forms,donate.mozilla.org
NServiceBus,particular.net/nservicebus
Nakadi,github.com/zalando/nakadi
NativeScript,nativescript.org
Netflix,netflix.github.io
Next.js,zeit.co/blog/next2
Nextcloud,nextcloud.com
NixOS,nixos.org
Node.js,nodejs.org
Nomad,nomadproject.io
Notary,theupdateframework/notary
Nunjucks,mozilla.github.io/nunjucks
Nylas,nylas.com
ODPi,www.odpi.org
ONOS,onosproject.org
OPAM,opam.ocaml.org
OPNFV,www.opnfv.org
Odoo,odoo.com
Office Developer,dev.office.com
Open API,www.openapis.org
Open Build Service,openbuildservice.org
Open Container,www.opencontainers.org
Open Mainframe,www.openmainframeproject.org
Open Management Infrastructure,github.com/Microsoft/omi
Open Network Automation Platform,www.onap.org
Open Security Controller,opensecuritycontroller
Open Source Guides,opensource.guide
Open Source Survey,opensourcesurvey.org
Open vSwitch,openvswitch.org
OpenDaylight,www.opendaylight.org
OpenHPC,openhpc.community
OpenHTF,github.com/google/openhtf
OpenMAMA,www.openmama.org
OpenRCT2,openrct2.website
OpenSDS,www.opensds.io
OpenSSL,openssl.org
OpenShift,openshift.com
OpenStack (other),openstack.org
OpenStack API,openstack.org
OpenStack Ansible,openstack.org
OpenStack Charmers,openstack.org
OpenStack Cinder,openstack.org
OpenStack Community,openstack.org
OpenStack Cookbook,openstack.org
OpenStack Dev,openstack.org
OpenStack Glance,openstack.org
OpenStack Heat,openstack.org
OpenStack Horizon,openstack.org
OpenStack Hyper-v,openstack.org
OpenStack Infra,openstack.org
OpenStack Keystone,openstack.org
OpenStack Korean,openstack.org
OpenStack Manila,openstack.org
OpenStack Manuals,openstack.org
OpenStack Mistral,openstack.org
OpenStack Mobile,openstack.org
OpenStack Murano,openstack.org
OpenStack Net SDK,openstack.org
OpenStack Neutron,openstack.org
OpenStack Nova,openstack.org
OpenStack Other Repos,openstack.org
OpenStack Packages,openstack.org
OpenStack Snaps,openstack.org
OpenStack Stackalytics,openstack.org
OpenStack Swift,openstack.org
OpenStack Tools,openstack.org
OpenStack Web,openstack.org
OpenSwitch,www.openswitch.net
OpenTracing,opentracing.io
OpenWrt,openwrt.org
Openstack Tools,openstack.org
Operations Research Tools,developers.google.com/optimization
Osmand,osmand.net
PACO,pacoapp.com
PDF.js,github.com/mozilla/pdf.js
PNDA,pnda.io
ParadiseSS13,nanotrasen.se/forum
Parity,github.com/paritytech/parity
Parse,parseplatform.github.io
Patroni,github.com/zalando/patroni
PerfView,channel9.msdn.com/Series/PerfView-Tutorial
Person Finder,google.org/personfinder
PingCAP,github.com/pingcap
Pivotal Cloud Foundry,pivotal.io
Play Framework,playframework.com
PokemonGoF,maps.pikabot.org
PokemonGoMap,pokemongomap.info
Polymer,polymer-project.org
Positron,github.com/mozilla/positron
Power BI,powerbi.microsoft.com
PowerShell,microsoft.com/powershell
Project Tofino,mozilla.github.io/tofino
Prometheus,prometheus.io
Protractor,protractortest.org
Pyjion,github.com/Microsoft/Pyjion
RDF4J,rdf4j.org
REASON,facebook.github.io/reason
Rapid7,rapid7.com
React,facebook.com
ReactXP,microsoft.github.io/reactxp
ReactiveX,reactivex.io
Realm,realm.io
Record and Replay Framework,rr-project.org
Resurrection Remix,plus.google.com/communities/109352646351468373340
RethinkDB,www.rethinkdb.com
RobotLocomotion,drake.mit.edu
RocketChat,rocket.chat
RocksDB,rocksdb.org
Ruby on Rails,rubyonrails.org
Rust,rust-lang.org
SDN,docs.microsoft.com/en-us/windows-server/networking/sdn/software-defined-networking
SNAS.io,www.snas.io
SPDX,spdx.org
SQL Server,microsoft.com/en-us/sql-server/sql-server-2016
SS13,tgstation13.org
SVG Working Group,github.com/w3c/svgwg
SageTV,forums.sagetv.com
Sakai,sakaiproject.org
SaltStack,repo.saltstack.com
Satchel,microsoft.github.io/satcheljs
Scrooge,twitter.github.io/scrooge
Sensu,sensuapp.org
Sequelize,docs-sequelizejs.com
Serverless Framework,serverless.com
Shaka Player,github.com/google/shaka-player
Shopify,shopify.com
Shopify API,shopify.github.io/shopify_api
Shopify App,shopify.github.io/shopify_app
Shopify Docs,help.shopify.com
Shopify SDKs,developers.shopify.com
Shopify Timber,shopify.com/timber
Skillcrush,skillcrush.com
Specberus,w3.org/pubrules
SpiderNode,ehsanakhgari.org/blog/2016-04-20/project-spidernode
Spontanizer,spartan.org.il
Spotify,spotify.github.io
Spree,guides.spreecommerce.org
Superset,github.com/airbnb/superset
Swagger,swagger.io
Symfony,symfony.com
TEAMMATES,teammatesv4.appspot.com
TODO group,todogroup.org
TSLint,palantir.github.io/tslint
TUF,theupdateframework.com
Team Kodi,kodi.tv
TeamPorcupine,github.com/TeamPorcupine/ProjectPorcupine
Telerik,telerik.com
TensorFlow,tensorflow.org
Terraform,terraform.io
Texture,texturegroup.org
The Guardian,theguardian.com
The Odin Project,theodinproject.com
The Physical Web,physical-web.org
The Servo Browser Engine,servo.org
The Void distribution,voidlinux.eu
Theme Kit,shopify.github.io/themekit
Thimble,thimble.mozilla.org
Thrifty,github.com/Microsoft/thrifty
Timed Text Markup Language,w3c.github.io/ttml2/spec/ttml2.html
Tizen,www.tizen.org
Toxiproxy,toxiproxy.io
Trillian,github.com/google/trillian
TrinityCore,trinitycore.org
Twitter,twitter.com
TypeScript,typescriptlang.org
US Extractive Industries Data,useiti.doi.gov
US Web Design Standards,standards.usa.gov
Uber Open Source,uber.github.io
VIP Go,vip.wordpress.com/documentation/vip-go
VMware,vmware.github.io
VMware Harbor,vmware.github.io/harbor
VMware Lightwave,github.com/vmware/lightwave
VMware Photon,vmware.github.io/photon
