name,project
CNCF,Non-K8s
Cloud Native Computing Foundation,Non-K8s
Envoy,Non-K8s
Harbor,Non-K8s
Helm,Non-K8s
Jaeger,Non-K8s
Kubernetes,K8s
Notary,Non-K8s
OpenMetrics,Non-K8s
SPIRE,Non-K8s
TUF,Non-K8s
TiKV,Non-K8s
Cortex,Non-K8s
Buildpacks,Non-K8s
Falco,Non-K8s
Telepresence,Non-K8s
Vitess,Non-K8s
cloudevents,Non-K8s
cncf,Non-K8s
containerd,Non-K8s
containernetworking,Non-K8s
coredns,Non-K8s
crosscloudci,Non-K8s
envoyproxy,Non-K8s
etcd,Non-K8s
fluent,Non-K8s
gRPC,Non-K8s
goharbor,Non-K8s
grpc,Non-K8s
grpc-ecosystem,Non-K8s
helm,Non-K8s
jaegertracing,Non-K8s
kubernetes,K8s
kubernetes-client,K8s
kubernetes-csi,K8s
kubernetes-helm,K8s
kubernetes-incubator,K8s
linkerd,Non-K8s
lyft,Non-K8s
nats-io,Non-K8s
open-policy-agent,Non-K8s
openeventing,Non-K8s
opentracing,Non-K8s
prometheus,Non-K8s
rkt,Non-K8s
rook,Non-K8s
SPIFFE,Non-K8s
telepresenceio,Non-K8s
theupdateframework,Non-K8s
uber,Non-K8s
vitessio,Non-K8s
