repo,project
BuoyantIO/linkerd,Linkerd
GoogleCloudPlatform/kubernetes,Kubernetes
GoogleCloudPlatform/kubernetes-workshops,Kubernetes
RichiH/OpenMetrics,OpenMetrics
apcera/nats,NATS
appc/cni,CNI
cncf/ambassadors,CNCF
cncf/artwork,CNCF
cncf/cla,CNCF
cncf/cluster,CNCF
cncf/cross-cloud,CNCF
cncf/curriculum,CNCF
cncf/demo,CNCF
cncf/draft-wg-serverless,CNCF
cncf/foundation,CNCF
cncf/gha2db,CNCF
cncf/gha2pg,CNCF
cncf/gitdm,CNCF
cncf/k8s-conformance,CNCF
cncf/landscape,CNCF
cncf/presentations,CNCF
cncf/soc,CNCF
cncf/toc,CNCF
cncf/velocity,CNCF
cncf/wg-ci,CNCF
cncf/wg-networking,CNCF
cncf/wg-serverless,CNCF
cncf/wg-storage,CNCF
coredns/coredns-grpc,CoreDNS
coredns/grpc,CoreDNS
coreos/etcd,etcd
coreos/rkt,rkt
coreos/rocket,rkt
datawire/telepresence,Telepresence
docker/containerd,containerd
docker/notary,Notary
envoyproxy/artwork,Envoy
envoyproxy/data-plane-api,Envoy
envoyproxy/envoy,Envoy
envoyproxy/envoy-filter-example,Envoy
envoyproxy/envoyproxy.github.io,Envoy
grpc-ecosystem/grpc-opentracing,gRPC
jaegertracing/jaeger-kubernetes,Jaeger
jaegertracing/jaeger-openshift,Jaeger
jaegertracing/test-repo-move,Jaeger
kubernetes-incubator/bootkube,Kubernetes
kubernetes-incubator/kargo,Kubernetes
kubernetes-incubator/kube-aws,Kubernetes
kubernetes-incubator/service-catalog,Kubernetes
kubernetes/charts,Helm
kubernetes/community,Kubernetes
kubernetes/contrib,Kubernetes
kubernetes/dashboard,Kubernetes
kubernetes/deployment-manager,Helm
kubernetes/heapster,Kubernetes
kubernetes/helm,Helm
kubernetes/ingress,Kubernetes
kubernetes/kops,Kubernetes
kubernetes/kubernetes,Kubernetes
kubernetes/kubernetes.github.io,Kubernetes
kubernetes/minikube,Kubernetes
kubernetes/test-infra,Kubernetes
lyft/envoy,Envoy
miekg/coredns,CoreDNS
rktproject/rkt,rkt
spiffe/spire,SPIRE
theupdateframework/artwork,TUF
theupdateframework/notary,Notary
theupdateframework/pep-maximum-security-model,TUF
theupdateframework/pep-on-pypi-with-tuf,TUF
theupdateframework/pip,TUF
theupdateframework/pypi.updateframework.com,TUF
theupdateframework/specification,TUF
theupdateframework/taps,TUF
theupdateframework/theupdateframework.github.io,TUF
theupdateframework/tuf,TUF
uber/jaeger,Jaeger
vmware/harbor,Harbor
youtube/vitess,Vitess
