project,url
CNCF,www.cncf.io
CNI,github.com/containernetworking
CloudEvents,cloudevents.io
CoreDNS,coredns.io
Envoy,github.com/envoyproxy
Fluentd,fluentd.org
Harbor,vmware.github.io/harbor
Helm,helm.sh
Jaeger,jaeger.readthedocs.io/en/latest
K8s,kubernetes.io
Kubernetes,kubernetes.io
Linkerd,linkerd.io
NATS,nats.io
Non-K8s,cncf.io
Notary,github.com/theupdateframework/notary
OPA,openpolicyagent.org
OPAM,opam.ocaml.org
OpenMetrics,github.com/RichiH/OpenMetrics
OpenTracing,opentracing.io
Prometheus,prometheus.io
Rook,rook.io
SPIFFE,spiffe.io
SPIRE,spiffe.io
TUF,github.com/theupdateframework.com
Telepresence,telepresence.io
Vitess,vitess.io
containerd,containerd.io
envoyproxy,github.com/envoyproxy
etcd,coreos.com/etcd
gRPC,grpc.io
lyft,github.com/lyft/envoy
openeventing,CloudEvents
rkt,github.com/rkt/rkt
